# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-13 0 0 ce9300
-12 0 0 ac5b09
-10 0 0 ce9300
-9 0 0 ede4bf
-8 0 0 dfd787
-7 0 0 ce9300
-6 0 0 ac5b09
-5 0 0 ac5b09
-4 0 0 ce9300
-1 0 0 ac5b09
-13 1 0 ce9300
-12 1 0 f1af3d
-11 1 0 ac5b09
-10 1 0 ce9300
-9 1 0 dfd787
-8 1 0 dfd787
-7 1 0 dfd787
-6 1 0 ce9300
-5 1 0 ce9300
-4 1 0 f1af3d
-3 1 0 ac5b09
-2 1 0 ac5b09
-1 1 0 f3cb5d
-12 2 0 ce9300
-11 2 0 f3cb5d
-10 2 0 f1af3d
-9 2 0 ce9300
-8 2 0 c8c386
-7 2 0 c8c386
-6 2 0 c8c386
-5 2 0 c8c386
-4 2 0 ce9300
-3 2 0 f3cb5d
-2 2 0 f3cb5d
-1 2 0 ce9300
-11 3 0 ce9300
-10 3 0 ce9300
-9 3 0 ce9300
-8 3 0 ce9300
-7 3 0 dfd787
-6 3 0 dfd787
-5 3 0 c8c386
-4 3 0 dfd787
-3 3 0 ce9300
-2 3 0 ce9300
-8 4 0 c8c386
-7 4 0 dfd787
-6 4 0 dfd787
-5 4 0 dfd787
-4 4 0 c8c386
-7 5 0 c8c386
-6 5 0 ede4bf
-5 5 0 ede4bf
-4 5 0 dfd787
-3 5 0 c8c386
-7 6 0 c8c386
-6 6 0 ede4bf
-5 6 0 ede4bf
-4 6 0 ede4bf
-3 6 0 c8c386
-6 7 0 c8c386
-5 7 0 ede4bf
-4 7 0 ede4bf
-3 7 0 ede4bf
-2 7 0 c8c386
-5 8 0 c8c386
-4 8 0 ede4bf
-3 8 0 ede4bf
-2 8 0 c8c386
-4 9 0 c8c386
-3 9 0 c8c386
-5 -6 0 ce9300
-4 -6 0 ce9300
-3 -6 0 ce9300
-2 -6 0 0b0b0a
-6 -5 0 ce9300
-5 -5 0 f7cb28
-4 -5 0 f1af3d
-3 -5 0 f3cb5d
-2 -5 0 0b0b0a
-8 -4 0 ce9300
-7 -4 0 f1af3d
-6 -4 0 f7cb28
-5 -4 0 f1af3d
-4 -4 0 f3cb5d
-3 -4 0 ce9300
-9 -3 0 ce9300
-8 -3 0 dfd787
-7 -3 0 ac5b09
-6 -3 0 f1af3d
-5 -3 0 f7cb28
-4 -3 0 f3cb5d
-3 -3 0 ce9300
-10 -2 0 ce9300
-9 -2 0 dfd787
-8 -2 0 dfd787
-7 -2 0 ac5b09
-6 -2 0 f1af3d
-5 -2 0 f7cb28
-4 -2 0 ce9300
-13 -1 0 ce9300
-10 -1 0 ce9300
-9 -1 0 ede4bf
-8 -1 0 ede4bf
-7 -1 0 ac5b09
-6 -1 0 f1af3d
-5 -1 0 f7cb28
-4 -1 0 ce9300
0 0 0 ce9300
0 1 0 ce9300
0 -1 0 ce9300
