# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-9 0 0 945809
-8 0 0 9f9c9b
-7 0 0 9f9c9b
-6 0 0 9f9c9b
-5 0 0 9f9c9b
-4 0 0 9f9c9b
-3 0 0 9f9c9b
-2 0 0 9f9c9b
-1 0 0 9f9c9b
-9 1 0 945809
-8 1 0 945809
-7 1 0 945809
-6 1 0 945809
-5 1 0 945809
-4 1 0 945809
-3 1 0 945809
-2 1 0 945809
-1 1 0 945809
-9 2 0 945809
-8 2 0 e5b00e
-7 2 0 945809
-6 2 0 e5b00e
-5 2 0 e5b00e
-4 2 0 e5b00e
-3 2 0 e5b00e
-2 2 0 e5b00e
-1 2 0 e5b00e
-9 3 0 945809
-8 3 0 e5b00e
-7 3 0 945809
-6 3 0 e5b00e
-5 3 0 f9e009
-4 3 0 f9e009
-3 3 0 f9e009
-2 3 0 f9e009
-1 3 0 f9e009
-9 4 0 945809
-8 4 0 e5b00e
-7 4 0 945809
-6 4 0 e5b00e
-5 4 0 f9e009
-4 4 0 f9e009
-3 4 0 f9e009
-2 4 0 f9e009
-1 4 0 f9e009
-9 5 0 945809
-8 5 0 e5b00e
-7 5 0 945809
-6 5 0 e5b00e
-5 5 0 f9e009
-4 5 0 f9e009
-3 5 0 f9e009
-2 5 0 f9e009
-1 5 0 f9e009
-9 6 0 945809
-8 6 0 e5b00e
-7 6 0 945809
-6 6 0 e5b00e
-5 6 0 f9e009
-4 6 0 f9e009
-3 6 0 f9e009
-2 6 0 f9e009
-1 6 0 f9e009
-9 7 0 945809
-8 7 0 e5b00e
-7 7 0 945809
-6 7 0 e5b00e
-5 7 0 f9e009
-4 7 0 f93907
-3 7 0 f93907
-2 7 0 f93907
-1 7 0 f93907
-9 8 0 945809
-8 8 0 e5b00e
-7 8 0 945809
-6 8 0 e5b00e
-5 8 0 f9e009
-4 8 0 f93907
-3 8 0 f9e009
-2 8 0 f9e009
-1 8 0 f93907
-9 9 0 945809
-8 9 0 e5b00e
-7 9 0 945809
-6 9 0 e5b00e
-5 9 0 f9e009
-4 9 0 f93907
-3 9 0 f9e009
-2 9 0 f9e009
-1 9 0 f93907
-9 10 0 945809
-8 10 0 e5b00e
-7 10 0 945809
-6 10 0 e5b00e
-5 10 0 f9e009
-4 10 0 f9e009
-3 10 0 f9e009
-2 10 0 f9e009
-1 10 0 f9e009
-9 11 0 945809
-8 11 0 e5b00e
-7 11 0 945809
-6 11 0 e5b00e
-5 11 0 f9e009
-4 11 0 f9e009
-3 11 0 f9e009
-2 11 0 f9e009
-1 11 0 f9e009
-8 12 0 945809
-7 12 0 945809
-6 12 0 e5b00e
-5 12 0 e5b00e
-4 12 0 e5b00e
-3 12 0 e5b00e
-2 12 0 e5b00e
-1 12 0 e5b00e
-8 -3 0 945809
-7 -3 0 945809
-6 -3 0 f47150
-5 -3 0 f47150
-4 -3 0 e5b00e
-3 -3 0 e5b00e
-2 -3 0 e5b00e
-1 -3 0 e5b00e
-9 -2 0 945809
-8 -2 0 9f9c9b
-7 -2 0 9f9c9b
-6 -2 0 f93907
-5 -2 0 f93907
-4 -2 0 9f9c9b
-3 -2 0 9f9c9b
-2 -2 0 9f9c9b
-1 -2 0 9f9c9b
-9 -1 0 945809
-8 -1 0 e3e3e3
-7 -1 0 e3e3e3
-6 -1 0 b22d0f
-5 -1 0 b22d0f
-4 -1 0 e3e3e3
-3 -1 0 e3e3e3
-2 -1 0 e3e3e3
-1 -1 0 e3e3e3
0 0 0 9f9c9b
1 0 0 945809
0 1 0 945809
1 1 0 945809
0 2 0 e5b00e
1 2 0 e5b00e
0 3 0 f9e009
1 3 0 e5b00e
0 4 0 f9e009
1 4 0 e5b00e
0 5 0 f9e009
1 5 0 e5b00e
0 6 0 f9e009
1 6 0 e5b00e
0 7 0 f9e009
1 7 0 e5b00e
0 8 0 f9e009
1 8 0 e5b00e
0 9 0 f9e009
1 9 0 e5b00e
0 10 0 f9e009
1 10 0 e5b00e
0 11 0 f9e009
1 11 0 e5b00e
0 12 0 e5b00e
1 12 0 e5b00e
0 -3 0 e5b00e
1 -3 0 945809
0 -2 0 9f9c9b
1 -2 0 945809
0 -1 0 e3e3e3
1 -1 0 945809
