# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-6 0 0 444249
-5 0 0 6b6480
-4 0 0 aaa0d5
-3 0 0 aaa0d5
-2 0 0 aaa0d5
-1 0 0 aaa0d5
-7 1 0 444249
-6 1 0 dc81b5
-5 1 0 f4a3d2
-4 1 0 6b6480
-3 1 0 aaa0d5
-2 1 0 6b6480
-1 1 0 6b6480
-7 2 0 444249
-6 2 0 dc81b5
-5 2 0 f4a3d2
-4 2 0 aaa0d5
-3 2 0 6b6480
-2 2 0 444249
-1 2 0 444249
-7 3 0 444249
-6 3 0 f4a3d2
-5 3 0 aaa0d5
-4 3 0 6b6480
-3 3 0 444249
-6 4 0 444249
-5 4 0 6b6480
-4 4 0 444249
-6 5 0 444249
-5 5 0 444249
0 0 0 aaa0d5
1 0 0 aaa0d5
2 0 0 aaa0d5
3 0 0 aaa0d5
4 0 0 aaa0d5
5 0 0 6b6480
6 0 0 444249
0 1 0 6b6480
1 1 0 6b6480
2 1 0 6b6480
3 1 0 aaa0d5
4 1 0 6b6480
5 1 0 f4a3d2
6 1 0 dc81b5
7 1 0 444249
0 2 0 444249
1 2 0 444249
2 2 0 444249
3 2 0 6b6480
4 2 0 aaa0d5
5 2 0 f4a3d2
6 2 0 dc81b5
7 2 0 444249
3 3 0 444249
4 3 0 6b6480
5 3 0 aaa0d5
6 3 0 f4a3d2
7 3 0 444249
4 4 0 444249
5 4 0 6b6480
6 4 0 444249
5 5 0 444249
6 5 0 444249
-4 -8 0 444249
-3 -8 0 444249
-2 -8 0 444249
-1 -8 0 444249
-5 -7 0 444249
-4 -7 0 6b6480
-3 -7 0 6b6480
-2 -7 0 6b6480
-1 -7 0 6b6480
-6 -6 0 444249
-5 -6 0 6b6480
-4 -6 0 aaa0d5
-3 -6 0 aaa0d5
-2 -6 0 aaa0d5
-1 -6 0 aaa0d5
-8 -5 0 444249
-7 -5 0 444249
-6 -5 0 6b6480
-5 -5 0 aaa0d5
-4 -5 0 aaa0d5
-3 -5 0 aaa0d5
-2 -5 0 aaa0d5
-1 -5 0 aaa0d5
-7 -4 0 444249
-6 -4 0 6b6480
-5 -4 0 aaa0d5
-4 -4 0 f4a3d2
-3 -4 0 f4a3d2
-2 -4 0 aaa0d5
-1 -4 0 444249
-8 -3 0 444249
-7 -3 0 444249
-6 -3 0 6b6480
-5 -3 0 aaa0d5
-4 -3 0 444249
-3 -3 0 444249
-2 -3 0 aaa0d5
-1 -3 0 aaa0d5
-7 -2 0 444249
-6 -2 0 6b6480
-5 -2 0 aaa0d5
-4 -2 0 444249
-3 -2 0 eae7f3
-2 -2 0 aaa0d5
-1 -2 0 aaa0d5
-6 -1 0 444249
-5 -1 0 6b6480
-4 -1 0 aaa0d5
-3 -1 0 c3bae9
-2 -1 0 c3bae9
-1 -1 0 aaa0d5
0 -8 0 444249
1 -8 0 444249
2 -8 0 444249
3 -8 0 444249
4 -8 0 444249
0 -7 0 6b6480
1 -7 0 6b6480
2 -7 0 6b6480
3 -7 0 6b6480
4 -7 0 6b6480
5 -7 0 444249
0 -6 0 aaa0d5
1 -6 0 aaa0d5
2 -6 0 aaa0d5
3 -6 0 aaa0d5
4 -6 0 aaa0d5
5 -6 0 6b6480
6 -6 0 444249
0 -5 0 aaa0d5
1 -5 0 aaa0d5
2 -5 0 aaa0d5
3 -5 0 aaa0d5
4 -5 0 aaa0d5
5 -5 0 aaa0d5
6 -5 0 6b6480
7 -5 0 444249
8 -5 0 444249
0 -4 0 aaa0d5
1 -4 0 444249
2 -4 0 aaa0d5
3 -4 0 f4a3d2
4 -4 0 f4a3d2
5 -4 0 aaa0d5
6 -4 0 6b6480
7 -4 0 444249
0 -3 0 444249
1 -3 0 aaa0d5
2 -3 0 aaa0d5
3 -3 0 444249
4 -3 0 444249
5 -3 0 aaa0d5
6 -3 0 6b6480
7 -3 0 444249
8 -3 0 444249
0 -2 0 aaa0d5
1 -2 0 aaa0d5
2 -2 0 aaa0d5
3 -2 0 444249
4 -2 0 eae7f3
5 -2 0 aaa0d5
6 -2 0 6b6480
7 -2 0 444249
0 -1 0 aaa0d5
1 -1 0 aaa0d5
2 -1 0 c3bae9
3 -1 0 c3bae9
4 -1 0 aaa0d5
5 -1 0 6b6480
6 -1 0 444249
