# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 0 0 650909
-7 0 0 f74f37
-6 0 0 f7c6c0
-5 0 0 f3e6f3
-4 0 0 9d2515
-3 0 0 cebdce
-2 0 0 9d2515
-1 0 0 9d2515
-8 1 0 650909
-7 1 0 f74f37
-6 1 0 f3e6f3
-5 1 0 f7c6c0
-4 1 0 9d2515
-3 1 0 cebdce
-2 1 0 9d2515
-1 1 0 9d2515
-8 2 0 650909
-7 2 0 f74f37
-6 2 0 f3e6f3
-5 2 0 f7c6c0
-4 2 0 cebdce
-3 2 0 9d2515
-2 2 0 9d2515
-1 2 0 9d2515
-8 3 0 650909
-7 3 0 f74f37
-6 3 0 f7c6c0
-5 3 0 f3e6f3
-4 3 0 9d2515
-3 3 0 9d2515
-2 3 0 9d2515
-1 3 0 9d2515
-8 4 0 650909
-7 4 0 f74f37
-6 4 0 f74f37
-5 4 0 f3e6f3
-4 4 0 f7c6c0
-3 4 0 f7c6c0
-2 4 0 f7c6c0
-1 4 0 f7c6c0
-8 5 0 650909
-7 5 0 f74f37
-6 5 0 f74f37
-5 5 0 f7c6c0
-4 5 0 f3e6f3
-3 5 0 f7c6c0
-2 5 0 f7c6c0
-1 5 0 f7c6c0
-7 6 0 650909
-6 6 0 f74f37
-5 6 0 222121
-4 6 0 222121
-3 6 0 5b4b5c
-2 6 0 5b4b5c
-1 6 0 5b4b5c
-7 7 0 222121
-6 7 0 222121
-5 7 0 5b4b5c
-4 7 0 5b4b5c
-3 7 0 a797a7
-2 7 0 a797a7
-1 7 0 5b4b5c
-7 8 0 222121
-6 8 0 5b4b5c
-5 8 0 a797a7
-4 8 0 5b4b5c
-3 8 0 5b4b5c
-2 8 0 a797a7
-1 8 0 a797a7
-6 9 0 222121
-5 9 0 5b4b5c
-4 9 0 a797a7
-3 9 0 f3e6f3
-2 9 0 f3e6f3
-1 9 0 f3e6f3
-5 10 0 222121
-4 10 0 222121
-3 10 0 222121
-2 10 0 222121
-1 10 0 222121
-6 -5 0 222121
-5 -5 0 222121
-4 -5 0 5b4b5c
-3 -5 0 5b4b5c
-2 -5 0 5b4b5c
-1 -5 0 5b4b5c
-7 -4 0 650909
-6 -4 0 9d2515
-5 -4 0 cebdce
-4 -4 0 cebdce
-3 -4 0 9d2515
-2 -4 0 9d2515
-1 -4 0 cebdce
-8 -3 0 650909
-7 -3 0 9d2515
-6 -3 0 f3e6f3
-5 -3 0 cebdce
-4 -3 0 9d2515
-3 -3 0 9d2515
-2 -3 0 9d2515
-1 -3 0 9d2515
-8 -2 0 650909
-7 -2 0 f74f37
-6 -2 0 f3e6f3
-5 -2 0 f7c6c0
-4 -2 0 9d2515
-3 -2 0 9d2515
-2 -2 0 9d2515
-1 -2 0 9d2515
-8 -1 0 650909
-7 -1 0 f74f37
-6 -1 0 f7c6c0
-5 -1 0 f7c6c0
-4 -1 0 cebdce
-3 -1 0 cebdce
-2 -1 0 9d2515
-1 -1 0 9d2515
0 0 0 9d2515
1 0 0 9d2515
2 0 0 9d2515
3 0 0 650909
0 1 0 cebdce
1 1 0 9d2515
2 1 0 9d2515
3 1 0 650909
0 2 0 cebdce
1 2 0 9d2515
2 2 0 9d2515
3 2 0 650909
0 3 0 cebdce
1 3 0 9d2515
2 3 0 9d2515
3 3 0 650909
0 4 0 f3e6f3
1 4 0 f74f37
2 4 0 9d2515
3 4 0 650909
0 5 0 f3e6f3
1 5 0 f74f37
2 5 0 f74f37
3 5 0 650909
0 6 0 5b4b5c
1 6 0 f74f37
2 6 0 650909
0 7 0 a797a7
1 7 0 5b4b5c
2 7 0 222121
0 8 0 5b4b5c
1 8 0 a797a7
2 8 0 222121
0 9 0 f3e6f3
1 9 0 222121
0 10 0 222121
0 -5 0 222121
1 -5 0 222121
0 -4 0 9d2515
1 -4 0 9d2515
2 -4 0 650909
0 -3 0 cebdce
1 -3 0 9d2515
2 -3 0 9d2515
3 -3 0 650909
0 -2 0 cebdce
1 -2 0 9d2515
2 -2 0 9d2515
3 -2 0 650909
0 -1 0 9d2515
1 -1 0 9d2515
2 -1 0 9d2515
3 -1 0 650909
