# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-6 0 0 1c5631
-5 0 0 74f8a1
-4 0 0 74f8a1
-3 0 0 1c5631
-2 0 0 74f8a1
-1 0 0 74f8a1
-5 1 0 1c5631
-4 1 0 74f8a1
-3 1 0 1c5631
-2 1 0 0fc76b
-1 1 0 74f8a1
-5 2 0 1c5631
-4 2 0 0fc76b
-3 2 0 1c5631
-2 2 0 74f8a1
-1 2 0 0fc76b
-6 3 0 1c5631
-5 3 0 0fc76b
-4 3 0 0fc76b
-3 3 0 74f8a1
-2 3 0 0fc76b
-1 3 0 0fc76b
-7 4 0 74f8a1
-6 4 0 74f8a1
-5 4 0 74f8a1
-4 4 0 74f8a1
-2 4 0 74f8a1
-1 4 0 74f8a1
-2 5 0 1c5631
-1 5 0 0fc76b
-1 6 0 1c5631
-2 7 0 1c5631
-1 7 0 0fc76b
-4 8 0 1c5631
-3 8 0 1c5631
-2 8 0 74f8a1
-1 8 0 74f8a1
0 0 0 74f8a1
1 0 0 0fc76b
2 0 0 74f8a1
3 0 0 74f8a1
4 0 0 0fc76b
5 0 0 1c5631
6 0 0 1c5631
0 1 0 0fc76b
1 1 0 74f8a1
2 1 0 0b0c0b
3 1 0 0b0c0b
4 1 0 74f8a1
5 1 0 0fc76b
6 1 0 74f8a1
7 1 0 1c5631
0 2 0 0fc76b
1 2 0 74f8a1
2 2 0 0b0c0b
3 2 0 e8efe8
4 2 0 74f8a1
5 2 0 0fc76b
6 2 0 0fc76b
7 2 0 74f8a1
0 3 0 0fc76b
1 3 0 0fc76b
2 3 0 74f8a1
3 3 0 74f8a1
4 3 0 0fc76b
5 3 0 74f8a1
6 3 0 74f8a1
0 4 0 74f8a1
1 4 0 0fc76b
2 4 0 0fc76b
3 4 0 0fc76b
4 4 0 74f8a1
0 5 0 0fc76b
1 5 0 74f8a1
2 5 0 74f8a1
3 5 0 74f8a1
0 6 0 0fc76b
1 6 0 0fc76b
2 6 0 74f8a1
0 7 0 74f8a1
1 7 0 74f8a1
-1 -2 0 1c5631
-7 -1 0 1c5631
-6 -1 0 1c5631
-5 -1 0 1c5631
-4 -1 0 1c5631
-2 -1 0 1c5631
-1 -1 0 74f8a1
0 -5 0 1c5631
1 -4 0 1c5631
0 -3 0 1c5631
1 -3 0 74f8a1
2 -3 0 1c5631
0 -2 0 0fc76b
1 -2 0 1c5631
2 -2 0 1c5631
3 -2 0 1c5631
0 -1 0 74f8a1
1 -1 0 74f8a1
2 -1 0 74f8a1
3 -1 0 74f8a1
4 -1 0 1c5631
