# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-9 0 0 aa1ab6
-8 0 0 aa1ab6
-7 0 0 aa1ab6
-4 0 0 aa1ab6
-3 0 0 aa1ab6
-2 0 0 aa1ab6
-1 0 0 fdbfd8
-9 1 0 aa1ab6
-8 1 0 fdbfd8
-7 1 0 fdbfd8
-6 1 0 aa1ab6
-5 1 0 aa1ab6
-4 1 0 fdbfd8
-3 1 0 fdbfd8
-2 1 0 fdbfd8
-1 1 0 fdbfd8
-8 2 0 aa1ab6
-7 2 0 fdbfd8
-6 2 0 fdbfd8
-5 2 0 fdbfd8
-4 2 0 ee8ab3
-3 2 0 fdbfd8
-2 2 0 ee8ab3
-1 2 0 fdbfd8
-8 3 0 aa1ab6
-7 3 0 ee8ab3
-6 3 0 ee8ab3
-5 3 0 ee8ab3
-4 3 0 fdbfd8
-3 3 0 ee8ab3
-2 3 0 fdbfd8
-1 3 0 ee8ab3
-9 4 0 aa1ab6
-8 4 0 ee8ab3
-7 4 0 ee8ab3
-6 4 0 aa1ab6
-5 4 0 aa1ab6
-4 4 0 ee8ab3
-3 4 0 ee8ab3
-2 4 0 ee8ab3
-1 4 0 ee8ab3
-9 5 0 aa1ab6
-8 5 0 aa1ab6
-7 5 0 aa1ab6
-4 5 0 aa1ab6
-3 5 0 aa1ab6
-2 5 0 aa1ab6
-1 5 0 ee8ab3
-4 6 0 aa1ab6
-3 6 0 ee8ab3
-2 6 0 ee8ab3
-1 6 0 aa1ab6
-3 7 0 aa1ab6
-2 7 0 fdbfd8
-1 7 0 ee8ab3
-4 8 0 aa1ab6
-3 8 0 fdbfd8
-2 8 0 fdbfd8
-1 8 0 aa1ab6
-4 9 0 aa1ab6
-3 9 0 fdbfd8
-2 9 0 aa1ab6
-5 10 0 aa1ab6
-4 10 0 aa1ab6
-3 10 0 aa1ab6
0 0 0 fdbfd8
1 0 0 fdbfd8
2 0 0 aa1ab6
0 1 0 fdbfd8
1 1 0 fdbfd8
2 1 0 fdbfd8
3 1 0 aa1ab6
4 1 0 aa1ab6
0 2 0 070607
1 2 0 070607
2 2 0 fdbfd8
3 2 0 ee8ab3
4 2 0 fdbfd8
5 2 0 aa1ab6
0 3 0 070607
1 3 0 fffdff
2 3 0 ee8ab3
3 3 0 ee8ab3
4 3 0 ee8ab3
5 3 0 aa1ab6
0 4 0 ee8ab3
1 4 0 ee8ab3
2 4 0 ee8ab3
3 4 0 aa1ab6
4 4 0 aa1ab6
0 5 0 ee8ab3
1 5 0 ee8ab3
2 5 0 aa1ab6
0 6 0 aa1ab6
1 6 0 aa1ab6
0 7 0 aa1ab6
0 -2 0 aa1ab6
0 -1 0 aa1ab6
1 -1 0 aa1ab6
-2 -4 0 aa1ab6
-3 -3 0 aa1ab6
-2 -3 0 fdbfd8
-1 -3 0 aa1ab6
-3 -2 0 aa1ab6
-2 -2 0 ee8ab3
-1 -2 0 ee8ab3
-3 -1 0 aa1ab6
-2 -1 0 ee8ab3
-1 -1 0 aa1ab6
