# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 0 0 1d50f6
-7 0 0 1d50f6
-6 0 0 1d50f6
-5 0 0 1d50f6
-4 0 0 1d50f6
-3 0 0 1d50f6
-2 0 0 1d50f6
-1 0 0 f7b940
-6 1 0 1d50f6
-5 1 0 1d50f6
-4 1 0 a2e7f2
-3 1 0 1d50f6
-2 1 0 1d50f6
-1 1 0 f4f00a
-7 2 0 1d50f6
-6 2 0 1d50f6
-5 2 0 a2e7f2
-4 2 0 a2e7f2
-3 2 0 a2e7f2
-2 2 0 1d50f6
-1 2 0 f4f00a
-7 3 0 1d50f6
-6 3 0 a2e7f2
-5 3 0 a2e7f2
-4 3 0 a2e7f2
-3 3 0 a2e7f2
-2 3 0 a2e7f2
-1 3 0 f4f00a
-7 4 0 1d50f6
-6 4 0 a2e7f2
-5 4 0 a2e7f2
-4 4 0 a2e7f2
-3 4 0 a2e7f2
-2 4 0 a2e7f2
-1 4 0 1d50f6
-6 5 0 1d50f6
-5 5 0 1d50f6
-4 5 0 a2e7f2
-3 5 0 a2e7f2
-2 5 0 1d50f6
-1 5 0 1d50f6
-4 6 0 1d50f6
-3 6 0 1d50f6
-2 6 0 1d50f6
-3 -8 0 1d50f6
-2 -8 0 1d50f6
-1 -8 0 1d50f6
-4 -7 0 1d50f6
-3 -7 0 a2e7f2
-2 -7 0 a2e7f2
-1 -7 0 a2e7f2
-8 -6 0 1d50f6
-7 -6 0 1d50f6
-6 -6 0 1d50f6
-4 -6 0 1d50f6
-3 -6 0 a2e7f2
-2 -6 0 a2e7f2
-1 -6 0 a2e7f2
-9 -5 0 1d50f6
-8 -5 0 a2e7f2
-7 -5 0 a2e7f2
-6 -5 0 1d50f6
-5 -5 0 1d50f6
-4 -5 0 1d50f6
-3 -5 0 a2e7f2
-2 -5 0 a2e7f2
-1 -5 0 a2e7f2
-9 -4 0 1d50f6
-8 -4 0 a2e7f2
-7 -4 0 a2e7f2
-6 -4 0 a2e7f2
-5 -4 0 1d50f6
-4 -4 0 1d50f6
-3 -4 0 a2e7f2
-2 -4 0 a2e7f2
-1 -4 0 1d50f6
-9 -3 0 1d50f6
-8 -3 0 a2e7f2
-7 -3 0 a2e7f2
-6 -3 0 a2e7f2
-5 -3 0 a2e7f2
-4 -3 0 a2e7f2
-3 -3 0 1d50f6
-2 -3 0 a2e7f2
-1 -3 0 1d50f6
-9 -2 0 1d50f6
-8 -2 0 a2e7f2
-7 -2 0 a2e7f2
-6 -2 0 a2e7f2
-5 -2 0 1d50f6
-4 -2 0 1d50f6
-3 -2 0 1d50f6
-2 -2 0 1d50f6
-1 -2 0 1d50f6
-9 -1 0 1d50f6
-8 -1 0 a2e7f2
-7 -1 0 a2e7f2
-6 -1 0 a2e7f2
-5 -1 0 a2e7f2
-4 -1 0 a2e7f2
-3 -1 0 1d50f6
-2 -1 0 1d50f6
-1 -1 0 f7b940
3 -10 0 45a105
4 -10 0 45a105
5 -10 0 45a105
6 -10 0 45a105
2 -9 0 45a105
3 -9 0 b3f683
4 -9 0 b3f683
5 -9 0 b3f683
6 -9 0 b3f683
0 -8 0 1d50f6
1 -8 0 1d50f6
2 -8 0 45a105
3 -8 0 45a105
4 -8 0 b3f683
5 -8 0 45a105
6 -8 0 b3f683
0 -7 0 a2e7f2
1 -7 0 1d50f6
2 -7 0 1d50f6
3 -7 0 45a105
4 -7 0 45a105
5 -7 0 b3f683
6 -7 0 45a105
0 -6 0 a2e7f2
1 -6 0 a2e7f2
2 -6 0 1d50f6
3 -6 0 45a105
4 -6 0 45a105
5 -6 0 45a105
0 -5 0 a2e7f2
1 -5 0 1d50f6
2 -5 0 1d50f6
3 -5 0 1d50f6
4 -5 0 1d50f6
5 -5 0 1d50f6
0 -4 0 a2e7f2
1 -4 0 1d50f6
2 -4 0 1d50f6
3 -4 0 a2e7f2
4 -4 0 a2e7f2
5 -4 0 a2e7f2
6 -4 0 1d50f6
0 -3 0 a2e7f2
1 -3 0 1d50f6
2 -3 0 a2e7f2
3 -3 0 a2e7f2
4 -3 0 a2e7f2
5 -3 0 a2e7f2
6 -3 0 1d50f6
7 -3 0 45a105
8 -3 0 45a105
0 -2 0 1d50f6
1 -2 0 1d50f6
2 -2 0 1d50f6
3 -2 0 a2e7f2
4 -2 0 a2e7f2
5 -2 0 1d50f6
6 -2 0 1d50f6
7 -2 0 45a105
8 -2 0 b3f683
9 -2 0 45a105
0 -1 0 1d50f6
1 -1 0 1d50f6
2 -1 0 1d50f6
3 -1 0 1d50f6
4 -1 0 1d50f6
5 -1 0 1d50f6
6 -1 0 45a105
7 -1 0 45a105
8 -1 0 45a105
9 -1 0 b3f683
10 -1 0 45a105
0 0 0 f7b940
1 0 0 1d50f6
2 0 0 a2e7f2
3 0 0 a2e7f2
4 0 0 1d50f6
5 0 0 45a105
6 0 0 b3f683
7 0 0 b3f683
8 0 0 b3f683
9 0 0 b3f683
0 1 0 f7b940
1 1 0 1d50f6
2 1 0 1d50f6
3 1 0 a2e7f2
4 1 0 a2e7f2
5 1 0 1d50f6
6 1 0 45a105
7 1 0 45a105
0 2 0 f4f00a
1 2 0 1d50f6
2 2 0 a2e7f2
3 2 0 a2e7f2
4 2 0 a2e7f2
5 2 0 1d50f6
0 3 0 f4f00a
1 3 0 1d50f6
2 3 0 1d50f6
3 3 0 a2e7f2
4 3 0 a2e7f2
5 3 0 1d50f6
0 4 0 f4f00a
1 4 0 f4f00a
2 4 0 1d50f6
3 4 0 1d50f6
4 4 0 1d50f6
1 5 0 f4f00a
2 5 0 f4f00a
1 6 0 f4f00a
2 6 0 f4f00a
