# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-12 0 0 0b0b0b
-11 0 0 bfc2ce
-10 0 0 bfc2ce
-9 0 0 f6eeee
-8 0 0 4f567c
-7 0 0 4f567c
-6 0 0 0b0b0b
-5 0 0 0b0b0b
-4 0 0 0b0b0b
-3 0 0 979aaf
-2 0 0 1a1d32
-1 0 0 1a1d32
-13 1 0 0b0b0b
-12 1 0 bfc2ce
-11 1 0 bfc2ce
-10 1 0 f6eeee
-9 1 0 4f567c
-8 1 0 4f567c
-7 1 0 0b0b0b
-5 1 0 0b0b0b
-4 1 0 bfc2ce
-3 1 0 f6eeee
-2 1 0 1a1d32
-1 1 0 1a1d32
-14 2 0 0b0b0b
-13 2 0 bfc2ce
-12 2 0 bfc2ce
-11 2 0 f6eeee
-10 2 0 4f567c
-9 2 0 4f567c
-8 2 0 0b0b0b
-5 2 0 0b0b0b
-4 2 0 1a1d32
-3 2 0 1a1d32
-2 2 0 1a1d32
-1 2 0 1a1d32
-15 3 0 0b0b0b
-14 3 0 f6eeee
-13 3 0 bfc2ce
-12 3 0 f6eeee
-11 3 0 4f567c
-10 3 0 4f567c
-9 3 0 0b0b0b
-5 3 0 0b0b0b
-4 3 0 1a1d32
-3 3 0 1a1d32
-2 3 0 1a1d32
-1 3 0 1a1d32
-15 4 0 0b0b0b
-14 4 0 f6eeee
-13 4 0 f6eeee
-12 4 0 4f567c
-11 4 0 4f567c
-10 4 0 0b0b0b
-5 4 0 0b0b0b
-4 4 0 bfc2ce
-3 4 0 f6eeee
-2 4 0 bfc2ce
-1 4 0 bfc2ce
-15 5 0 0b0b0b
-14 5 0 f6eeee
-13 5 0 bfc2ce
-12 5 0 bfc2ce
-11 5 0 0b0b0b
-5 5 0 0b0b0b
-4 5 0 bfc2ce
-3 5 0 f6eeee
-2 5 0 bfc2ce
-1 5 0 bfc2ce
-15 6 0 0b0b0b
-14 6 0 0b0b0b
-13 6 0 0b0b0b
-12 6 0 0b0b0b
-5 6 0 0b0b0b
-4 6 0 bfc2ce
-3 6 0 f6eeee
-2 6 0 bfc2ce
-1 6 0 bfc2ce
-5 7 0 0b0b0b
-4 7 0 bfc2ce
-3 7 0 f6eeee
-2 7 0 bfc2ce
-1 7 0 bfc2ce
-4 8 0 0b0b0b
-3 8 0 bfc2ce
-2 8 0 f6eeee
-1 8 0 bfc2ce
-3 9 0 0b0b0b
-2 9 0 0b0b0b
-1 9 0 0b0b0b
-6 -6 0 0b0b0b
-5 -6 0 c72222
-4 -6 0 0b0b0b
-3 -6 0 979aaf
-2 -6 0 0b0b0b
-1 -6 0 962727
-6 -5 0 0b0b0b
-5 -5 0 0b0b0b
-4 -5 0 0b0b0b
-3 -5 0 4f567c
-2 -5 0 0b0b0b
-1 -5 0 0b0b0b
-9 -4 0 0b0b0b
-8 -4 0 0b0b0b
-7 -4 0 0b0b0b
-6 -4 0 bfc2ce
-5 -4 0 bfc2ce
-4 -4 0 0b0b0b
-3 -4 0 323857
-2 -4 0 bfc2ce
-1 -4 0 bfc2ce
-9 -3 0 0b0b0b
-8 -3 0 4f567c
-7 -3 0 0b0b0b
-6 -3 0 979aaf
-5 -3 0 bfc2ce
-4 -3 0 0b0b0b
-3 -3 0 4f567c
-2 -3 0 4f567c
-1 -3 0 4f567c
-10 -2 0 0b0b0b
-9 -2 0 bfc2ce
-8 -2 0 323857
-7 -2 0 bfc2ce
-6 -2 0 0b0b0b
-5 -2 0 0b0b0b
-4 -2 0 c72222
-3 -2 0 bfc2ce
-2 -2 0 f6eeee
-1 -2 0 bfc2ce
-11 -1 0 0b0b0b
-10 -1 0 bfc2ce
-9 -1 0 bfc2ce
-8 -1 0 f6eeee
-7 -1 0 323857
-6 -1 0 4f567c
-5 -1 0 0b0b0b
-4 -1 0 323857
-3 -1 0 0b0b0b
-2 -1 0 323857
-1 -1 0 323857
0 -6 0 962727
1 -6 0 0b0b0b
2 -6 0 bfc2ce
3 -6 0 0b0b0b
4 -6 0 962727
