# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 db98d8
1 0 0 f4e5f4
2 0 0 db98d8
3 0 0 74108c
4 0 0 a337c0
5 0 0 74108c
6 0 0 a337c0
7 0 0 410e4d
0 1 0 f4e5f4
1 1 0 db98d8
2 1 0 f4e5f4
3 1 0 db98d8
4 1 0 a337c0
5 1 0 a337c0
6 1 0 a337c0
7 1 0 a337c0
8 1 0 410e4d
0 2 0 db98d8
1 2 0 db98d8
2 2 0 f4e5f4
3 2 0 db98d8
4 2 0 ed66eb
5 2 0 a337c0
6 2 0 a337c0
7 2 0 ed66eb
8 2 0 410e4d
0 3 0 f4e5f4
1 3 0 db98d8
2 3 0 db98d8
3 3 0 f4e5f4
4 3 0 ed66eb
5 3 0 ed66eb
6 3 0 a337c0
7 3 0 ed66eb
8 3 0 410e4d
0 4 0 f4e5f4
1 4 0 db98d8
2 4 0 db98d8
3 4 0 f4e5f4
4 4 0 ed66eb
5 4 0 ed66eb
6 4 0 ed66eb
7 4 0 a337c0
8 4 0 410e4d
0 5 0 f4e5f4
1 5 0 db98d8
2 5 0 f4e5f4
3 5 0 db98d8
4 5 0 ed66eb
5 5 0 a337c0
6 5 0 ed66eb
7 5 0 410e4d
0 6 0 db98d8
1 6 0 f4e5f4
2 6 0 db98d8
3 6 0 f4e5f4
4 6 0 a337c0
5 6 0 a337c0
6 6 0 a337c0
7 6 0 410e4d
0 7 0 f4e5f4
1 7 0 db98d8
2 7 0 f4e5f4
3 7 0 a337c0
4 7 0 a337c0
5 7 0 ed66eb
6 7 0 410e4d
0 8 0 db98d8
1 8 0 f4e5f4
2 8 0 a337c0
3 8 0 a337c0
4 8 0 a337c0
5 8 0 a337c0
6 8 0 410e4d
0 9 0 74108c
1 9 0 74108c
2 9 0 a337c0
3 9 0 74108c
4 9 0 a337c0
5 9 0 74108c
6 9 0 410e4d
2 10 0 74108c
3 10 0 410e4d
4 10 0 410e4d
5 10 0 a337c0
6 10 0 74108c
7 10 0 410e4d
5 11 0 410e4d
6 11 0 410e4d
7 11 0 410e4d
0 -4 0 410e4d
1 -4 0 410e4d
2 -4 0 410e4d
3 -4 0 410e4d
0 -3 0 74108c
1 -3 0 74108c
2 -3 0 74108c
3 -3 0 74108c
4 -3 0 410e4d
5 -3 0 410e4d
0 -2 0 db98d8
1 -2 0 74108c
2 -2 0 74108c
3 -2 0 a337c0
4 -2 0 74108c
5 -2 0 74108c
6 -2 0 410e4d
0 -1 0 f4e5f4
1 -1 0 db98d8
2 -1 0 74108c
3 -1 0 74108c
4 -1 0 a337c0
5 -1 0 74108c
6 -1 0 74108c
7 -1 0 410e4d
-5 -4 0 410e4d
-4 -4 0 410e4d
-2 -4 0 410e4d
-1 -4 0 410e4d
-6 -3 0 74108c
-5 -3 0 74108c
-4 -3 0 410e4d
-3 -3 0 74108c
-2 -3 0 74108c
-1 -3 0 74108c
-5 -2 0 410e4d
-4 -2 0 74108c
-3 -2 0 f4e5f4
-2 -2 0 f4e5f4
-1 -2 0 f4e5f4
-5 -1 0 74108c
-4 -1 0 f4e5f4
-3 -1 0 f4e5f4
-2 -1 0 f4e5f4
-1 -1 0 db98d8
-6 0 0 74108c
-5 0 0 f4e5f4
-4 0 0 db98d8
-3 0 0 db98d8
-2 0 0 db98d8
-1 0 0 f4e5f4
-6 1 0 74108c
-5 1 0 f4e5f4
-4 1 0 db98d8
-3 1 0 f4e5f4
-2 1 0 f4e5f4
-1 1 0 db98d8
-6 2 0 74108c
-5 2 0 f4e5f4
-4 2 0 db98d8
-3 2 0 f4e5f4
-2 2 0 db98d8
-1 2 0 f4e5f4
-6 3 0 74108c
-5 3 0 f4e5f4
-4 3 0 db98d8
-3 3 0 f4e5f4
-2 3 0 db98d8
-1 3 0 db98d8
-6 4 0 74108c
-5 4 0 db98d8
-4 4 0 f4e5f4
-3 4 0 db98d8
-2 4 0 f4e5f4
-1 4 0 db98d8
-5 5 0 74108c
-4 5 0 f4e5f4
-3 5 0 db98d8
-2 5 0 f4e5f4
-1 5 0 f4e5f4
-5 6 0 74108c
-4 6 0 db98d8
-3 6 0 f4e5f4
-2 6 0 db98d8
-1 6 0 db98d8
-4 7 0 74108c
-3 7 0 db98d8
-2 7 0 f4e5f4
-1 7 0 f4e5f4
-3 8 0 74108c
-2 8 0 74108c
-1 8 0 db98d8
-1 9 0 74108c
