# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-7 0 0 862312
-6 0 0 862312
-4 0 0 862312
-3 0 0 cca286
-2 0 0 cca286
-1 0 0 ba4904
-8 1 0 862312
-7 1 0 ba4904
-6 1 0 ba4904
-5 1 0 862312
-4 1 0 cca286
-3 1 0 cca286
-2 1 0 ba4904
-1 1 0 ba4904
-8 2 0 ba4904
-7 2 0 f78543
-6 2 0 f78543
-5 2 0 f78543
-4 2 0 f4bd9b
-3 2 0 f4bd9b
-2 2 0 f78543
-1 2 0 f78543
-8 3 0 ba4904
-7 3 0 f78543
-6 3 0 f78543
-5 3 0 ba4904
-4 3 0 f4bd9b
-3 3 0 f4bd9b
-2 3 0 f78543
-1 3 0 f78543
-7 4 0 ba4904
-6 4 0 ba4904
-4 4 0 ba4904
-3 4 0 f4bd9b
-2 4 0 f4bd9b
-1 4 0 f78543
-3 5 0 ba4904
-2 5 0 ba4904
-1 5 0 ba4904
-2 6 0 ba4904
-1 6 0 f78543
-2 7 0 ba4904
-1 7 0 f78543
-1 8 0 ba4904
0 0 0 ba4904
1 0 0 cca286
2 0 0 cca286
3 0 0 ba4904
4 0 0 862312
5 0 0 862312
0 1 0 cca286
1 1 0 cca286
2 1 0 ba4904
3 1 0 ba4904
4 1 0 ba4904
5 1 0 ba4904
6 1 0 862312
0 2 0 f4bd9b
1 2 0 f4bd9b
2 2 0 f78543
3 2 0 0b0a09
4 2 0 0b0a09
5 2 0 ba4904
6 2 0 ba4904
0 3 0 f4bd9b
1 3 0 f4bd9b
2 3 0 f78543
3 3 0 0b0a09
4 3 0 f8f1ec
5 3 0 f78543
6 3 0 ba4904
0 4 0 f78543
1 4 0 f4bd9b
2 4 0 f4bd9b
3 4 0 f78543
4 4 0 ba4904
5 4 0 ba4904
0 5 0 ba4904
1 5 0 ba4904
2 5 0 ba4904
3 5 0 ba4904
0 6 0 f78543
1 6 0 f78543
2 6 0 ba4904
0 7 0 f78543
1 7 0 ba4904
0 8 0 ba4904
0 -3 0 862312
1 -3 0 862312
0 -2 0 ba4904
1 -2 0 ba4904
2 -2 0 862312
0 -1 0 862312
1 -1 0 862312
2 -1 0 862312
3 -1 0 862312
-1 -2 0 862312
-3 -1 0 862312
-2 -1 0 862312
-1 -1 0 862312
