# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-10 0 0 8b5c2e
-9 0 0 f1cc4b
-8 0 0 661609
-6 0 0 661609
-5 0 0 f1cc4b
-4 0 0 661609
-10 1 0 8b5c2e
-9 1 0 f1cc4b
-8 1 0 661609
-7 1 0 661609
-6 1 0 661609
-5 1 0 f1cc4b
-4 1 0 f8bd00
-3 1 0 661609
-2 1 0 661609
-1 1 0 661609
-10 2 0 8b5c2e
-9 2 0 f1cc4b
-8 2 0 f1cc4b
-7 2 0 f98c20
-6 2 0 f8bd00
-5 2 0 f1cc4b
-4 2 0 f1cc4b
-3 2 0 f8bd00
-2 2 0 f1cc4b
-1 2 0 f8bd00
-9 3 0 8b5c2e
-8 3 0 f8bd00
-7 3 0 566f1c
-6 3 0 f98c20
-5 3 0 f1cc4b
-4 3 0 f1cc4b
-3 3 0 661609
-2 3 0 661609
-1 3 0 f1cc4b
-8 4 0 661609
-7 4 0 566f1c
-6 4 0 661609
-5 4 0 f1cc4b
-4 4 0 661609
-3 4 0 bb4f8d
-2 4 0 bb4f8d
-1 4 0 566f1c
-7 5 0 8b5c2e
-6 5 0 f1cc4b
-5 5 0 661609
-4 5 0 661609
-3 5 0 bb4f8d
-2 5 0 661609
-1 5 0 bb4f8d
-6 6 0 8b5c2e
-5 6 0 f1cc4b
-4 6 0 f1cc4b
-3 6 0 566f1c
-2 6 0 f8bd00
-1 6 0 f98c20
-5 7 0 8b5c2e
-4 7 0 f1cc4b
-3 7 0 f1cc4b
-2 7 0 f98c20
-1 7 0 f1cc4b
-4 8 0 8b5c2e
-3 8 0 f8bd00
-2 8 0 f1cc4b
-1 8 0 b17742
-3 9 0 661609
-2 9 0 b17742
-1 9 0 b17742
-2 10 0 8b5c2e
-1 10 0 cd9462
-1 11 0 8b5c2e
0 2 0 661609
1 2 0 661609
2 2 0 661609
0 3 0 bb4f8d
1 3 0 bb4f8d
2 3 0 bb4f8d
3 3 0 661609
4 3 0 661609
5 3 0 661609
0 4 0 f1cc4b
1 4 0 f8bd00
2 4 0 bb4f8d
3 4 0 f1cc4b
4 4 0 b17742
5 4 0 b17742
6 4 0 661609
0 5 0 f8bd00
1 5 0 f1cc4b
2 5 0 f1cc4b
3 5 0 b17742
4 5 0 b17742
5 5 0 cd9462
6 5 0 661609
0 6 0 f1cc4b
1 6 0 f1cc4b
2 6 0 b17742
3 6 0 b17742
4 6 0 cd9462
5 6 0 661609
0 7 0 f1cc4b
1 7 0 b17742
2 7 0 b17742
3 7 0 cd9462
4 7 0 8b5c2e
0 8 0 b17742
1 8 0 b17742
2 8 0 cd9462
3 8 0 8b5c2e
0 9 0 cd9462
1 9 0 cd9462
2 9 0 8b5c2e
0 10 0 cd9462
1 10 0 8b5c2e
0 11 0 8b5c2e
-9 -2 0 661609
-10 -1 0 8b5c2e
-9 -1 0 f1cc4b
-8 -1 0 661609
-5 -1 0 661609
