# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-14 0 0 3e1111
-13 0 0 5d1313
-12 0 0 752d2d
-11 0 0 865050
-10 0 0 752d2d
-9 0 0 5d1313
-8 0 0 5d1313
-7 0 0 5d1313
-6 0 0 b17b7b
-5 0 0 752d2d
-4 0 0 752d2d
-3 0 0 5d1313
-2 0 0 cd7d39
-1 0 0 f9bf8a
-14 1 0 3e1111
-13 1 0 5d1313
-12 1 0 e761f1
-11 1 0 752d2d
-10 1 0 5d1313
-9 1 0 cd7d39
-8 1 0 a45015
-6 1 0 5d1313
-5 1 0 752d2d
-4 1 0 e761f1
-3 1 0 752d2d
-2 1 0 cd7d39
-1 1 0 ee9d56
-13 2 0 3e1111
-12 2 0 5d1313
-11 2 0 752d2d
-10 2 0 5d1313
-9 2 0 cd7d39
-8 2 0 a45015
-7 2 0 a45015
-5 2 0 752d2d
-4 2 0 865050
-3 2 0 b17b7b
-2 2 0 5d1313
-1 2 0 cd7d39
-13 3 0 3e1111
-12 3 0 5d1313
-11 3 0 5d1313
-10 3 0 5d1313
-9 3 0 5d1313
-8 3 0 cd7d39
-7 3 0 a45015
-6 3 0 a45015
-5 3 0 a45015
-4 3 0 752d2d
-3 3 0 865050
-2 3 0 752d2d
-1 3 0 752d2d
-12 4 0 3e1111
-11 4 0 5d1313
-10 4 0 5d1313
-9 4 0 5d1313
-8 4 0 5d1313
-7 4 0 cd7d39
-6 4 0 cd7d39
-5 4 0 cd7d39
-4 4 0 5d1313
-3 4 0 752d2d
-2 4 0 752d2d
-1 4 0 752d2d
-11 5 0 3e1111
-10 5 0 752d2d
-9 5 0 752d2d
-8 5 0 752d2d
-7 5 0 5d1313
-6 5 0 5d1313
-5 5 0 5d1313
-4 5 0 5d1313
-3 5 0 752d2d
-2 5 0 b17b7b
-1 5 0 752d2d
-10 6 0 3e1111
-9 6 0 752d2d
-8 6 0 752d2d
-7 6 0 93f47f
-6 6 0 752d2d
-5 6 0 752d2d
-4 6 0 e761f1
-3 6 0 b17b7b
-2 6 0 865050
-1 6 0 752d2d
-9 7 0 3e1111
-8 7 0 752d2d
-7 7 0 752d2d
-6 7 0 752d2d
-5 7 0 865050
-4 7 0 865050
-3 7 0 865050
-2 7 0 752d2d
-1 7 0 5d1313
-7 8 0 5d1313
-6 8 0 5d1313
-5 8 0 5d1313
-4 8 0 5d1313
-3 8 0 5d1313
-2 8 0 5d1313
-10 -6 0 a45015
-9 -6 0 a45015
-8 -6 0 a45015
-7 -6 0 a45015
-6 -6 0 a45015
-12 -5 0 85420d
-11 -5 0 85420d
-10 -5 0 cd7d39
-9 -5 0 cd7d39
-8 -5 0 ee9d56
-7 -5 0 ee9d56
-6 -5 0 ee9d56
-5 -5 0 a45015
-4 -5 0 a45015
-13 -4 0 85420d
-12 -4 0 cd7d39
-11 -4 0 cd7d39
-10 -4 0 ee9d56
-9 -4 0 ee9d56
-8 -4 0 ee9d56
-7 -4 0 ee9d56
-6 -4 0 ee9d56
-5 -4 0 ee9d56
-4 -4 0 cd7d39
-3 -4 0 a45015
-14 -3 0 3e1111
-13 -3 0 cd7d39
-12 -3 0 5d1313
-11 -3 0 5d1313
-10 -3 0 5d1313
-9 -3 0 5d1313
-8 -3 0 5d1313
-7 -3 0 cd7d39
-6 -3 0 ee9d56
-5 -3 0 f9bf8a
-4 -3 0 f9bf8a
-3 -3 0 ee9d56
-2 -3 0 a45015
-14 -2 0 3e1111
-13 -2 0 5d1313
-12 -2 0 5d1313
-11 -2 0 5d1313
-10 -2 0 752d2d
-9 -2 0 e761f1
-8 -2 0 752d2d
-7 -2 0 752d2d
-6 -2 0 5d1313
-5 -2 0 5d1313
-4 -2 0 cd7d39
-3 -2 0 f9bf8a
-2 -2 0 ee9d56
-1 -2 0 a45015
-14 -1 0 3e1111
-13 -1 0 5d1313
-12 -1 0 93f47f
-11 -1 0 752d2d
-10 -1 0 865050
-9 -1 0 865050
-8 -1 0 865050
-7 -1 0 b17b7b
-6 -1 0 752d2d
-5 -1 0 752d2d
-4 -1 0 5d1313
-3 -1 0 cd7d39
-2 -1 0 f9bf8a
-1 -1 0 f9bf8a
0 0 0 a45015
0 1 0 cd7d39
1 1 0 a45015
0 2 0 cd7d39
1 2 0 a45015
0 3 0 cd7d39
1 3 0 a45015
0 4 0 cd7d39
1 4 0 a45015
0 5 0 a45015
0 6 0 a45015
0 -1 0 a45015
