# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-7 -5 0 804b1f
-6 -5 0 804b1f
-5 -5 0 804b1f
-4 -5 0 804b1f
-8 -4 0 804b1f
-7 -4 0 f3ece6
-6 -4 0 ccc8c2
-5 -4 0 aca9a0
-4 -4 0 be6520
-3 -4 0 804b1f
-2 -4 0 804b1f
-11 -3 0 804b1f
-10 -3 0 804b1f
-9 -3 0 804b1f
-8 -3 0 f3ece6
-7 -3 0 f3ece6
-6 -3 0 f3ece6
-5 -3 0 ccc8c2
-4 -3 0 aca9a0
-3 -3 0 aca9a0
-2 -3 0 aca9a0
-1 -3 0 804b1f
-12 -2 0 804b1f
-11 -2 0 f3ece6
-10 -2 0 f3ece6
-9 -2 0 ccc8c2
-8 -2 0 ccc8c2
-7 -2 0 f3ece6
-6 -2 0 ccc8c2
-5 -2 0 ccc8c2
-4 -2 0 ccc8c2
-3 -2 0 ccc8c2
-2 -2 0 aca9a0
-1 -2 0 804b1f
-13 -1 0 ebb642
-12 -1 0 f3ece6
-11 -1 0 ccc8c2
-10 -1 0 f3ece6
-9 -1 0 f3ece6
-8 -1 0 ccc8c2
-7 -1 0 ebb642
-6 -1 0 ebb642
-5 -1 0 be6520
-4 -1 0 be6520
-3 -1 0 ccc8c2
-2 -1 0 ccc8c2
-1 -1 0 aca9a0
0 -2 0 804b1f
1 -2 0 804b1f
0 -1 0 aca9a0
1 -1 0 be6520
2 -1 0 804b1f
0 0 0 ccc8c2
1 0 0 aca9a0
2 0 0 aca9a0
3 0 0 804b1f
0 1 0 ccc8c2
1 1 0 ccc8c2
2 1 0 aca9a0
3 1 0 804b1f
0 2 0 aca9a0
1 2 0 aca9a0
2 2 0 804b1f
0 3 0 f3ece6
1 3 0 804b1f
0 4 0 804b1f
-13 0 0 ebb642
-12 0 0 f3ece6
-11 0 0 f3ece6
-10 0 0 ccc8c2
-9 0 0 f3ece6
-8 0 0 ebb642
-7 0 0 e9d475
-6 0 0 e9d475
-5 0 0 ebb642
-4 0 0 be6520
-3 0 0 be6520
-2 0 0 ccc8c2
-1 0 0 ccc8c2
-12 1 0 ebb642
-11 1 0 ccc8c2
-10 1 0 ccc8c2
-9 1 0 f3ece6
-8 1 0 ebb642
-7 1 0 f8e69d
-6 1 0 f8e69d
-5 1 0 e9d475
-4 1 0 ebb642
-3 1 0 be6520
-2 1 0 ccc8c2
-1 1 0 ccc8c2
-11 2 0 ebb642
-10 2 0 f3ece6
-9 2 0 ccc8c2
-8 2 0 f3ece6
-7 2 0 e9d475
-6 2 0 e9d475
-5 2 0 ebb642
-4 2 0 e9d475
-3 2 0 f3ece6
-2 2 0 f3ece6
-1 2 0 ccc8c2
-10 3 0 ebb642
-9 3 0 f3ece6
-8 3 0 f3ece6
-7 3 0 f3ece6
-6 3 0 f3ece6
-5 3 0 f3ece6
-4 3 0 f3ece6
-3 3 0 f3ece6
-2 3 0 f3ece6
-1 3 0 f3ece6
-9 4 0 ebb642
-8 4 0 ebb642
-7 4 0 f3ece6
-6 4 0 f3ece6
-5 4 0 ebb642
-4 4 0 ebb642
-3 4 0 f3ece6
-2 4 0 f3ece6
-1 4 0 f3ece6
-7 5 0 ebb642
-6 5 0 ebb642
-3 5 0 ebb642
-2 5 0 ebb642
-1 5 0 ebb642
