# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 -10 0 850a0a
0 -9 0 b72020
1 -9 0 850a0a
0 -8 0 bd2929
1 -8 0 bd2929
2 -8 0 850a0a
0 -7 0 bd2929
1 -7 0 bd2929
2 -7 0 bd2929
3 -7 0 850a0a
0 -6 0 bd2929
1 -6 0 d25e5e
2 -6 0 bd2929
3 -6 0 bd2929
4 -6 0 850a0a
0 -5 0 d25e5e
1 -5 0 d25e5e
2 -5 0 d25e5e
3 -5 0 bd2929
4 -5 0 bd2929
5 -5 0 850a0a
0 -4 0 d25e5e
1 -4 0 d25e5e
2 -4 0 d25e5e
3 -4 0 d25e5e
4 -4 0 bd2929
5 -4 0 bd2929
6 -4 0 850a0a
0 -3 0 f49595
1 -3 0 d25e5e
2 -3 0 d25e5e
3 -3 0 d25e5e
4 -3 0 d25e5e
5 -3 0 d25e5e
6 -3 0 850a0a
0 -2 0 850a0a
1 -2 0 d25e5e
2 -2 0 d25e5e
3 -2 0 f49595
4 -2 0 f6b891
5 -2 0 d25e5e
6 -2 0 850a0a
1 -1 0 850a0a
2 -1 0 f49595
3 -1 0 f49595
4 -1 0 d25e5e
5 -1 0 850a0a
2 0 0 850a0a
3 0 0 850a0a
4 0 0 850a0a
-1 -9 0 850a0a
-2 -8 0 850a0a
-1 -8 0 b72020
-3 -7 0 850a0a
-2 -7 0 b72020
-1 -7 0 bd2929
-4 -6 0 850a0a
-3 -6 0 b72020
-2 -6 0 bd2929
-1 -6 0 bd2929
-5 -5 0 850a0a
-4 -5 0 b72020
-3 -5 0 bd2929
-2 -5 0 bd2929
-1 -5 0 bd2929
-6 -4 0 850a0a
-5 -4 0 b72020
-4 -4 0 bd2929
-3 -4 0 bd2929
-2 -4 0 d25e5e
-1 -4 0 d25e5e
-6 -3 0 850a0a
-5 -3 0 b72020
-4 -3 0 bd2929
-3 -3 0 d25e5e
-2 -3 0 d25e5e
-1 -3 0 f49595
-6 -2 0 850a0a
-5 -2 0 d25e5e
-4 -2 0 d25e5e
-3 -2 0 f49595
-2 -2 0 f6b891
-1 -2 0 d25e5e
-5 -1 0 850a0a
-4 -1 0 f49595
-3 -1 0 f49595
-2 -1 0 d25e5e
-1 -1 0 850a0a
-4 0 0 850a0a
-3 0 0 850a0a
-2 0 0 850a0a
