# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-7 -8 0 5d3b19
-6 -8 0 5d3b19
-5 -8 0 5d3b19
-4 -8 0 a3662a
-3 -8 0 a3662a
-2 -8 0 a3662a
-1 -8 0 a3662a
-8 -7 0 5d3b19
-7 -7 0 5d3b19
-6 -7 0 a3662a
-5 -7 0 c37125
-4 -7 0 a3662a
-3 -7 0 c37125
-2 -7 0 efae6b
-1 -7 0 c37125
-10 -6 0 5d3b19
-9 -6 0 5d3b19
-8 -6 0 a3662a
-7 -6 0 a3662a
-6 -6 0 c37125
-5 -6 0 a3662a
-4 -6 0 c37125
-3 -6 0 a3662a
-2 -6 0 c37125
-1 -6 0 efae6b
-11 -5 0 5d3b19
-10 -5 0 5d3b19
-9 -5 0 a3662a
-8 -5 0 53901e
-7 -5 0 53901e
-6 -5 0 53901e
-5 -5 0 53901e
-4 -5 0 53901e
-3 -5 0 53901e
-2 -5 0 a3662a
-1 -5 0 c37125
-11 -4 0 5d3b19
-10 -4 0 53901e
-9 -4 0 53901e
-8 -4 0 bee581
-7 -4 0 bee581
-6 -4 0 bee581
-5 -4 0 bee581
-4 -4 0 bee581
-3 -4 0 bee581
-2 -4 0 53901e
-1 -4 0 53901e
-12 -3 0 5d3b19
-11 -3 0 53901e
-10 -3 0 bee581
-9 -3 0 bee581
-8 -3 0 bee581
-7 -3 0 596b36
-6 -3 0 bee581
-5 -3 0 596b36
-4 -3 0 bee581
-3 -3 0 c5f15f
-2 -3 0 bee581
-1 -3 0 bee581
-12 -2 0 5d3b19
-11 -2 0 bee581
-10 -2 0 bee581
-9 -2 0 596b36
-8 -2 0 e8f797
-7 -2 0 596b36
-6 -2 0 080808
-5 -2 0 596b36
-4 -2 0 080808
-3 -2 0 596b36
-2 -2 0 bee581
-1 -2 0 c5f15f
-12 -1 0 a3662a
-11 -1 0 bee581
-10 -1 0 596b36
-9 -1 0 596b36
-8 -1 0 080808
-7 -1 0 c5f15f
-6 -1 0 e8f797
-5 -1 0 e8f797
-4 -1 0 e8f797
-3 -1 0 c5f15f
-2 -1 0 080808
-1 -1 0 e8f797
-12 0 0 a3662a
-11 0 0 bee581
-10 0 0 c5f15f
-9 0 0 e8f797
-8 0 0 c5f15f
-7 0 0 e8f797
-6 0 0 e8f797
-5 0 0 e8f797
-4 0 0 e8f797
-3 0 0 e8f797
-2 0 0 596b36
-1 0 0 e8f797
-12 1 0 a3662a
-11 1 0 53901e
-10 1 0 bee581
-9 1 0 596b36
-8 1 0 596b36
-7 1 0 080808
-6 1 0 e8f797
-5 1 0 e8f797
-4 1 0 e8f797
-3 1 0 080808
-2 1 0 596b36
-1 1 0 596b36
-11 2 0 a3662a
-10 2 0 bee581
-9 2 0 596b36
-8 2 0 e8f797
-7 2 0 c5f15f
-6 2 0 596b36
-5 2 0 080808
-4 2 0 596b36
-3 2 0 c5f15f
-2 2 0 e8f797
-1 2 0 e8f797
-11 3 0 a3662a
-10 3 0 53901e
-9 3 0 bee581
-8 3 0 c5f15f
-7 3 0 e8f797
-6 3 0 596b36
-5 3 0 c5f15f
-4 3 0 596b36
-3 3 0 596b36
-2 3 0 e8f797
-1 3 0 bee581
-10 4 0 a3662a
-9 4 0 bee581
-8 4 0 bee581
-7 4 0 bee581
-6 4 0 bee581
-5 4 0 bee581
-4 4 0 bee581
-3 4 0 bee581
-2 4 0 bee581
-1 4 0 bee581
-9 5 0 a3662a
-8 5 0 a3662a
-7 5 0 53901e
-6 5 0 bee581
-5 5 0 bee581
-4 5 0 bee581
-3 5 0 bee581
-2 5 0 bee581
-1 5 0 53901e
-7 6 0 a3662a
-6 6 0 a3662a
-5 6 0 a3662a
-4 6 0 a3662a
-3 6 0 a3662a
-2 6 0 a3662a
-1 6 0 a3662a
0 0 0 bee581
1 0 0 bee581
2 0 0 53901e
3 0 0 c37125
4 0 0 a3662a
0 1 0 bee581
1 1 0 bee581
2 1 0 53901e
3 1 0 a3662a
0 2 0 bee581
1 2 0 bee581
2 2 0 53901e
3 2 0 a3662a
0 3 0 bee581
1 3 0 53901e
2 3 0 a3662a
0 4 0 bee581
1 4 0 53901e
2 4 0 a3662a
0 5 0 a3662a
1 5 0 a3662a
0 -8 0 a3662a
0 -7 0 c37125
1 -7 0 a3662a
0 -6 0 c37125
1 -6 0 efae6b
2 -6 0 a3662a
0 -5 0 efae6b
1 -5 0 c37125
2 -5 0 efae6b
3 -5 0 a3662a
0 -4 0 a3662a
1 -4 0 efae6b
2 -4 0 efae6b
3 -4 0 a3662a
0 -3 0 53901e
1 -3 0 a3662a
2 -3 0 efae6b
3 -3 0 efae6b
4 -3 0 a3662a
0 -2 0 bee581
1 -2 0 53901e
2 -2 0 a3662a
3 -2 0 efae6b
4 -2 0 a3662a
0 -1 0 bee581
1 -1 0 bee581
2 -1 0 a3662a
3 -1 0 efae6b
4 -1 0 a3662a
