# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-12 0 0 1f1c1c
-11 0 0 086287
-10 0 0 1ea6db
-9 0 0 086287
-8 0 0 1ea6db
-7 0 0 5ecaf7
-6 0 0 5ecaf7
-5 0 0 5ecaf7
-4 0 0 5ecaf7
-3 0 0 012736
-2 0 0 012736
-1 0 0 5ecaf7
-12 1 0 1f1c1c
-11 1 0 1ea6db
-10 1 0 086287
-9 1 0 1ea6db
-8 1 0 5ecaf7
-7 1 0 5ecaf7
-6 1 0 5ecaf7
-5 1 0 012736
-4 1 0 5ecaf7
-3 1 0 5ecaf7
-2 1 0 5ecaf7
-1 1 0 5ecaf7
-12 2 0 1f1c1c
-11 2 0 1ea6db
-10 2 0 1ea6db
-9 2 0 5ecaf7
-8 2 0 5ecaf7
-7 2 0 5ecaf7
-6 2 0 5ecaf7
-5 2 0 5ecaf7
-4 2 0 5ecaf7
-3 2 0 5ecaf7
-2 2 0 5ecaf7
-1 2 0 5ecaf7
-11 3 0 1f1c1c
-10 3 0 1ea6db
-9 3 0 5ecaf7
-8 3 0 5ecaf7
-7 3 0 5ecaf7
-6 3 0 5ecaf7
-5 3 0 5ecaf7
-4 3 0 5ecaf7
-3 3 0 5ecaf7
-2 3 0 5ecaf7
-1 3 0 5ecaf7
-10 4 0 1f1c1c
-9 4 0 1ea6db
-8 4 0 5ecaf7
-7 4 0 5ecaf7
-6 4 0 5ecaf7
-5 4 0 5ecaf7
-4 4 0 cae9f4
-3 4 0 5ecaf7
-2 4 0 5ecaf7
-1 4 0 1ea6db
-9 5 0 433d3d
-8 5 0 433d3d
-7 5 0 433d3d
-6 5 0 433d3d
-5 5 0 433d3d
-4 5 0 433d3d
-3 5 0 433d3d
-2 5 0 433d3d
-1 5 0 433d3d
-9 6 0 433d3d
-8 6 0 433d3d
-7 6 0 433d3d
-6 6 0 433d3d
-5 6 0 433d3d
-4 6 0 433d3d
-3 6 0 433d3d
-2 6 0 433d3d
-1 6 0 433d3d
-7 7 0 433d3d
-6 7 0 433d3d
-5 7 0 a9a3a3
-4 7 0 a9a3a3
-3 7 0 a9a3a3
-7 8 0 433d3d
-6 8 0 433d3d
-5 8 0 a9a3a3
-4 8 0 a9a3a3
-3 8 0 a9a3a3
-7 9 0 433d3d
-6 9 0 433d3d
-5 9 0 a9a3a3
-4 9 0 a9a3a3
-3 9 0 a9a3a3
-7 10 0 433d3d
-6 10 0 433d3d
-5 10 0 a9a3a3
-4 10 0 a9a3a3
-3 10 0 a9a3a3
-7 11 0 433d3d
-6 11 0 433d3d
-5 11 0 a9a3a3
-4 11 0 a9a3a3
-3 11 0 a9a3a3
-7 12 0 433d3d
-6 12 0 433d3d
-5 12 0 a9a3a3
-4 12 0 a9a3a3
-3 12 0 a9a3a3
-9 -5 0 1f1c1c
-8 -5 0 1f1c1c
-7 -5 0 1f1c1c
-6 -5 0 1f1c1c
-5 -5 0 1f1c1c
-4 -5 0 1f1c1c
-3 -5 0 1f1c1c
-2 -5 0 1f1c1c
-1 -5 0 1f1c1c
-10 -4 0 1f1c1c
-9 -4 0 086287
-8 -4 0 086287
-7 -4 0 086287
-6 -4 0 086287
-5 -4 0 086287
-4 -4 0 086287
-3 -4 0 086287
-2 -4 0 086287
-1 -4 0 086287
-11 -3 0 1f1c1c
-10 -3 0 086287
-9 -3 0 086287
-8 -3 0 086287
-7 -3 0 086287
-6 -3 0 086287
-5 -3 0 1ea6db
-4 -3 0 1ea6db
-3 -3 0 1ea6db
-2 -3 0 1ea6db
-1 -3 0 1ea6db
-12 -2 0 1f1c1c
-11 -2 0 086287
-10 -2 0 086287
-9 -2 0 086287
-8 -2 0 1ea6db
-7 -2 0 086287
-6 -2 0 1ea6db
-5 -2 0 1ea6db
-4 -2 0 1ea6db
-3 -2 0 086287
-2 -2 0 086287
-1 -2 0 1ea6db
-12 -1 0 1f1c1c
-11 -1 0 086287
-10 -1 0 086287
-9 -1 0 1ea6db
-8 -1 0 086287
-7 -1 0 1ea6db
-6 -1 0 5ecaf7
-5 -1 0 5ecaf7
-4 -1 0 5ecaf7
-3 -1 0 012736
-2 -1 0 012736
-1 -1 0 5ecaf7
0 -5 0 1f1c1c
1 -5 0 1f1c1c
0 -4 0 086287
1 -4 0 086287
2 -4 0 1f1c1c
0 -3 0 1ea6db
1 -3 0 1ea6db
2 -3 0 086287
3 -3 0 1f1c1c
0 -2 0 1ea6db
1 -2 0 1ea6db
2 -2 0 1ea6db
3 -2 0 1f1c1c
0 -1 0 5ecaf7
1 -1 0 1ea6db
2 -1 0 1ea6db
3 -1 0 1f1c1c
0 0 0 5ecaf7
1 0 0 5ecaf7
2 0 0 1ea6db
3 0 0 1f1c1c
0 1 0 012736
1 1 0 5ecaf7
2 1 0 1ea6db
3 1 0 1f1c1c
0 2 0 5ecaf7
1 2 0 1ea6db
2 2 0 1f1c1c
0 3 0 1ea6db
1 3 0 1f1c1c
0 4 0 1f1c1c
