# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-11 -16 0 60657a
-10 -16 0 60657a
-7 -16 0 60657a
-6 -16 0 60657a
-2 -16 0 60657a
-1 -16 0 60657a
-12 -15 0 60657a
-11 -15 0 fcfcfe
-10 -15 0 e3e4e9
-9 -15 0 60657a
-8 -15 0 60657a
-7 -15 0 fcfcfe
-6 -15 0 e3e4e9
-5 -15 0 60657a
-3 -15 0 60657a
-2 -15 0 fcfcfe
-1 -15 0 60657a
-11 -14 0 60657a
-10 -14 0 e3e4e9
-9 -14 0 d1d3e2
-8 -14 0 60657a
-7 -14 0 d1d3e2
-6 -14 0 d1d3e2
-5 -14 0 d1d3e2
-4 -14 0 60657a
-3 -14 0 d1d3e2
-2 -14 0 d1d3e2
-1 -14 0 d1d3e2
-11 -13 0 60657a
-10 -13 0 60657a
-9 -13 0 d1d3e2
-8 -13 0 60657a
-7 -13 0 84899c
-6 -13 0 60657a
-5 -13 0 60657a
-4 -13 0 84899c
-3 -13 0 84899c
-2 -13 0 60657a
-1 -13 0 60657a
-10 -12 0 60657a
-9 -12 0 60657a
-8 -12 0 84899c
-7 -12 0 afb1c0
-6 -12 0 afb1c0
-5 -12 0 afb1c0
-4 -12 0 afb1c0
-3 -12 0 afb1c0
-2 -12 0 84899c
-1 -12 0 84899c
-12 -11 0 60657a
-11 -11 0 84899c
-10 -11 0 84899c
-9 -11 0 afb1c0
-8 -11 0 afb1c0
-7 -11 0 afb1c0
-6 -11 0 afb1c0
-5 -11 0 afb1c0
-4 -11 0 afb1c0
-3 -11 0 afb1c0
-2 -11 0 afb1c0
-1 -11 0 84899c
-13 -10 0 60657a
-12 -10 0 84899c
-11 -10 0 afb1c0
-10 -10 0 afb1c0
-9 -10 0 d1d3e2
-8 -10 0 d1d3e2
-7 -10 0 d1d3e2
-6 -10 0 d1d3e2
-5 -10 0 d1d3e2
-4 -10 0 afb1c0
-3 -10 0 afb1c0
-2 -10 0 afb1c0
-1 -10 0 afb1c0
-13 -9 0 84899c
-12 -9 0 afb1c0
-11 -9 0 d1d3e2
-10 -9 0 d1d3e2
-9 -9 0 d1d3e2
-8 -9 0 d1d3e2
-7 -9 0 d1d3e2
-6 -9 0 d1d3e2
-5 -9 0 d1d3e2
-4 -9 0 d1d3e2
-3 -9 0 d1d3e2
-2 -9 0 afb1c0
-1 -9 0 afb1c0
-14 -8 0 60657a
-13 -8 0 84899c
-12 -8 0 d1d3e2
-11 -8 0 e3e4e9
-10 -8 0 d1d3e2
-9 -8 0 d1d3e2
-8 -8 0 d1d3e2
-7 -8 0 e3e4e9
-6 -8 0 e3e4e9
-5 -8 0 d1d3e2
-4 -8 0 d1d3e2
-3 -8 0 d1d3e2
-2 -8 0 d1d3e2
-1 -8 0 afb1c0
-14 -7 0 45527c
-13 -7 0 7380a0
-12 -7 0 ffffff
-11 -7 0 e3e4e9
-10 -7 0 e3e4e9
-9 -7 0 c86560
-8 -7 0 e3e4e9
-7 -7 0 e3e4e9
-6 -7 0 e3e4e9
-5 -7 0 e3e4e9
-4 -7 0 e3e4e9
-3 -7 0 d1d3e2
-2 -7 0 9aa8c3
-1 -7 0 7380a0
-14 -6 0 526392
-13 -6 0 7380a0
-12 -6 0 9aa8c3
-11 -6 0 ffffff
-10 -6 0 fb8f8c
-9 -6 0 c86560
-8 -6 0 c86560
-7 -6 0 e3e4e9
-6 -6 0 ffffff
-5 -6 0 ffffff
-4 -6 0 e3e4e9
-3 -6 0 9aa8c3
-2 -6 0 9aa8c3
-1 -6 0 9aa8c3
-15 -5 0 45527c
-14 -5 0 7380a0
-13 -5 0 9aa8c3
-12 -5 0 011b32
-11 -5 0 011b32
-10 -5 0 fb8f8c
-9 -5 0 fb8f8c
-8 -5 0 e47b77
-7 -5 0 e3e4e9
-6 -5 0 ffffff
-5 -5 0 9aa8c3
-4 -5 0 9aa8c3
-3 -5 0 011b32
-2 -5 0 011b32
-1 -5 0 ffffff
-15 -4 0 45527c
-14 -4 0 7380a0
-13 -4 0 011b32
-12 -4 0 011b32
-11 -4 0 011b32
-10 -4 0 011b32
-9 -4 0 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 9aa8c3
-4 -4 0 011b32
-3 -4 0 011b32
-2 -4 0 011b32
-1 -4 0 011b32
-15 -3 0 526392
-14 -3 0 ffffff
-13 -3 0 011b32
-12 -3 0 011b32
-11 -3 0 011b32
-10 -3 0 011b32
-9 -3 0 7380a0
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 9aa8c3
-5 -3 0 9aa8c3
-4 -3 0 011b32
-3 -3 0 011b32
-2 -3 0 011b32
-1 -3 0 011b32
-14 -2 0 526392
-13 -2 0 ffffff
-12 -2 0 011b32
-11 -2 0 011b32
-10 -2 0 ffffff
-9 -2 0 7380a0
-8 -2 0 9aa8c3
-7 -2 0 9aa8c3
-6 -2 0 9aa8c3
-5 -2 0 9aa8c3
-4 -2 0 ffffff
-3 -2 0 011b32
-2 -2 0 011b32
-1 -2 0 ffffff
-14 -1 0 526392
-13 -1 0 7380a0
-12 -1 0 ffffff
-11 -1 0 ffffff
-10 -1 0 7380a0
-9 -1 0 7380a0
-8 -1 0 7380a0
-7 -1 0 9aa8c3
-6 -1 0 9aa8c3
-5 -1 0 9aa8c3
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
1 -16 0 60657a
2 -16 0 60657a
0 -15 0 60657a
1 -15 0 e3e4e9
2 -15 0 fcfcfe
3 -15 0 60657a
0 -14 0 60657a
1 -14 0 d1d3e2
2 -14 0 e3e4e9
3 -14 0 60657a
0 -13 0 60657a
1 -13 0 d1d3e2
2 -13 0 60657a
0 -12 0 84899c
1 -12 0 60657a
2 -12 0 2e3758
0 -11 0 84899c
1 -11 0 84899c
2 -11 0 60657a
3 -11 0 2e3758
0 -10 0 afb1c0
1 -10 0 84899c
2 -10 0 84899c
3 -10 0 2e3758
4 -10 0 2e3758
0 -9 0 afb1c0
1 -9 0 afb1c0
2 -9 0 313f59
3 -9 0 313f59
4 -9 0 313f59
5 -9 0 2e3758
0 -8 0 7380a0
1 -8 0 313f59
2 -8 0 7380a0
3 -8 0 7380a0
4 -8 0 7380a0
5 -8 0 313f59
6 -8 0 2e3758
0 -7 0 313f59
1 -7 0 7380a0
2 -7 0 7380a0
3 -7 0 313f59
4 -7 0 313f59
5 -7 0 526295
6 -7 0 2e3758
0 -6 0 7380a0
1 -6 0 313f59
2 -6 0 7380a0
3 -6 0 7380a0
4 -6 0 7380a0
5 -6 0 313f59
6 -6 0 313f59
