# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 -15 0 3f8abf
-7 -15 0 3f8abf
-6 -15 0 3f8abf
-5 -15 0 3f8abf
-4 -15 0 3f8abf
-3 -15 0 3f8abf
-10 -14 0 3f8abf
-9 -14 0 3f8abf
-8 -14 0 2b6b98
-7 -14 0 2b6b98
-6 -14 0 2b6b98
-5 -14 0 2b6b98
-4 -14 0 2b6b98
-3 -14 0 2b6b98
-2 -14 0 3f8abf
-1 -14 0 3f8abf
-11 -13 0 3f8abf
-10 -13 0 2b6b98
-9 -13 0 2b6b98
-8 -13 0 2b6b98
-7 -13 0 2b6b98
-6 -13 0 2b6b98
-5 -13 0 2b6b98
-4 -13 0 2b6b98
-3 -13 0 2b6b98
-2 -13 0 2b6b98
-1 -13 0 2b6b98
-12 -12 0 3f8abf
-11 -12 0 2b6b98
-10 -12 0 2b6b98
-9 -12 0 2b6b98
-8 -12 0 2b6b98
-7 -12 0 2b6b98
-6 -12 0 2b6b98
-5 -12 0 2b6b98
-4 -12 0 2b6b98
-3 -12 0 2b6b98
-2 -12 0 2b6b98
-1 -12 0 2b6b98
-13 -11 0 3f8abf
-12 -11 0 2b6b98
-11 -11 0 2b6b98
-10 -11 0 2b6b98
-9 -11 0 2b6b98
-8 -11 0 2b6b98
-7 -11 0 29568d
-6 -11 0 29568d
-5 -11 0 29568d
-4 -11 0 29568d
-3 -11 0 29568d
-2 -11 0 29568d
-1 -11 0 29568d
-14 -10 0 3f8abf
-13 -10 0 2b6b98
-12 -10 0 2b6b98
-11 -10 0 29568d
-10 -10 0 29568d
-9 -10 0 29568d
-8 -10 0 29568d
-7 -10 0 29568d
-6 -10 0 29568d
-5 -10 0 2b6b98
-4 -10 0 1b406d
-3 -10 0 1b406d
-2 -10 0 29568d
-1 -10 0 29568d
-14 -9 0 2b6b98
-13 -9 0 2b6b98
-12 -9 0 29568d
-11 -9 0 29568d
-10 -9 0 29568d
-9 -9 0 29568d
-8 -9 0 2b6b98
-7 -9 0 2b6b98
-6 -9 0 2b6b98
-5 -9 0 d9ae7c
-4 -9 0 d9ae7c
-3 -9 0 1b406d
-2 -9 0 1b406d
-1 -9 0 27547e
-15 -8 0 1b406d
-14 -8 0 2b6b98
-13 -8 0 29568d
-12 -8 0 29568d
-11 -8 0 609ca6
-10 -8 0 609ca6
-9 -8 0 1b406d
-8 -8 0 1b406d
-7 -8 0 609ca6
-6 -8 0 609ca6
-5 -8 0 1b406d
-4 -8 0 ffe2a8
-3 -8 0 d9ae7c
-2 -8 0 29568d
-1 -8 0 27547e
-15 -7 0 1b406d
-14 -7 0 29568d
-13 -7 0 29568d
-12 -7 0 1b406d
-11 -7 0 609ca6
-10 -7 0 d9ae7c
-9 -7 0 d9ae7c
-8 -7 0 ffe2a8
-7 -7 0 d9ae7c
-6 -7 0 1b406d
-5 -7 0 2b6b98
-4 -7 0 29568d
-3 -7 0 d9ae7c
-2 -7 0 29568d
-1 -7 0 2b6b98
-15 -6 0 1b406d
-14 -6 0 29568d
-13 -6 0 d9ae7c
-12 -6 0 d9ae7c
-11 -6 0 1b406d
-10 -6 0 d9ae7c
-9 -6 0 d9ae7c
-8 -6 0 ffe2a8
-7 -6 0 d9ae7c
-6 -6 0 1b406d
-5 -6 0 2b6b98
-4 -6 0 2b6b98
-3 -6 0 29568d
-2 -6 0 2b6b98
-1 -6 0 2b6b98
-14 -5 0 1b406d
-13 -5 0 d9ae7c
-12 -5 0 d9ae7c
-11 -5 0 d9ae7c
-10 -5 0 ffe2a8
-9 -5 0 d9ae7c
-8 -5 0 1b406d
-7 -5 0 ffe2a8
-6 -5 0 2b6b98
-5 -5 0 2b6b98
-4 -5 0 081c35
-3 -5 0 081c35
-2 -5 0 2b6b98
-1 -5 0 2b6b98
-14 -4 0 1b406d
-13 -4 0 ffe2a8
-12 -4 0 d9ae7c
-11 -4 0 1b406d
-10 -4 0 ffe2a8
-9 -4 0 d9ae7c
-8 -4 0 1b406d
-7 -4 0 29568d
-6 -4 0 2b6b98
-5 -4 0 081c35
-4 -4 0 081c35
-3 -4 0 081c35
-2 -4 0 081c35
-1 -4 0 2b6b98
-13 -3 0 ffe2a8
-12 -3 0 d9ae7c
-11 -3 0 1b406d
-10 -3 0 ffe2a8
-9 -3 0 d9ae7c
-8 -3 0 29568d
-7 -3 0 2b6b98
-6 -3 0 2b6b98
-5 -3 0 566a82
-4 -3 0 566a82
-3 -3 0 081c35
-2 -3 0 081c35
-1 -3 0 2b6b98
-15 -2 0 e6e7bf
-13 -2 0 ffe2a8
-12 -2 0 d9ae7c
-11 -2 0 29568d
-10 -2 0 29568d
-9 -2 0 ffe2a8
-8 -2 0 29568d
-7 -2 0 2b6b98
-6 -2 0 2b6b98
-5 -2 0 2b6b98
-4 -2 0 cecfa7
-3 -2 0 081c35
-2 -2 0 2b6b98
-1 -2 0 2b6b98
-16 -1 0 e6e7bf
-15 -1 0 e6e7bf
-14 -1 0 e6e7bf
-13 -1 0 ffe2a8
-12 -1 0 d9ae7c
-11 -1 0 29568d
-10 -1 0 2b6b98
-9 -1 0 ffe2a8
