# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-15 0 0 7f3f35
-14 0 0 cd7e71
-13 0 0 cd7e71
-12 0 0 cd7e71
-11 0 0 cd7e71
-10 0 0 cd7e71
-9 0 0 722420
-8 0 0 8f302a
-7 0 0 a6423c
-6 0 0 bc4e47
-5 0 0 bc4e47
-4 0 0 bc4e47
-3 0 0 bc4e47
-2 0 0 bc4e47
-1 0 0 bc4e47
-14 1 0 7f3f35
-13 1 0 7f3f35
-12 1 0 7f3f35
-11 1 0 7f3f35
-10 1 0 722420
-9 1 0 8f302a
-8 1 0 a6423c
-7 1 0 a6423c
-6 1 0 bc4e47
-5 1 0 bc4e47
-4 1 0 bc4e47
-3 1 0 bc4e47
-2 1 0 bc4e47
-1 1 0 8a5545
-13 2 0 511612
-12 2 0 511612
-11 2 0 511612
-10 2 0 8f302a
-9 2 0 8f302a
-8 2 0 a6423c
-7 2 0 a6423c
-6 2 0 a6423c
-5 2 0 a6423c
-4 2 0 bc4e47
-3 2 0 bc4e47
-2 2 0 bc4e47
-1 2 0 8a5545
-12 3 0 511612
-11 3 0 722420
-10 3 0 8f302a
-9 3 0 8f302a
-8 3 0 8f302a
-7 3 0 a6423c
-6 3 0 a6423c
-5 3 0 a6423c
-4 3 0 a6423c
-3 3 0 a6423c
-2 3 0 a6423c
-1 3 0 774232
-12 4 0 511612
-11 4 0 722420
-10 4 0 722420
-9 4 0 8f302a
-8 4 0 8f302a
-7 4 0 8f302a
-6 4 0 a6423c
-5 4 0 a6423c
-4 4 0 a6423c
-3 4 0 a6423c
-2 4 0 a6423c
-1 4 0 774232
-12 5 0 511612
-11 5 0 511612
-10 5 0 722420
-9 5 0 722420
-8 5 0 8f302a
-7 5 0 8f302a
-6 5 0 8f302a
-5 5 0 a6423c
-4 5 0 a6423c
-3 5 0 a6423c
-2 5 0 8f302a
-1 5 0 4f2819
-11 6 0 511612
-10 6 0 511612
-9 6 0 722420
-8 6 0 722420
-7 6 0 722420
-6 6 0 8f302a
-5 6 0 8f302a
-4 6 0 8f302a
-3 6 0 8f302a
-2 6 0 722420
-1 6 0 4f2819
-10 7 0 511612
-9 7 0 511612
-8 7 0 511612
-7 7 0 511612
-6 7 0 722420
-5 7 0 722420
-4 7 0 722420
-3 7 0 722420
-2 7 0 722420
-12 -16 0 76332d
-11 -16 0 f2b67c
-13 -15 0 76332d
-12 -15 0 aa4b45
-11 -15 0 f2b67c
-1 -15 0 f2b67c
-14 -14 0 76332d
-13 -14 0 aa4b45
-12 -14 0 b15a55
-11 -14 0 db807d
-10 -14 0 f2b67c
-1 -14 0 aa4b45
-14 -13 0 76332d
-13 -13 0 aa4b45
-12 -13 0 aa4b45
-11 -13 0 b15a55
-10 -13 0 db807d
-2 -13 0 4f1c17
-1 -13 0 76332d
-15 -12 0 76332d
-14 -12 0 76332d
-13 -12 0 aa4b45
-12 -12 0 aa4b45
-11 -12 0 b15a55
-10 -12 0 b15a55
-9 -12 0 db807d
-6 -12 0 ffd7b3
-5 -12 0 ffd7b3
-2 -12 0 4f1c17
-1 -12 0 76332d
-15 -11 0 4f1c17
-14 -11 0 76332d
-13 -11 0 76332d
-12 -11 0 aa4b45
-11 -11 0 aa4b45
-10 -11 0 b15a55
-9 -11 0 b15a55
-8 -11 0 db807d
-7 -11 0 ed865e
-6 -11 0 ff9971
-5 -11 0 fea887
-4 -11 0 e0815b
-3 -11 0 ed865e
-2 -11 0 ff9971
-1 -11 0 fea887
-15 -10 0 4f1c17
-14 -10 0 4f1c17
-13 -10 0 76332d
-12 -10 0 76332d
-11 -10 0 aa4b45
-10 -10 0 aa4b45
-9 -10 0 b15a55
-8 -10 0 bf6543
-7 -10 0 ed865e
-6 -10 0 ff9971
-5 -10 0 e0815b
-4 -10 0 e0815b
-3 -10 0 ffd7b3
-2 -10 0 ed865e
-1 -10 0 ff9971
-15 -9 0 3a1011
-14 -9 0 4f1c17
-13 -9 0 4f1c17
-12 -9 0 76332d
-11 -9 0 76332d
-10 -9 0 aa4b45
-9 -9 0 823519
-8 -9 0 bf6543
-7 -9 0 ff9971
-6 -9 0 bf6543
-5 -9 0 ed865e
-4 -9 0 fea887
-3 -9 0 fea887
-2 -9 0 ffd7b3
-1 -9 0 ed865e
-15 -8 0 3a1011
-14 -8 0 3a1011
-13 -8 0 3a1011
-12 -8 0 4f1c17
-11 -8 0 4f1c17
-10 -8 0 76332d
-9 -8 0 8d462c
-8 -8 0 8d462c
-7 -8 0 ff9971
-6 -8 0 8d462c
-5 -8 0 bf6543
-4 -8 0 ff9971
-3 -8 0 fea887
-2 -8 0 fea887
-1 -8 0 8d462c
-14 -7 0 3a1011
-13 -7 0 dc6e67
-12 -7 0 dc6e67
-11 -7 0 f2b67c
-10 -7 0 f2b67c
-9 -7 0 4f1c17
-8 -7 0 823519
-7 -7 0 8d462c
-6 -7 0 8d462c
-5 -7 0 ed865e
-4 -7 0 ed865e
-3 -7 0 ff9971
-2 -7 0 fea887
-1 -7 0 8d462c
-14 -6 0 dc6e67
-13 -6 0 dc6e67
-12 -6 0 bc4e47
-11 -6 0 dc6e67
-10 -6 0 f2b67c
-9 -6 0 f2b67c
-8 -6 0 dc6e67
-7 -6 0 8f302a
-6 -6 0 8f302a
-5 -6 0 823519
-4 -6 0 ed865e
-3 -6 0 ed865e
-2 -6 0 bf6543
-1 -6 0 8f302a
-15 -5 0 dc6e67
-14 -5 0 bc4e47
-13 -5 0 bc4e47
-12 -5 0 bc4e47
-11 -5 0 bc4e47
-10 -5 0 bc4e47
-9 -5 0 dc6e67
-8 -5 0 dc6e67
-7 -5 0 8f302a
-6 -5 0 8f302a
-5 -5 0 8f302a
-4 -5 0 4b120d
-3 -5 0 ffd7b3
-2 -5 0 4b120d
-1 -5 0 8f302a
-16 -4 0 dc6e67
-15 -4 0 bc4e47
-14 -4 0 bc4e47
-13 -4 0 f2b67c
-12 -4 0 f2b67c
-11 -4 0 bf7366
-10 -4 0 f2b67c
-9 -4 0 f2b67c
-8 -4 0 f1a295
-7 -4 0 8f302a
-6 -4 0 a6423c
-5 -4 0 4b120d
-4 -4 0 884b48
-3 -4 0 884b48
-2 -4 0 ffd7b3
-1 -4 0 652825
-16 -3 0 bc4e47
