# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 ad9370
1 0 0 a22425
2 0 0 a22425
0 1 0 ba3133
1 1 0 ba3133
2 1 0 a22425
0 2 0 ba3133
1 2 0 881e20
2 2 0 881e20
3 2 0 4f5701
4 2 0 4f5701
0 3 0 881e20
1 3 0 ba3133
2 3 0 ba3133
3 3 0 881e20
4 3 0 6c7603
0 4 0 c94143
1 4 0 c94143
2 4 0 c94143
3 4 0 881e20
4 4 0 83900c
0 5 0 6c7603
1 5 0 e36364
2 5 0 881e20
3 5 0 a2b21c
4 5 0 c3d430
0 6 0 a2b21c
1 6 0 83900c
2 6 0 a2b21c
3 6 0 c3d430
0 7 0 d9e53d
1 7 0 c3d430
2 7 0 c3d430
-12 0 0 f9f1e6
-11 0 0 f9f1e6
-10 0 0 e8918c
-9 0 0 742624
-8 0 0 fff0dd
-7 0 0 f9f1e6
-6 0 0 eddcca
-5 0 0 eddcca
-4 0 0 e8918c
-3 0 0 742624
-2 0 0 eddcca
-1 0 0 d1b794
-11 1 0 f9f1e6
-10 1 0 f9f1e6
-9 1 0 f9f1e6
-8 1 0 f9f1e6
-7 1 0 ba3133
-6 1 0 a22425
-5 1 0 d1b794
-4 1 0 eddcca
-3 1 0 eddcca
-2 1 0 eddcca
-1 1 0 d1b794
-11 2 0 ba3133
-10 2 0 f9f1e6
-9 2 0 f9f1e6
-8 2 0 ba3133
-7 2 0 ba3133
-6 2 0 ba3133
-5 2 0 a22425
-4 2 0 d1b794
-3 2 0 d1b794
-2 2 0 ad9370
-1 2 0 ba3133
-11 3 0 e36364
-10 3 0 c94143
-9 3 0 e36364
-8 3 0 ba3133
-7 3 0 ba3133
-6 3 0 ba3133
-5 3 0 ba3133
-4 3 0 a22425
-3 3 0 ba3133
-2 3 0 ba3133
-1 3 0 a22425
-11 4 0 d9e53d
-10 4 0 a2b21c
-9 4 0 83900c
-8 4 0 e36364
-7 4 0 c94143
-6 4 0 e36364
-5 4 0 ba3133
-4 4 0 ba3133
-3 4 0 a22425
-2 4 0 a22425
-1 4 0 a22425
-10 5 0 c3d430
-9 5 0 a2b21c
-8 5 0 a2b21c
-7 5 0 83900c
-6 5 0 4f5701
-5 5 0 4f5701
-4 5 0 603c26
-3 5 0 c3d430
-2 5 0 a2b21c
-1 5 0 83900c
-9 6 0 d9e53d
-8 6 0 c3d430
-7 6 0 a2b21c
-6 6 0 6c7603
-5 6 0 784c33
-4 6 0 ba9d71
-2 6 0 d9e53d
-1 6 0 c3d430
-5 7 0 8a5b3f
-4 7 0 8a5b3f
-1 7 0 d9e53d
0 -14 0 6f0b0d
1 -14 0 490505
2 -14 0 490505
3 -14 0 490505
4 -14 0 490505
0 -13 0 490505
1 -13 0 6f0b0d
2 -13 0 6f0b0d
3 -13 0 6f0b0d
4 -13 0 490505
5 -13 0 490505
0 -12 0 6f0b0d
1 -12 0 881e20
2 -12 0 881e20
3 -12 0 881e20
4 -12 0 6f0b0d
5 -12 0 490505
6 -12 0 490505
0 -11 0 881e20
1 -11 0 881e20
2 -11 0 942428
3 -11 0 881e20
4 -11 0 6f0b0d
5 -11 0 6f0b0d
6 -11 0 490505
0 -10 0 942428
1 -10 0 942428
2 -10 0 942428
3 -10 0 881e20
4 -10 0 881e20
5 -10 0 6f0b0d
6 -10 0 490505
0 -9 0 942428
1 -9 0 a22425
2 -9 0 942428
3 -9 0 942428
4 -9 0 881e20
5 -9 0 881e20
6 -9 0 490505
0 -8 0 b22a2c
1 -8 0 a22425
2 -8 0 a22425
3 -8 0 942428
4 -8 0 942428
5 -8 0 881e20
6 -8 0 6f0b0d
0 -7 0 6f0b0d
1 -7 0 b22a2c
2 -7 0 b22a2c
3 -7 0 a22425
4 -7 0 942428
5 -7 0 881e20
6 -7 0 490505
0 -6 0 490505
1 -6 0 ba3133
2 -6 0 ba3133
3 -6 0 b22a2c
4 -6 0 881e20
5 -6 0 490505
6 -6 0 6f0b0d
0 -5 0 6f0b0d
1 -5 0 c94143
2 -5 0 ba3133
3 -5 0 b22a2c
4 -5 0 b22a2c
5 -5 0 6f0b0d
6 -5 0 490505
0 -4 0 c94143
1 -4 0 6f0b0d
2 -4 0 e36364
3 -4 0 ba3133
4 -4 0 6f0b0d
5 -4 0 490505
0 -3 0 ad9370
1 -3 0 881e20
2 -3 0 6f0b0d
3 -3 0 6f0b0d
4 -3 0 490505
0 -2 0 ad9370
1 -2 0 a22425
2 -2 0 881e20
3 -2 0 ba3133
0 -1 0 d1b794
1 -1 0 a22425
2 -1 0 a22425
3 -1 0 881e20
-8 -15 0 490505
-7 -15 0 490505
-6 -15 0 6f0b0d
-5 -15 0 490505
-4 -15 0 6f0b0d
-3 -15 0 490505
-2 -15 0 490505
-10 -14 0 490505
-9 -14 0 490505
-8 -14 0 881e20
-7 -14 0 881e20
-6 -14 0 881e20
-5 -14 0 881e20
-4 -14 0 881e20
-3 -14 0 6f0b0d
-2 -14 0 490505
-1 -14 0 490505
-11 -13 0 6f0b0d
-10 -13 0 6f0b0d
-9 -13 0 881e20
-8 -13 0 881e20
-7 -13 0 942428
-6 -13 0 942428
-5 -13 0 942428
-4 -13 0 942428
-3 -13 0 881e20
-2 -13 0 881e20
-1 -13 0 490505
-12 -12 0 490505
-11 -12 0 881e20
-10 -12 0 881e20
-9 -12 0 942428
-8 -12 0 a22425
-7 -12 0 a22425
-6 -12 0 a22425
-5 -12 0 a22425
-4 -12 0 942428
-3 -12 0 942428
-2 -12 0 942428
-1 -12 0 490505
-13 -11 0 490505
-12 -11 0 881e20
-11 -11 0 942428
-10 -11 0 a22425
-9 -11 0 a22425
-8 -11 0 a22425
-7 -11 0 a22425
-6 -11 0 a22425
-5 -11 0 a22425
-4 -11 0 a22425
-3 -11 0 942428
-2 -11 0 881e20
-1 -11 0 6f0b0d
-14 -10 0 490505
-13 -10 0 490505
-12 -10 0 942428
-11 -10 0 a22425
-10 -10 0 a22425
-9 -10 0 b22a2c
-8 -10 0 b22a2c
-7 -10 0 b22a2c
-6 -10 0 b22a2c
-5 -10 0 a22425
-4 -10 0 a22425
-3 -10 0 a22425
-2 -10 0 942428
-1 -10 0 490505
-14 -9 0 6f0b0d
-13 -9 0 490505
-12 -9 0 a22425
-11 -9 0 b22a2c
-10 -9 0 b22a2c
-9 -9 0 b22a2c
-8 -9 0 ba3133
-7 -9 0 ba3133
-6 -9 0 b22a2c
-5 -9 0 b22a2c
-4 -9 0 b22a2c
-3 -9 0 a22425
-2 -9 0 942428
-1 -9 0 6f0b0d
-14 -8 0 942428
-13 -8 0 6f0b0d
