# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 8adcfe
1 0 0 5dc0ea
2 0 0 5dc0ea
3 0 0 5dc0ea
4 0 0 75d7ff
5 0 0 75d7ff
6 0 0 75d7ff
7 0 0 699eef
0 1 0 5dc0ea
1 1 0 5dc0ea
2 1 0 5dc0ea
3 1 0 5dc0ea
4 1 0 75d7ff
5 1 0 e7e7ff
6 1 0 75d7ff
7 1 0 699eef
0 2 0 5dc0ea
1 2 0 75d7ff
2 2 0 e7e7ff
3 2 0 e7e7ff
4 2 0 e7e7ff
5 2 0 e7e7ff
6 2 0 699eef
0 3 0 75d7ff
1 3 0 75d7ff
2 3 0 e7e7ff
3 3 0 e7e7ff
4 3 0 e7e7ff
5 3 0 699eef
0 4 0 75d7ff
1 4 0 e7e7ff
2 4 0 e7e7ff
3 4 0 4076fd
4 4 0 4076fd
0 5 0 75d7ff
1 5 0 4076fd
2 5 0 4076fd
0 6 0 4076fd
-15 0 0 699eef
-14 0 0 699eef
-13 0 0 e7e7ff
-12 0 0 e7e7ff
-11 0 0 75d7ff
-10 0 0 75d7ff
-9 0 0 75d7ff
-8 0 0 75d7ff
-7 0 0 5dc0ea
-6 0 0 5dc0ea
-5 0 0 4076fd
-4 0 0 3565dc
-3 0 0 3565dc
-2 0 0 4076fd
-1 0 0 8adcfe
-14 1 0 699eef
-13 1 0 e7e7ff
-12 1 0 e7e7ff
-11 1 0 75d7ff
-10 1 0 75d7ff
-9 1 0 e7e7ff
-8 1 0 e7e7ff
-7 1 0 8adcfe
-6 1 0 8adcfe
-5 1 0 8adcfe
-4 1 0 8adcfe
-3 1 0 8adcfe
-2 1 0 8adcfe
-1 1 0 8adcfe
-13 2 0 699eef
-12 2 0 699eef
-11 2 0 75d7ff
-10 2 0 75d7ff
-9 2 0 e7e7ff
-8 2 0 e7e7ff
-7 2 0 5dc0ea
-6 2 0 5dc0ea
-5 2 0 5dc0ea
-4 2 0 5dc0ea
-3 2 0 5dc0ea
-2 2 0 5dc0ea
-1 2 0 5dc0ea
-12 3 0 699eef
-11 3 0 75d7ff
-10 3 0 75d7ff
-9 3 0 75d7ff
-8 3 0 75d7ff
-7 3 0 75d7ff
-6 3 0 75d7ff
-5 3 0 75d7ff
-4 3 0 5dc0ea
-3 3 0 75d7ff
-2 3 0 75d7ff
-1 3 0 75d7ff
-11 4 0 699eef
-10 4 0 75d7ff
-9 4 0 75d7ff
-8 4 0 75d7ff
-7 4 0 75d7ff
-6 4 0 75d7ff
-5 4 0 e7e7ff
-4 4 0 e7e7ff
-3 4 0 e7e7ff
-2 4 0 5dc0ea
-1 4 0 75d7ff
-10 5 0 699eef
-9 5 0 699eef
-8 5 0 e7e7ff
-7 5 0 e7e7ff
-6 5 0 e7e7ff
-5 5 0 e7e7ff
-4 5 0 e7e7ff
-3 5 0 e7e7ff
-2 5 0 5dc0ea
-1 5 0 75d7ff
-8 6 0 699eef
-7 6 0 699eef
-6 6 0 699eef
-5 6 0 699eef
-4 6 0 699eef
-3 6 0 4076fd
-2 6 0 4076fd
-1 6 0 5dc1e7
-16 -16 0 699eef
-15 -16 0 699eef
-14 -16 0 4076fd
-13 -16 0 4076fd
-16 -15 0 699eef
-15 -15 0 d4d3f4
-14 -15 0 d4d3f4
-13 -15 0 d4d3f4
-12 -15 0 699eef
-11 -15 0 4076fd
-3 -15 0 75d7ff
-2 -15 0 75d7ff
-1 -15 0 4076fd
-16 -14 0 699eef
-15 -14 0 e7e7ff
-14 -14 0 f2f2ff
-13 -14 0 d4d3f4
-12 -14 0 d4d3f4
-11 -14 0 d4d3f4
-10 -14 0 4076fd
-9 -14 0 4076fd
-3 -14 0 72bffd
-2 -14 0 5dc0ea
-1 -14 0 72bffd
-16 -13 0 699eef
-15 -13 0 e7e7ff
-14 -13 0 e7e7ff
-13 -13 0 e7e7ff
-12 -13 0 f2f2ff
-11 -13 0 f2f2ff
-10 -13 0 d4d3f4
-9 -13 0 4076fd
-8 -13 0 4076fd
-4 -13 0 4076fd
-3 -13 0 72bffd
-2 -13 0 5dc0ea
-1 -13 0 5dc0ea
-16 -12 0 699eef
-15 -12 0 e7e7ff
-14 -12 0 e7e7ff
-13 -12 0 e7e7ff
-12 -12 0 e7e7ff
-11 -12 0 e7e7ff
-10 -12 0 f2f2ff
-9 -12 0 d4d3f4
-8 -12 0 699eef
-7 -12 0 4076fd
-4 -12 0 4076fd
-3 -12 0 72bffd
-2 -12 0 72bffd
-1 -12 0 5dc0ea
-16 -11 0 699eef
-15 -11 0 e7e7ff
-14 -11 0 e7e7ff
-13 -11 0 e7e7ff
-12 -11 0 e7e7ff
-11 -11 0 e7e7ff
-10 -11 0 f2f2ff
-9 -11 0 d4d3f4
-8 -11 0 d4d3f4
-7 -11 0 699eef
-6 -11 0 4076fd
-5 -11 0 4076fd
-4 -11 0 4076fd
-3 -11 0 4076fd
-2 -11 0 72bffd
-1 -11 0 5dc0ea
-16 -10 0 699eef
-15 -10 0 d4d3f4
-14 -10 0 e7e7ff
-13 -10 0 e7e7ff
-12 -10 0 e7e7ff
-11 -10 0 e7e7ff
