# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-15 -16 0 1d2733
-14 -16 0 1d2733
-11 -16 0 938191
-10 -16 0 938191
-9 -16 0 9e8c9c
-8 -16 0 9e8c9c
-7 -16 0 9e8c9c
-15 -15 0 161e2b
-14 -15 0 161e2b
-13 -15 0 1d2733
-12 -15 0 1d2733
-11 -15 0 938191
-10 -15 0 938191
-9 -15 0 9e8c9c
-8 -15 0 9e8c9c
-7 -15 0 9e8c9c
-6 -15 0 aa9ea8
-5 -15 0 aa9ea8
-4 -15 0 cec0cd
-16 -14 0 0b131d
-15 -14 0 0b131d
-14 -14 0 87748a
-13 -14 0 a391a1
-12 -14 0 1d2733
-11 -14 0 5b4760
-10 -14 0 938191
-9 -14 0 938191
-8 -14 0 9e8c9c
-7 -14 0 9e8c9c
-6 -14 0 9e8c9c
-5 -14 0 aa9ea8
-4 -14 0 aa9ea8
-3 -14 0 aa9ea8
-2 -14 0 cec0cd
-16 -13 0 0b131d
-15 -13 0 161e2b
-14 -13 0 7f6c82
-13 -13 0 938191
-12 -13 0 161e2b
-11 -13 0 1d2733
-10 -13 0 7f6c82
-9 -13 0 938191
-8 -13 0 938191
-7 -13 0 9e8c9c
-6 -13 0 9e8c9c
-5 -13 0 aa9ea8
-4 -13 0 aa9ea8
-3 -13 0 aa9ea8
-2 -13 0 aa9ea8
-1 -13 0 cec0cd
-16 -12 0 0b131d
-15 -12 0 87748a
-14 -12 0 5b4760
-13 -12 0 7f6c82
-12 -12 0 cec0cd
-11 -12 0 1d2733
-10 -12 0 7f6c82
-9 -12 0 7f6c82
-8 -12 0 938191
-7 -12 0 9e8c9c
-6 -12 0 9e8c9c
-5 -12 0 9e8c9c
-4 -12 0 938191
-3 -12 0 aa9ea8
-2 -12 0 aa9ea8
-1 -12 0 aa9ea8
-16 -11 0 0b131d
-15 -11 0 0b131d
-14 -11 0 87748a
-13 -11 0 7f6c82
-12 -11 0 938191
-11 -11 0 1d2733
-10 -11 0 5b4760
-9 -11 0 7f6c82
-8 -11 0 7f6c82
-7 -11 0 938191
-6 -11 0 938191
-5 -11 0 938191
-4 -11 0 9e8c9c
-3 -11 0 9e8c9c
-2 -11 0 9e8c9c
-1 -11 0 aa9ea8
-16 -10 0 0b131d
-15 -10 0 0b131d
-14 -10 0 87748a
-13 -10 0 5b4760
-12 -10 0 938191
-11 -10 0 161e2b
-10 -10 0 5b4760
-9 -10 0 5b4760
-8 -10 0 5b4760
-7 -10 0 7f6c82
-6 -10 0 7f6c82
-5 -10 0 7f6c82
-4 -10 0 938191
-3 -10 0 9e8c9c
-2 -10 0 9e8c9c
-1 -10 0 9e8c9c
-15 -9 0 0e1623
-14 -9 0 87748a
-13 -9 0 87748a
-12 -9 0 7f6c82
-11 -9 0 161e2b
-10 -9 0 161e2b
-9 -9 0 0e1623
-8 -9 0 0e1623
-7 -9 0 161e2b
-6 -9 0 161e2b
-5 -9 0 0e1623
-4 -9 0 5b4760
-3 -9 0 938191
-2 -9 0 938191
-1 -9 0 938191
-15 -8 0 0e1623
-14 -8 0 0e1623
-13 -8 0 0e1623
-12 -8 0 7f6c82
-11 -8 0 0e1623
-10 -8 0 161e2b
-9 -8 0 1d2733
-8 -8 0 1d2733
-7 -8 0 1d2733
-6 -8 0 1d2733
-5 -8 0 1d2733
-4 -8 0 0e1623
-3 -8 0 5b4760
-2 -8 0 7f6c82
-1 -8 0 938191
-16 -7 0 87748a
-15 -7 0 7f6c82
-14 -7 0 0e1623
-13 -7 0 0e1623
-12 -7 0 0e1623
-11 -7 0 161e2b
-10 -7 0 161e2b
-9 -7 0 1d2733
-8 -7 0 1d2733
-7 -7 0 000000
-6 -7 0 000000
-5 -7 0 000000
-4 -7 0 1d2733
-3 -7 0 1d2733
-2 -7 0 5b4760
-16 -6 0 7f6c82
-15 -6 0 091219
-14 -6 0 0e1623
-13 -6 0 0e1623
-12 -6 0 0e1623
-11 -6 0 161e2b
-10 -6 0 161e2b
-9 -6 0 1d2733
-8 -6 0 000000
-7 -6 0 091523
-6 -6 0 4a5b6c
-5 -6 0 5c6d7e
-4 -6 0 000000
-3 -6 0 1d2733
-2 -6 0 0e1623
-1 -6 0 0e1623
-16 -5 0 7f6c82
-15 -5 0 091219
-14 -5 0 0e1623
-13 -5 0 161e2b
-12 -5 0 161e2b
-11 -5 0 cec0cd
-10 -5 0 161e2b
-9 -5 0 1d2733
-8 -5 0 000000
-7 -5 0 091523
-6 -5 0 091523
-5 -5 0 4a5b6c
-4 -5 0 000000
-3 -5 0 1d2733
-2 -5 0 161e2b
-1 -5 0 161e2b
-16 -4 0 091219
-15 -4 0 0e1623
-14 -4 0 87748a
-13 -4 0 0e1623
-12 -4 0 161e2b
-11 -4 0 a391a1
-10 -4 0 161e2b
-9 -4 0 1d2733
-8 -4 0 000000
-7 -4 0 000000
-6 -4 0 091523
-5 -4 0 091523
-4 -4 0 000000
-3 -4 0 161e2b
-2 -4 0 161e2b
-1 -4 0 091219
-16 -3 0 091219
-15 -3 0 0e1623
-14 -3 0 87748a
-13 -3 0 938191
-12 -3 0 161e2b
-11 -3 0 161e2b
-10 -3 0 938191
-9 -3 0 161e2b
-8 -3 0 1d2733
-7 -3 0 000000
-6 -3 0 000000
-5 -3 0 000000
-4 -3 0 161e2b
-3 -3 0 161e2b
-2 -3 0 161e2b
-1 -3 0 a391a1
-16 -2 0 091219
