# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-15 0 0 392719
-14 0 0 392719
-13 0 0 29190c
-8 0 0 29190c
-7 0 0 58757d
-6 0 0 7c9ca8
-5 0 0 7c9ca8
-4 0 0 446470
-3 0 0 58757d
-2 0 0 446470
-1 0 0 7c9ca8
-16 1 0 5d4636
-15 1 0 463323
-14 1 0 392719
-9 1 0 29190c
-8 1 0 29190c
-7 1 0 7c9ca8
-6 1 0 7c9ca8
-5 1 0 9fbcc4
-4 1 0 58757d
-3 1 0 7c9ca8
-2 1 0 7c9ca8
-1 1 0 58757d
-16 2 0 5d4636
-15 2 0 463323
-11 2 0 392719
-10 2 0 392719
-9 2 0 29190c
-8 2 0 7c9ca8
-7 2 0 7c9ca8
-6 2 0 9fbcc4
-5 2 0 9fbcc4
-4 2 0 7c9ca8
-3 2 0 7c9ca8
-2 2 0 9fbcc4
-1 2 0 446470
-12 3 0 5d4636
-11 3 0 463323
-10 3 0 392719
-8 3 0 7c9ca8
-7 3 0 9fbcc4
-6 3 0 9fbcc4
-4 3 0 7c9ca8
-3 3 0 9fbcc4
-2 3 0 9fbcc4
-1 3 0 58757d
-12 4 0 5d4636
-11 4 0 463323
-8 4 0 7c9ca8
-7 4 0 9fbcc4
-6 4 0 9fbcc4
-4 4 0 7c9ca8
-3 4 0 9fbcc4
-2 4 0 9fbcc4
-1 4 0 cfe6ee
-8 5 0 cfe6ee
-7 5 0 9fbcc4
-6 5 0 b6d1d8
-4 5 0 9fbcc4
-3 5 0 b6d1d8
-2 5 0 b6d1d8
-7 6 0 cfe6ee
-3 6 0 cfe6ee
-2 6 0 cfe6ee
-3 -15 0 ddb93f
-2 -15 0 b6961f
-1 -15 0 9f800e
-6 -14 0 c8a42a
-5 -14 0 c8a42a
-4 -14 0 ddb93f
-3 -14 0 ddb93f
-2 -14 0 b6961f
-1 -14 0 b6961f
-10 -13 0 cdae32
-9 -13 0 cdae32
-8 -13 0 9f800e
-7 -13 0 22140b
-6 -13 0 22140b
-5 -13 0 c8a42a
-4 -13 0 c8a42a
-3 -13 0 b6961f
-2 -13 0 b6961f
-1 -13 0 aa8b19
-12 -12 0 9f800e
-11 -12 0 876a04
-10 -12 0 9f800e
-9 -12 0 9f800e
-8 -12 0 9f800e
-7 -12 0 9f800e
-6 -12 0 22140b
-5 -12 0 22140b
-4 -12 0 c8a42a
-3 -12 0 c8a42a
-2 -12 0 b6961f
-1 -12 0 b6961f
-13 -11 0 9f800e
-12 -11 0 876a04
-11 -11 0 876a04
-10 -11 0 876a04
-9 -11 0 876a04
-8 -11 0 876a04
-7 -11 0 9f800e
-6 -11 0 9f800e
-5 -11 0 22140b
-4 -11 0 29190c
-3 -11 0 c8a42a
-2 -11 0 c8a42a
-1 -11 0 c8a42a
-14 -10 0 9f800e
-13 -10 0 876a04
-12 -10 0 9f800e
-11 -10 0 aa8b19
-10 -10 0 aa8b19
-9 -10 0 aa8b19
-8 -10 0 9f800e
-7 -10 0 876a04
-6 -10 0 876a04
-5 -10 0 29190c
-4 -10 0 29190c
-3 -10 0 c8a42a
-2 -10 0 c8a42a
-1 -10 0 c8a42a
-15 -9 0 876a04
-14 -9 0 876a04
-13 -9 0 9f800e
-12 -9 0 aa8b19
-11 -9 0 aa8b19
-10 -9 0 aa8b19
-9 -9 0 aa8b19
-8 -9 0 aa8b19
-7 -9 0 aa8b19
-6 -9 0 876a04
-5 -9 0 876a04
-4 -9 0 29190c
-3 -9 0 29190c
-2 -9 0 dcb83e
-1 -9 0 c8a42a
-15 -8 0 876a04
-14 -8 0 9f800e
-13 -8 0 251403
-12 -8 0 190b02
-11 -8 0 0d0600
-10 -8 0 cdae32
-9 -8 0 251403
-8 -8 0 190b02
-7 -8 0 0d0600
-6 -8 0 9f800e
-5 -8 0 876a04
-4 -8 0 322012
-3 -8 0 29190c
-2 -8 0 dcb83e
-1 -8 0 dcb83e
-15 -7 0 876a04
-14 -7 0 9f800e
-13 -7 0 381c06
-12 -7 0 251403
-11 -7 0 190b02
-10 -7 0 dcb83e
-9 -7 0 381c06
-8 -7 0 251403
-7 -7 0 190b02
-6 -7 0 aa8b19
-5 -7 0 9f800e
-4 -7 0 322012
-3 -7 0 322012
-2 -7 0 e6c248
-1 -7 0 e6c248
-14 -6 0 9f800e
-13 -6 0 aa8b19
-12 -6 0 381c06
-11 -6 0 251403
-10 -6 0 dcb83e
-9 -6 0 dcb83e
-8 -6 0 381c06
-7 -6 0 251403
-6 -6 0 cdae32
-5 -6 0 aa8b19
-4 -6 0 322012
-3 -6 0 322012
-2 -6 0 e6c248
-1 -6 0 446470
-14 -5 0 aa8b19
-13 -5 0 dcb83e
-12 -5 0 dcb83e
-11 -5 0 dcb83e
-10 -5 0 e6c248
-9 -5 0 e6c248
-8 -5 0 dcb83e
-7 -5 0 dcb83e
-6 -5 0 cdae32
-5 -5 0 aa8b19
-4 -5 0 322012
-3 -5 0 e6c248
-2 -5 0 446470
-1 -5 0 58757d
-13 -4 0 aa8b19
-12 -4 0 f9d55b
-11 -4 0 e6c248
-10 -4 0 e6c248
-9 -4 0 e6c248
-8 -4 0 dcb83e
-7 -4 0 cdae32
-6 -4 0 aa8b19
-5 -4 0 39271b
-4 -4 0 39271b
-3 -4 0 e6c248
-2 -4 0 58757d
-1 -4 0 7c9ca8
-12 -3 0 aa8b19
-11 -3 0 f9d55b
-10 -3 0 f9d55b
-9 -3 0 f9d55b
-8 -3 0 dcb83e
-7 -3 0 aa8b19
-6 -3 0 39271b
-5 -3 0 39271b
-4 -3 0 f9d55b
-3 -3 0 e6c248
-2 -3 0 58757d
-1 -3 0 7c9ca8
-12 -2 0 29190c
-11 -2 0 29190c
-10 -2 0 29190c
-9 -2 0 392719
-8 -2 0 29190c
-7 -2 0 29190c
-6 -2 0 446470
-5 -2 0 446470
-4 -2 0 f9d55b
-3 -2 0 f9d55b
-2 -2 0 446470
-1 -2 0 7c9ca8
-13 -1 0 29190c
-12 -1 0 29190c
-9 -1 0 29190c
-8 -1 0 29190c
-7 -1 0 29190c
-6 -1 0 58757d
-5 -1 0 7c9ca8
-4 -1 0 446470
-3 -1 0 446470
-2 -1 0 446470
-1 -1 0 7c9ca8
0 -15 0 9f800e
1 -15 0 876a04
2 -15 0 22140b
0 -14 0 9f800e
1 -14 0 9f800e
2 -14 0 876a04
3 -14 0 22140b
4 -14 0 22140b
0 -13 0 aa8b19
1 -13 0 aa8b19
2 -13 0 9f800e
3 -13 0 876a04
4 -13 0 22140b
5 -13 0 22140b
0 -12 0 aa8b19
1 -12 0 aa8b19
2 -12 0 aa8b19
3 -12 0 9f800e
4 -12 0 876a04
5 -12 0 29190c
6 -12 0 22140b
0 -11 0 b6961f
1 -11 0 aa8b19
2 -11 0 aa8b19
3 -11 0 9f800e
4 -11 0 9f800e
5 -11 0 29190c
6 -11 0 22140b
0 -10 0 b6961f
1 -10 0 b6961f
2 -10 0 aa8b19
3 -10 0 aa8b19
4 -10 0 9f800e
5 -10 0 876a04
6 -10 0 29190c
7 -10 0 22140b
0 -9 0 c8a42a
1 -9 0 b6961f
2 -9 0 b6961f
3 -9 0 aa8b19
4 -9 0 aa8b19
5 -9 0 aa8b19
6 -9 0 29190c
7 -9 0 22140b
0 -8 0 dcb83e
1 -8 0 c8a42a
2 -8 0 b6961f
3 -8 0 b6961f
4 -8 0 aa8b19
5 -8 0 aa8b19
6 -8 0 29190c
7 -8 0 29190c
0 -7 0 dcb83e
1 -7 0 dcb83e
2 -7 0 c8a42a
3 -7 0 b6961f
4 -7 0 aa8b19
5 -7 0 b6961f
6 -7 0 29190c
7 -7 0 29190c
0 -6 0 446470
1 -6 0 e6c248
2 -6 0 cdae32
3 -6 0 b6961f
4 -6 0 b6961f
5 -6 0 aa8b19
6 -6 0 29190c
7 -6 0 29190c
0 -5 0 58757d
1 -5 0 58757d
2 -5 0 dcb83e
3 -5 0 cdae32
4 -5 0 b6961f
5 -5 0 aa8b19
6 -5 0 29190c
7 -5 0 29190c
0 -4 0 7c9ca8
1 -4 0 7c9ca8
2 -4 0 e6c248
3 -4 0 dcb83e
4 -4 0 aa8b19
5 -4 0 29190c
6 -4 0 29190c
0 -3 0 9fbcc4
1 -3 0 9fbcc4
2 -3 0 7c9ca8
3 -3 0 f9d55b
4 -3 0 29190c
5 -3 0 29190c
6 -3 0 29190c
0 -2 0 9fbcc4
1 -2 0 9fbcc4
2 -2 0 9fbcc4
3 -2 0 39271b
4 -2 0 39271b
5 -2 0 29190c
0 -1 0 9fbcc4
1 -1 0 9fbcc4
2 -1 0 9fbcc4
3 -1 0 446470
4 -1 0 446470
5 -1 0 58757d
0 0 0 9fbcc4
1 0 0 b6d1d8
2 0 0 9fbcc4
3 0 0 446470
4 0 0 58757d
5 0 0 7c9ca8
6 0 0 7c9ca8
0 1 0 9fbcc4
1 1 0 b6d1d8
2 1 0 b6d1d8
3 1 0 58757d
4 1 0 7c9ca8
5 1 0 7c9ca8
6 1 0 7c9ca8
0 2 0 b6d1d8
1 2 0 b6d1d8
2 2 0 b6d1d8
3 2 0 58757d
4 2 0 7c9ca8
5 2 0 9fbcc4
6 2 0 9fbcc4
0 3 0 b6d1d8
1 3 0 b6d1d8
2 3 0 b6d1d8
3 3 0 7c9ca8
4 3 0 9fbcc4
5 3 0 9fbcc4
6 3 0 b6d1d8
0 4 0 b6d1d8
1 4 0 b6d1d8
2 4 0 cfe6ee
3 4 0 7c9ca8
4 4 0 9fbcc4
5 4 0 b6d1d8
6 4 0 b6d1d8
0 5 0 cfe6ee
1 5 0 cfe6ee
3 5 0 7c9ca8
4 5 0 9fbcc4
5 5 0 b6d1d8
6 5 0 cfe6ee
4 6 0 cfe6ee
5 6 0 cfe6ee
