# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-13 0 0 6c6883
-12 0 0 9ca5b4
-11 0 0 a5adba
-10 0 0 817d98
-9 0 0 a5adba
-8 0 0 8e8aa2
-7 0 0 8e8aa2
-6 0 0 8e8aa2
-5 0 0 94929f
-4 0 0 aeadb5
-3 0 0 bcc2b4
-2 0 0 bcc2b4
-1 0 0 bcc2b4
-13 1 0 6c6883
-12 1 0 a5adba
-11 1 0 9ca5b4
-10 1 0 817d98
-9 1 0 aeadb5
-8 1 0 94929f
-7 1 0 817d98
-6 1 0 8e8aa2
-5 1 0 94929f
-4 1 0 a7ada1
-3 1 0 bcc2b4
-2 1 0 bcc2b4
-1 1 0 bcc2b4
-13 2 0 817d98
-12 2 0 a5adba
-11 2 0 9ca5b4
-10 2 0 817d98
-9 2 0 aeadb5
-8 2 0 8e8aa2
-7 2 0 817d98
-6 2 0 8e8aa2
-5 2 0 94929f
-4 2 0 aeadb5
-3 2 0 a7ada1
-2 2 0 bcc2b4
-1 2 0 bcc2b4
-12 3 0 817d98
-11 3 0 9ca5b4
-10 3 0 6c6883
-9 3 0 817d98
-8 3 0 94929f
-7 3 0 817d98
-6 3 0 8e8aa2
-5 3 0 94929f
-4 3 0 aeadb5
-3 3 0 a7ada1
-2 3 0 a7ada1
-1 3 0 d5dbcf
-12 4 0 817d98
-11 4 0 9ca5b4
-10 4 0 a7ada1
-9 4 0 6c6883
-8 4 0 817d98
-7 4 0 8e8aa2
-6 4 0 817d98
-5 4 0 94929f
-4 4 0 94929f
-3 4 0 aeadb5
-2 4 0 a7ada1
-1 4 0 e1e1d5
-12 5 0 6c6883
-11 5 0 9ca5b4
-10 5 0 a7ada1
-9 5 0 a7ada1
-8 5 0 817d98
-7 5 0 94929f
-6 5 0 8e8aa2
-5 5 0 817d98
-4 5 0 94929f
-3 5 0 e1e1d5
-2 5 0 e1e1d5
-11 6 0 6c6883
-10 6 0 959b8f
-9 6 0 a7ada1
-8 6 0 6c6883
-7 6 0 94929f
-6 6 0 8e8aa2
-5 6 0 817d98
-4 6 0 e1e1d5
-10 7 0 6c6883
-9 7 0 747671
-8 7 0 e1e1d5
-7 -16 0 8e8aa2
-6 -16 0 747671
-7 -15 0 6c6883
-6 -15 0 747671
-5 -15 0 959b8f
-8 -14 0 6c6883
-7 -14 0 94929f
-6 -14 0 8e8aa2
-5 -14 0 959b8f
-4 -14 0 a7ada1
-8 -13 0 6c6883
-7 -13 0 94929f
-6 -13 0 8e8aa2
-5 -13 0 959b8f
-4 -13 0 a7ada1
-3 -13 0 a7ada1
-9 -12 0 6c6883
-8 -12 0 aeadb5
-7 -12 0 94929f
-6 -12 0 8e8aa2
-5 -12 0 959b8f
-4 -12 0 a7ada1
-3 -12 0 a7ada1
-2 -12 0 a7ada1
-10 -11 0 6c6883
-9 -11 0 aeadb5
-8 -11 0 94929f
-7 -11 0 94929f
-6 -11 0 8e8aa2
-5 -11 0 aeadb5
-4 -11 0 a7ada1
-3 -11 0 a7ada1
-2 -11 0 bcc2b4
-1 -11 0 d5dbcf
-13 -10 0 9ca5b4
-12 -10 0 bcc2b4
-10 -10 0 6c6883
-9 -10 0 aeadb5
-8 -10 0 94929f
-7 -10 0 8e8aa2
-6 -10 0 817d98
-5 -10 0 aeadb5
-4 -10 0 a7ada1
-3 -10 0 bcc2b4
-2 -10 0 bcc2b4
-1 -10 0 bcc2b4
-14 -9 0 9ca5b4
-13 -9 0 94929f
-12 -9 0 959b8f
-11 -9 0 bcc2b4
-10 -9 0 9ca5b4
-9 -9 0 aeadb5
-8 -9 0 94929f
-7 -9 0 8e8aa2
-6 -9 0 817d98
-5 -9 0 aeadb5
-4 -9 0 a7ada1
-3 -9 0 bcc2b4
-2 -9 0 bcc2b4
-1 -9 0 bcc2b4
-14 -8 0 9ca5b4
-13 -8 0 817d98
-12 -8 0 94929f
-11 -8 0 a7ada1
-10 -8 0 a7ada1
-9 -8 0 aeadb5
-8 -8 0 8e8aa2
-7 -8 0 817d98
-6 -8 0 aeadb5
-5 -8 0 a7ada1
-4 -8 0 a7ada1
-3 -8 0 bcc2b4
-2 -8 0 bcc2b4
-1 -8 0 bcc2b4
-13 -7 0 9ca5b4
-12 -7 0 817d98
