# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 -16 0 c1ecf4
-7 -16 0 80c9e9
-6 -16 0 38f2f9
-5 -16 0 38f2f9
-15 -15 0 c1ecf4
-14 -15 0 80c9e9
-13 -15 0 80c9e9
-9 -15 0 e2f9fe
-8 -15 0 80c9e9
-7 -15 0 7ef3fa
-6 -15 0 87eef3
-5 -15 0 c1ecf4
-4 -15 0 c1ecf4
-15 -14 0 c1ecf4
-14 -14 0 80c9e9
-13 -14 0 80c9e9
-12 -14 0 80c9e9
-10 -14 0 eefcff
-9 -14 0 e2f9fe
-8 -14 0 38f2f9
-7 -14 0 7ef3fa
-6 -14 0 87eef3
-5 -14 0 87eef3
-4 -14 0 c1ecf4
-2 -14 0 e2f9fe
-1 -14 0 e2f9fe
-14 -13 0 80c9e9
-13 -13 0 38f2f9
-12 -13 0 38f2f9
-11 -13 0 eefcff
-10 -13 0 eefcff
-9 -13 0 80c9e9
-8 -13 0 38f2f9
-7 -13 0 87eef3
-6 -13 0 87eef3
-5 -13 0 93eafb
-4 -13 0 c5effb
-3 -13 0 e2f9fe
-2 -13 0 e2f9fe
-1 -13 0 87eef3
-14 -12 0 c1ecf4
-13 -12 0 38f2f9
-12 -12 0 7ef3fa
-11 -12 0 eefcff
-10 -12 0 e2f9fe
-9 -12 0 7edd77
-8 -12 0 d0f595
-7 -12 0 87eef3
-6 -12 0 93eafb
-5 -12 0 93eafb
-4 -12 0 c5effb
-3 -12 0 e2f9fe
-2 -12 0 87eef3
-1 -12 0 93eafb
-14 -11 0 c1ecf4
-13 -11 0 7ef3fa
-12 -11 0 e2f9fe
-11 -11 0 eefcff
-10 -11 0 7ab9ae
-9 -11 0 84cfaf
-8 -11 0 84cfaf
-7 -11 0 7edd77
-6 -11 0 7edd77
-5 -11 0 c5effb
-4 -11 0 c5effb
-3 -11 0 7ab9ae
-2 -11 0 99e4a1
-1 -11 0 cdf459
-14 -10 0 e2f9fe
-13 -10 0 eefcff
-12 -10 0 e2f9fe
-11 -10 0 93eafb
-10 -10 0 93eafb
-9 -10 0 7ab9ae
-8 -10 0 41a28e
-7 -10 0 41a28e
-6 -10 0 56c18b
-5 -10 0 99e4a1
-4 -10 0 7ab9ae
-3 -10 0 84cfae
-2 -10 0 56c18b
-1 -10 0 56c18b
-13 -9 0 c1ecf4
-12 -9 0 93eafb
-11 -9 0 93eafb
-10 -9 0 c5effb
-9 -9 0 d191a9
-8 -9 0 e58ca2
-7 -9 0 e14e7d
-6 -9 0 41a28e
-5 -9 0 41a28e
-4 -9 0 7ab9ae
-3 -9 0 84cfae
-2 -9 0 84cfae
-1 -9 0 41a28e
-13 -8 0 c1ecf4
-12 -8 0 93eafb
-11 -8 0 c5effb
-10 -8 0 bba7c0
-9 -8 0 bba7c0
-8 -8 0 c75e89
-7 -8 0 c75e89
-6 -8 0 e58ca2
-5 -8 0 e14e7d
-4 -8 0 cb93ac
-3 -8 0 cb93ac
-2 -8 0 b087a7
-1 -8 0 80c9e9
-14 -7 0 e2f9fe
-13 -7 0 c1ecf4
-12 -7 0 93eafb
-11 -7 0 c5effb
-10 -7 0 93b7cf
-9 -7 0 b087a7
-8 -7 0 b087a7
-7 -7 0 c75e89
-6 -7 0 c75e89
-5 -7 0 c75e89
-4 -7 0 bc809a
-3 -7 0 cb93ac
-2 -7 0 d2b1c2
-1 -7 0 b087a7
-14 -6 0 eefcff
-13 -6 0 c1ecf4
-12 -6 0 93eafb
-11 -6 0 c5effb
-10 -6 0 8aa9bd
-9 -6 0 bba7c0
-8 -6 0 b087a7
-7 -6 0 b087a7
-6 -6 0 a9607e
-5 -6 0 a9607e
-4 -6 0 cb93ac
-3 -6 0 bc809a
-2 -6 0 debfcf
-1 -6 0 bba7c1
-14 -5 0 eefcff
-13 -5 0 c1ecf4
-12 -5 0 93eafb
-11 -5 0 c5effb
-10 -5 0 5683a2
-9 -5 0 8aa9bd
-8 -5 0 b087a7
-7 -5 0 b087a7
-6 -5 0 c27c99
-5 -5 0 bc809a
-4 -5 0 cb93ac
-3 -5 0 dcabc1
-2 -5 0 debfcf
-1 -5 0 d2b1c2
-14 -4 0 eefcff
-13 -4 0 80c9e9
-12 -4 0 93eafb
-11 -4 0 aceefc
-10 -4 0 8ba6b9
-9 -4 0 74a1c0
-8 -4 0 b087a7
-7 -4 0 b087a7
-6 -4 0 b087a7
-5 -4 0 bc809a
-4 -4 0 d2b1c2
-3 -4 0 debfcf
-2 -4 0 debfcf
-1 -4 0 1d3d76
-14 -3 0 eefcff
-13 -3 0 eefcff
-12 -3 0 80c9e9
-11 -3 0 93eafb
-10 -3 0 c5effb
-9 -3 0 5683a2
-8 -3 0 a1bece
-7 -3 0 bba7c0
-6 -3 0 1d3d76
-5 -3 0 09214d
-4 -3 0 c4a5b5
-3 -3 0 c4a5b5
-2 -3 0 102d66
-1 -3 0 1d3d76
-13 -2 0 eefcff
-12 -2 0 78bfea
-11 -2 0 78bfea
-10 -2 0 80c9e9
-9 -2 0 c0dff1
-8 -2 0 8ba6b9
-7 -2 0 102d66
-6 -2 0 1d3d76
-5 -2 0 7b9bd4
-4 -2 0 09214d
-3 -2 0 c4a5b5
-2 -2 0 09214d
-1 -2 0 102d66
-13 -1 0 c1ecf4
-12 -1 0 83b0e7
-11 -1 0 83b0e7
-10 -1 0 83b0e7
-9 -1 0 80c9e9
-8 -1 0 5683a2
-7 -1 0 09214d
-6 -1 0 102d66
-5 -1 0 102d66
-4 -1 0 1d3d76
-3 -1 0 9bdff2
-2 -1 0 9bdff2
-1 -1 0 09214d
-13 0 0 c1ecf4
-12 0 0 6d9cec
-11 0 0 6d9cec
-10 0 0 6d9cec
-9 0 0 83b0e7
-8 0 0 80c9e9
-7 0 0 8ba6b9
-6 0 0 09214d
-5 0 0 102d66
-4 0 0 9bdff2
-3 0 0 9bdff2
-2 0 0 93eafb
-1 0 0 87eef3
-13 1 0 c1ecf4
-12 1 0 5c8ee7
-11 1 0 5c8ee7
-10 1 0 5c8ee7
-9 1 0 6d9cec
-8 1 0 83b0e7
-7 1 0 e09262
-6 1 0 eba478
-5 1 0 f7b994
-4 1 0 f4cbb1
-3 1 0 93eafb
-2 1 0 93eafb
-1 1 0 93eafb
-12 2 0 e2f9fe
-11 2 0 80c9e9
-10 2 0 80c9e9
-9 2 0 5c8ee7
-8 2 0 5c8ee7
-7 2 0 e09262
-6 2 0 e09262
-5 2 0 e09262
-4 2 0 eba478
-3 2 0 93eafb
-2 2 0 93eafb
-1 2 0 3b5b94
-13 3 0 80c9e9
-12 3 0 80c9e9
-11 3 0 c1ecf4
-10 3 0 80c9e9
-9 3 0 80c9e9
-8 3 0 9cdff3
-7 3 0 9cdff3
-6 3 0 9cdff3
-5 3 0 87eef3
-4 3 0 93ebf7
-3 3 0 3b5b94
-2 3 0 3b5b94
-1 3 0 38f2f9
-13 4 0 78bfea
-12 4 0 80c9e9
-11 4 0 93eafb
-10 4 0 e2f9fe
-9 4 0 c1ecf4
-8 4 0 c1ecf4
-7 4 0 9cdff3
-6 4 0 87eef3
-5 4 0 87eef3
-4 4 0 38f2f9
-3 4 0 38f2f9
-2 4 0 38f2f9
