# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 -16 0 1c2628
1 -16 0 1c2628
2 -16 0 384043
3 -16 0 384043
4 -16 0 141c1f
5 -16 0 1c2628
0 -15 0 384043
1 -15 0 384043
2 -15 0 b39c8c
3 -15 0 ffebbe
4 -15 0 ffebbe
5 -15 0 293335
6 -15 0 1c2628
0 -14 0 a68d79
1 -14 0 a68d79
2 -14 0 b39c8c
3 -14 0 d0b7a3
4 -14 0 d6c5b4
5 -14 0 ffebbe
6 -14 0 293335
7 -14 0 1c2628
0 -13 0 a68d79
1 -13 0 a68d79
2 -13 0 b39c8c
3 -13 0 d0b7a3
4 -13 0 d0b7a3
5 -13 0 d6c5b4
6 -13 0 ffebbe
7 -13 0 384043
0 -12 0 293335
1 -12 0 a68d79
2 -12 0 a68d79
3 -12 0 b39c8c
4 -12 0 d0b7a3
5 -12 0 d6c5b4
6 -12 0 d6c5b4
7 -12 0 141c1f
0 -11 0 293335
1 -11 0 293335
2 -11 0 a68d79
3 -11 0 b39c8c
4 -11 0 d0b7a3
5 -11 0 d0b7a3
6 -11 0 d6c5b4
7 -11 0 293335
0 -10 0 495154
1 -10 0 293335
2 -10 0 141c1f
3 -10 0 a68d79
4 -10 0 b39c8c
5 -10 0 b39c8c
6 -10 0 b39c8c
7 -10 0 293335
0 -9 0 3c4648
1 -9 0 293335
2 -9 0 293335
3 -9 0 a68d79
4 -9 0 a68d79
5 -9 0 a68d79
6 -9 0 a68d79
7 -9 0 293335
0 -8 0 3c4648
1 -8 0 384043
2 -8 0 293335
3 -8 0 141c1f
4 -8 0 a68d79
5 -8 0 a68d79
6 -8 0 293335
7 -8 0 141c1f
0 -7 0 384043
1 -7 0 384043
2 -7 0 30383b
3 -7 0 293335
4 -7 0 a68d79
5 -7 0 293335
6 -7 0 293335
7 -7 0 1c2628
0 -6 0 384043
1 -6 0 384043
2 -6 0 30383b
3 -6 0 30383b
4 -6 0 141c1f
5 -6 0 1c2628
6 -6 0 141c1f
0 -5 0 384043
1 -5 0 30383b
2 -5 0 30383b
3 -5 0 30383b
4 -5 0 1c2628
5 -5 0 141c1f
0 -4 0 384043
1 -4 0 30383b
2 -4 0 30383b
3 -4 0 293335
4 -4 0 141c1f
0 -3 0 384043
1 -3 0 30383b
2 -3 0 30383b
3 -3 0 1c2628
0 -2 0 30383b
1 -2 0 30383b
2 -2 0 30383b
3 -2 0 1c2628
0 -1 0 30383b
1 -1 0 293335
2 -1 0 30383b
3 -1 0 1c2628
-12 -16 0 293335
-11 -16 0 293335
-10 -16 0 384043
-9 -16 0 384043
-8 -16 0 1c2628
-13 -15 0 293335
-12 -15 0 1c2628
-11 -15 0 1c2628
-10 -15 0 d6c5b4
-9 -15 0 d6c5b4
-8 -15 0 384043
-7 -15 0 384043
-2 -15 0 1c2628
-1 -15 0 1c2628
-13 -14 0 293335
-12 -14 0 1c2628
-11 -14 0 d0b7a3
-10 -14 0 d0b7a3
-9 -14 0 b39c8c
-8 -14 0 a68d79
-7 -14 0 141c1f
-6 -14 0 1c2628
-3 -14 0 1c2628
-2 -14 0 384043
-1 -14 0 384043
-14 -13 0 1c2628
-13 -13 0 1c2628
-12 -13 0 b39c8c
-11 -13 0 b39c8c
-10 -13 0 b39c8c
-9 -13 0 a68d79
-8 -13 0 1c2628
-7 -13 0 1c2628
-6 -13 0 293335
-5 -13 0 293335
-4 -13 0 293335
-3 -13 0 293335
-2 -13 0 293335
-1 -13 0 293335
-14 -12 0 1c2628
-13 -12 0 1c2628
-12 -12 0 a68d79
-11 -12 0 b39c8c
-10 -12 0 a68d79
-9 -12 0 141c1f
-8 -12 0 30383b
-7 -12 0 495154
-6 -12 0 495154
-5 -12 0 495154
-4 -12 0 495154
-3 -12 0 495154
-2 -12 0 495154
-1 -12 0 293335
-13 -11 0 293335
-12 -11 0 141c1f
-11 -11 0 a68d79
-10 -11 0 1c2628
-9 -11 0 30383b
-8 -11 0 3c4648
-7 -11 0 3c4648
-6 -11 0 3c4648
-5 -11 0 3c4648
-4 -11 0 495154
-3 -11 0 495154
-2 -11 0 495154
-1 -11 0 495154
-13 -10 0 293335
-12 -10 0 141c1f
-11 -10 0 141c1f
-10 -10 0 30383b
-9 -10 0 3c4648
-8 -10 0 3c4648
-7 -10 0 3c4648
-6 -10 0 3c4648
-5 -10 0 3c4648
-4 -10 0 3c4648
-3 -10 0 3c4648
-2 -10 0 495154
-1 -10 0 495154
-12 -9 0 182120
-11 -9 0 101415
-10 -9 0 ffeabd
-9 -9 0 3c4648
-8 -9 0 384043
-7 -9 0 384043
-6 -9 0 182120
-5 -9 0 101415
-4 -9 0 ffeabd
-3 -9 0 3c4648
-2 -9 0 3c4648
-1 -9 0 3c4648
-13 -8 0 1c2628
-12 -8 0 101415
-11 -8 0 182120
