# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-14 -16 0 e14f88
-13 -16 0 c73c73
-12 -16 0 c73c73
-14 -15 0 c73c73
-13 -15 0 c73c73
-12 -15 0 a62f5d
-11 -15 0 972652
-10 -15 0 aaa494
-9 -15 0 aaa494
-8 -15 0 aaa494
-7 -15 0 aaa494
-6 -15 0 aaa494
-5 -15 0 aaa494
-1 -15 0 212227
-14 -14 0 c73c73
-13 -14 0 a62f5d
-12 -14 0 972652
-11 -14 0 841e46
-10 -14 0 841e46
-9 -14 0 aaa494
-8 -14 0 aaa494
-7 -14 0 aaa494
-6 -14 0 aaa494
-5 -14 0 aaa494
-4 -14 0 aaa494
-3 -14 0 aaa494
-1 -14 0 282830
-13 -13 0 972652
-12 -13 0 841e46
-11 -13 0 78183e
-10 -13 0 78183e
-9 -13 0 b6b0a0
-8 -13 0 b6b0a0
-7 -13 0 b6b0a0
-6 -13 0 b6b0a0
-5 -13 0 b6b0a0
-4 -13 0 aaa494
-3 -13 0 aaa494
-2 -13 0 aaa494
-1 -13 0 65666b
-13 -12 0 aaa494
-12 -12 0 78183e
-11 -12 0 78183e
-10 -12 0 b6b0a0
-9 -12 0 b6b0a0
-8 -12 0 c1bbab
-7 -12 0 c1bbab
-6 -12 0 b6b0a0
-5 -12 0 b6b0a0
-4 -12 0 b6b0a0
-3 -12 0 aaa494
-2 -12 0 aaa494
-1 -12 0 65666b
-14 -11 0 aaa494
-13 -11 0 b6b0a0
-12 -11 0 b6b0a0
-11 -11 0 b6b0a0
-10 -11 0 c1bbab
-9 -11 0 c1bbab
-8 -11 0 c1bbab
-7 -11 0 c1bbab
-6 -11 0 c1bbab
-5 -11 0 b6b0a0
-4 -11 0 b6b0a0
-3 -11 0 aaa494
-2 -11 0 aaa494
-1 -11 0 1c1b21
-14 -10 0 b6b0a0
-13 -10 0 c1bbab
-12 -10 0 c1bbab
-11 -10 0 c1bbab
-10 -10 0 c1bbab
-9 -10 0 c1bbab
-8 -10 0 c1bbab
-7 -10 0 c1bbab
-6 -10 0 c1bbab
-5 -10 0 c1bbab
-4 -10 0 b6b0a0
-3 -10 0 b6b0a0
-2 -10 0 aaa494
-1 -10 0 aaa494
-15 -9 0 b6b0a0
-14 -9 0 c1bbab
-13 -9 0 c1bbab
-12 -9 0 c8c2b2
-11 -9 0 c8c2b2
-10 -9 0 c8c2b2
-9 -9 0 c8c2b2
-8 -9 0 c8c2b2
-7 -9 0 c8c2b2
-6 -9 0 c1bbab
-5 -9 0 c1bbab
-4 -9 0 c1bbab
-3 -9 0 b6b0a0
-2 -9 0 aaa494
-1 -9 0 aaa494
-15 -8 0 c1bbab
-14 -8 0 c1bbab
-13 -8 0 c1bbab
-12 -8 0 c8c2b2
-11 -8 0 cec8b8
-10 -8 0 cec8b8
-9 -8 0 cec8b8
-8 -8 0 cec8b8
-7 -8 0 c8c2b2
-6 -8 0 c8c2b2
-5 -8 0 c1bbab
-4 -8 0 c1bbab
-3 -8 0 aaa494
-2 -8 0 282830
-1 -8 0 212227
-15 -7 0 c8c2b2
-14 -7 0 1e1e1e
-13 -7 0 161616
-12 -7 0 c8c2b2
-11 -7 0 cec8b8
-10 -7 0 d4cec2
-9 -7 0 d4cec2
-8 -7 0 cec8b8
-7 -7 0 cec8b8
-6 -7 0 c8c2b2
-5 -7 0 aaa494
-4 -7 0 282830
-3 -7 0 282830
-2 -7 0 33333b
-1 -7 0 282830
-15 -6 0 2b2b2b
-14 -6 0 2b2b2b
-13 -6 0 1e1e1e
-12 -6 0 161616
-11 -6 0 cec8b8
-10 -6 0 d4cec2
-9 -6 0 d4cec2
-8 -6 0 d4cec2
-7 -6 0 cec8b8
-6 -6 0 cec8b8
-5 -6 0 33333b
-4 -6 0 33333b
-3 -6 0 33333b
-2 -6 0 33333b
-1 -6 0 282830
-15 -5 0 1e1e1e
-14 -5 0 1e1e1e
-13 -5 0 2b2b2b
-12 -5 0 1e1e1e
-11 -5 0 161616
-10 -5 0 d4cec2
-9 -5 0 d4cec2
-8 -5 0 d4cec2
-7 -5 0 e5dfd3
-6 -5 0 33333b
-5 -5 0 2b2b2b
-4 -5 0 161616
-3 -5 0 161616
-2 -5 0 33333b
-1 -5 0 33333b
-14 -4 0 585858
-13 -4 0 1e1e1e
-12 -4 0 d4cec2
-11 -4 0 e5dfd3
-10 -4 0 e5dfd3
-9 -4 0 e5dfd3
-8 -4 0 e5dfd3
-7 -4 0 e5dfd3
-6 -4 0 33333b
-5 -4 0 1e1e1e
-4 -4 0 2b2b2b
-3 -4 0 161616
-2 -4 0 33333b
-1 -4 0 393a3f
-12 -3 0 282830
-11 -3 0 1e1e1e
-10 -3 0 2b2b2b
-9 -3 0 161616
-8 -3 0 e5dfd3
-7 -3 0 e5dfd3
-6 -3 0 393a3f
-5 -3 0 585858
-4 -3 0 1e1e1e
-3 -3 0 2b2b2b
-2 -3 0 33333b
-1 -3 0 393a3f
-13 -2 0 1c1b21
-12 -2 0 282830
-11 -2 0 585858
-10 -2 0 1e1e1e
-9 -2 0 2b2b2b
-8 -2 0 282830
-7 -2 0 e5dfd3
-6 -2 0 393a3f
-5 -2 0 393a3f
-4 -2 0 393a3f
-3 -2 0 33333b
-2 -2 0 393a3f
-1 -2 0 393a3f
-13 -1 0 1c1b21
-12 -1 0 282830
-11 -1 0 282830
-10 -1 0 282830
-9 -1 0 282830
-8 -1 0 393a3f
-7 -1 0 e5dfd3
-6 -1 0 e5dfd3
-5 -1 0 393a3f
-4 -1 0 393a3f
-3 -1 0 393a3f
-2 -1 0 393a3f
-1 -1 0 393a3f
0 -15 0 212227
1 -15 0 1c1b21
2 -15 0 1c1b21
0 -14 0 282830
1 -14 0 212227
2 -14 0 1c1b21
3 -14 0 1c1b21
4 -14 0 1c1b21
0 -13 0 2c2c34
1 -13 0 282830
2 -13 0 212227
3 -13 0 1c1b21
4 -13 0 1c1b21
0 -12 0 393a3f
1 -12 0 2c2c34
2 -12 0 282830
3 -12 0 212227
4 -12 0 1c1b21
5 -12 0 1c1b21
0 -11 0 65666b
1 -11 0 2c2c34
2 -11 0 2c2c34
3 -11 0 282830
4 -11 0 1c1b21
5 -11 0 1c1b21
0 -10 0 1c1b21
1 -10 0 65666b
2 -10 0 2c2c34
3 -10 0 282830
4 -10 0 212227
5 -10 0 1c1b21
6 -10 0 1c1b21
0 -9 0 1c1b21
1 -9 0 65666b
2 -9 0 393a3f
3 -9 0 2c2c34
4 -9 0 282830
5 -9 0 1c1b21
6 -9 0 1c1b21
0 -8 0 212227
1 -8 0 1c1b21
2 -8 0 393a3f
3 -8 0 2c2c34
4 -8 0 282830
5 -8 0 212227
6 -8 0 1c1b21
0 -7 0 212227
1 -7 0 1c1b21
2 -7 0 65666b
3 -7 0 393a3f
4 -7 0 2c2c34
5 -7 0 282830
6 -7 0 1c1b21
7 -7 0 1c1b21
0 -6 0 2c2c34
1 -6 0 212227
2 -6 0 1c1b21
3 -6 0 65666b
4 -6 0 2c2c34
5 -6 0 282830
6 -6 0 212227
7 -6 0 1c1b21
0 -5 0 282830
1 -5 0 212227
2 -5 0 1c1b21
3 -5 0 65666b
4 -5 0 2c2c34
5 -5 0 2c2c34
6 -5 0 212227
7 -5 0 1c1b21
0 -4 0 33333b
1 -4 0 212227
2 -4 0 1c1b21
3 -4 0 65666b
4 -4 0 2c2c34
5 -4 0 2c2c34
6 -4 0 282830
7 -4 0 1c1b21
0 -3 0 33333b
1 -3 0 2c2c34
2 -3 0 1c1b21
3 -3 0 393a3f
4 -3 0 2c2c34
5 -3 0 2c2c34
6 -3 0 282830
7 -3 0 212227
0 -2 0 393a3f
1 -2 0 212227
2 -2 0 1c1b21
3 -2 0 65666b
4 -2 0 2c2c34
5 -2 0 2c2c34
6 -2 0 282830
7 -2 0 212227
0 -1 0 33333b
1 -1 0 2c2c34
2 -1 0 65666b
3 -1 0 65666b
4 -1 0 2c2c34
5 -1 0 2c2c34
6 -1 0 282830
7 -1 0 212227
-13 0 0 1c1b21
-12 0 0 1c1b21
-11 0 0 484850
-10 0 0 33333b
-9 0 0 393a3f
-8 0 0 393a3f
-7 0 0 e5dfd3
-6 0 0 cec8b8
-5 0 0 393a3f
-4 0 0 393a3f
-3 0 0 393a3f
-2 0 0 393a3f
-1 0 0 393a3f
-13 1 0 282830
-12 1 0 1c1b21
-11 1 0 1c1b21
-10 1 0 484850
-9 1 0 33333b
-8 1 0 393a3f
-7 1 0 e5dfd3
-6 1 0 e5dfd3
-5 1 0 c1bbab
-4 1 0 393a3f
-3 1 0 393a3f
-2 1 0 393a3f
-1 1 0 393a3f
-12 2 0 282830
-11 2 0 1c1b21
-10 2 0 484850
-9 2 0 484850
-8 2 0 33333b
-7 2 0 33333b
