# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-15 0 0 070c1f
-14 0 0 0d1430
-13 0 0 070c1f
-12 0 0 1c2546
-11 0 0 070c1f
-10 0 0 070c1f
-9 0 0 4a5279
-8 0 0 070c1f
-7 0 0 070c1f
-6 0 0 070c1f
-5 0 0 070c1f
-4 0 0 4a5279
-3 0 0 3d476a
-2 0 0 3d476a
-1 0 0 3d476a
-16 1 0 070c1f
-15 1 0 0d1430
-14 1 0 070c1f
-13 1 0 8a4655
-12 1 0 1c2546
-11 1 0 070c1f
-10 1 0 3d476a
-9 1 0 070c1f
-8 1 0 070c1f
-7 1 0 4a5279
-6 1 0 4a5279
-5 1 0 070c1f
-4 1 0 070c1f
-3 1 0 3d476a
-2 1 0 313a5b
-1 1 0 2d355a
-16 2 0 070c1f
-15 2 0 070c1f
-14 2 0 8a4655
-13 2 0 8a4655
-12 2 0 8a4655
-11 2 0 070c1f
-10 2 0 313a5b
-9 2 0 4a5279
-8 2 0 4a5279
-7 2 0 3d476a
-6 2 0 3d476a
-5 2 0 2d355a
-4 2 0 070c1f
-3 2 0 2d355a
-2 2 0 313a5b
-1 2 0 ab5965
-16 3 0 151d41
-15 3 0 0d1430
-14 3 0 8a4655
-13 3 0 ab5965
-12 3 0 a75a6a
-11 3 0 ab5965
-10 3 0 1c2546
-9 3 0 3d476a
-8 3 0 3d476a
-7 3 0 3d476a
-6 3 0 2d355a
-5 3 0 3d476a
-4 3 0 2d355a
-3 3 0 2d355a
-2 3 0 ab5965
-1 3 0 a75a6a
-15 4 0 070c1f
-14 4 0 0d1430
-13 4 0 a75a6a
-12 4 0 cc798b
-11 4 0 a75a6a
-10 4 0 ab5965
-9 4 0 1c2546
-8 4 0 313a5b
-7 4 0 1c2546
-6 4 0 0d1430
-5 4 0 0d1430
-4 4 0 0d1430
-3 4 0 ab5965
-2 4 0 a75a6a
-1 4 0 cc798b
-15 5 0 151d41
-14 5 0 0d1430
-13 5 0 151d41
-12 5 0 cc798b
-11 5 0 e092a2
-10 5 0 0d1430
-9 5 0 0d1430
-8 5 0 0d1430
-7 5 0 4a5279
-6 5 0 4a5279
-5 5 0 616c99
-4 5 0 1c2546
-3 5 0 0d1430
-2 5 0 cc798b
-1 5 0 e092a2
-14 6 0 070c1f
-13 6 0 0d1430
-12 6 0 070c1f
-11 6 0 151d41
-10 6 0 0d1430
-9 6 0 070c1f
-8 6 0 616c99
-7 6 0 98a0c4
-6 6 0 616c99
-5 6 0 1c2546
-3 6 0 1c2546
-2 6 0 0d1430
-1 6 0 0d1430
-12 7 0 151d41
-11 7 0 151d41
-10 7 0 151d41
-8 7 0 98a0c4
-7 7 0 616c99
-2 7 0 4a5279
-1 7 0 1c2546
0 0 0 2d355a
1 0 0 8a4655
2 0 0 8a4655
3 0 0 8a4655
4 0 0 070c1f
5 0 0 0d1430
6 0 0 070c1f
0 1 0 8a4655
1 1 0 ab5965
2 1 0 8a4655
3 1 0 8a4655
4 1 0 070c1f
5 1 0 070c1f
6 1 0 0d1430
0 2 0 a75a6a
1 2 0 a75a6a
2 2 0 ab5965
3 2 0 8a4655
4 2 0 070c1f
5 2 0 070c1f
6 2 0 0d1430
0 3 0 a75a6a
1 3 0 a75a6a
2 3 0 a75a6a
3 3 0 ab5965
4 3 0 070c1f
5 3 0 1c2546
6 3 0 070c1f
0 4 0 cc798b
1 4 0 cc798b
2 4 0 a75a6a
3 4 0 8a4655
4 4 0 151d41
5 4 0 0d1430
0 5 0 cc798b
1 5 0 a75a6a
2 5 0 ab5965
3 5 0 070c1f
4 5 0 151d41
5 5 0 070c1f
0 6 0 e092a2
