# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-14 0 0 46972e
-13 0 0 36871e
-12 0 0 36871e
-11 0 0 46972e
-10 0 0 46972e
-9 0 0 46972e
-8 0 0 1f570e
-7 0 0 256610
-6 0 0 2d7d18
-5 0 0 2d7d18
-4 0 0 36871e
-3 0 0 2d7d18
-2 0 0 2d7d18
-1 0 0 256610
-13 1 0 256610
-12 1 0 36871e
-11 1 0 36871e
-10 1 0 46972e
-9 1 0 36871e
-8 1 0 1f570e
-7 1 0 1f570e
-6 1 0 f7a7d2
-5 1 0 2d7d18
-4 1 0 2d7d18
-3 1 0 2d7d18
-2 1 0 256610
-1 1 0 1f570e
-14 2 0 e56ec0
-13 2 0 c55ea5
-12 2 0 e56ec0
-11 2 0 36871e
-10 2 0 36871e
-9 2 0 36871e
-8 2 0 36871e
-7 2 0 f7a7d2
-6 2 0 f7a7d2
-5 2 0 2d7d18
-4 2 0 2d7d18
-3 2 0 2d7d18
-2 2 0 256610
-1 2 0 c55ea5
-14 3 0 f68fd8
-13 3 0 e56ec0
-12 3 0 f68fd8
-11 3 0 c55ea5
-10 3 0 36871e
-9 3 0 36871e
-8 3 0 c55ea5
-7 3 0 f68fd8
-6 3 0 f7a7d2
-5 3 0 f3b2d2
-4 3 0 2d7d18
-3 3 0 256610
-2 3 0 e56ec0
-1 3 0 fe7cd6
-14 4 0 f7a7d2
-13 4 0 f68fd8
-12 4 0 f68fd8
-11 4 0 f68fd8
-10 4 0 fe7cd6
-9 4 0 c55ea5
-8 4 0 e56ec0
-7 4 0 f68fd8
-6 4 0 f7a7d2
-5 4 0 f3b2d2
-4 4 0 c55ea5
-3 4 0 e56ec0
-2 4 0 fe7cd6
-1 4 0 f68fd8
-13 5 0 f3b2d2
-12 5 0 f7a7d2
-11 5 0 f7a7d2
-10 5 0 f68fd8
-9 5 0 fe7cd6
-8 5 0 c55ea5
-7 5 0 f68fd8
-6 5 0 f7a7d2
-5 5 0 f3b2d2
-4 5 0 e56ec0
-3 5 0 fe7cd6
-2 5 0 f68fd8
-1 5 0 f68fd8
-12 6 0 f3b2d2
-11 6 0 f7a7d2
-10 6 0 f7a7d2
-9 6 0 f68fd8
-8 6 0 fe7cd6
-7 6 0 f68fd8
-6 6 0 f7a7d2
-5 6 0 fe7cd6
-4 6 0 fe7cd6
-3 6 0 fe7cd6
-2 6 0 f7a7d2
-1 6 0 f7a7d2
-10 7 0 f3b2d2
-9 7 0 f7a7d2
-8 7 0 fe7cd6
-3 7 0 fe7cd6
-2 7 0 f3b2d2
-1 7 0 f3b2d2
0 0 0 36871e
1 0 0 46972e
2 0 0 61aa4e
3 0 0 46972e
0 1 0 36871e
1 1 0 c55ea5
2 1 0 c55ea5
0 2 0 e56ec0
1 2 0 fe7cd6
2 2 0 f68fd8
3 2 0 f7a7d2
0 3 0 f68fd8
1 3 0 f68fd8
2 3 0 f7a7d2
3 3 0 f7a7d2
0 4 0 f68fd8
1 4 0 f68fd8
2 4 0 f7a7d2
3 4 0 f3b2d2
0 5 0 f7a7d2
1 5 0 f7a7d2
2 5 0 f7a7d2
0 6 0 f7a7d2
1 6 0 f3b2d2
-12 -16 0 1f570e
-11 -16 0 256610
-10 -16 0 1f570e
-9 -16 0 1f570e
-8 -16 0 144005
-7 -16 0 144005
-3 -16 0 144005
-2 -16 0 1f570e
-1 -16 0 256610
-11 -15 0 164807
-10 -15 0 256610
-9 -15 0 256610
-8 -15 0 144005
-7 -15 0 144005
-3 -15 0 144005
-2 -15 0 164807
-1 -15 0 164807
-11 -14 0 164807
-10 -14 0 164807
-9 -14 0 144005
-8 -14 0 144005
-7 -14 0 1f570e
-6 -14 0 1f570e
-5 -14 0 1f570e
-4 -14 0 1f570e
-3 -14 0 1f570e
-2 -14 0 144005
-1 -14 0 144005
-15 -13 0 1f570e
-14 -13 0 1f570e
-13 -13 0 1f570e
-12 -13 0 1f570e
-11 -13 0 256610
-10 -13 0 256610
-9 -13 0 256610
-8 -13 0 1f570e
-7 -13 0 1f570e
-6 -13 0 256610
-5 -13 0 256610
-4 -13 0 256610
-3 -13 0 256610
-2 -13 0 1f570e
-1 -13 0 1f570e
-16 -12 0 1f570e
-15 -12 0 256610
-14 -12 0 256610
-13 -12 0 1f570e
-12 -12 0 256610
-11 -12 0 256610
-10 -12 0 256610
-9 -12 0 256610
-8 -12 0 1f570e
-7 -12 0 256610
-6 -12 0 256610
-5 -12 0 2d7d18
-4 -12 0 2d7d18
-3 -12 0 256610
-2 -12 0 256610
-1 -12 0 1f570e
-16 -11 0 256610
-15 -11 0 2d7d18
-14 -11 0 2d7d18
-13 -11 0 1f570e
-12 -11 0 256610
-11 -11 0 2d7d18
-10 -11 0 2d7d18
-9 -11 0 1f570e
-8 -11 0 1f570e
