# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-12 -16 0 a46f61
-11 -16 0 a46f61
-10 -16 0 a46f61
-9 -16 0 c39385
-8 -16 0 bb8374
-7 -16 0 bb8374
-6 -16 0 d2a69d
-5 -16 0 c39385
-4 -16 0 c39385
-3 -16 0 aa796b
-2 -16 0 bb8374
-1 -16 0 a46f61
-13 -15 0 a46f61
-12 -15 0 aa796b
-11 -15 0 c39385
-10 -15 0 d2a69d
-9 -15 0 d2a69d
-8 -15 0 e5bdb3
-7 -15 0 e5bdb3
-6 -15 0 e5bdb3
-5 -15 0 d2a69d
-4 -15 0 c39385
-3 -15 0 c39385
-2 -15 0 c39385
-1 -15 0 aa796b
-14 -14 0 a46f61
-13 -14 0 bb8374
-12 -14 0 c39385
-11 -14 0 c39385
-10 -14 0 e5bdb3
-9 -14 0 ffd3ca
-8 -14 0 ffd3ca
-7 -14 0 ffd3ca
-6 -14 0 e5bdb3
-5 -14 0 d2a69d
-4 -14 0 d2a69d
-3 -14 0 d2a69d
-2 -14 0 c39385
-1 -14 0 c39385
-15 -13 0 a46f61
-14 -13 0 aa796b
-13 -13 0 bb8374
-12 -13 0 bb8374
-11 -13 0 aa5a73
-10 -13 0 ca6b89
-9 -13 0 ffd3ca
-8 -13 0 ffd3ca
-7 -13 0 ffd3ca
-6 -13 0 e5bdb3
-5 -13 0 e5bdb3
-4 -13 0 bb8374
-3 -13 0 c39385
-2 -13 0 d2a69d
-1 -13 0 c39385
-15 -12 0 a46f61
-14 -12 0 aa796b
-13 -12 0 a46f61
-12 -12 0 aa5a73
-11 -12 0 ca6b89
-10 -12 0 e78aa7
-9 -12 0 fc9cba
-8 -12 0 ffd3ca
-7 -12 0 fee5e0
-6 -12 0 ffd3ca
-5 -12 0 a46f61
-4 -12 0 aa796b
-3 -12 0 d2a69d
-2 -12 0 e5bdb3
-1 -12 0 d2a69d
-16 -11 0 a46f61
-15 -11 0 aa796b
-14 -11 0 bb8374
-13 -11 0 bb8374
-12 -11 0 a46f61
-11 -11 0 e78aa7
-10 -11 0 fc9cba
-9 -11 0 fee5e0
-8 -11 0 fee5e0
-7 -11 0 c39385
-6 -11 0 a46f61
-5 -11 0 aa796b
-4 -11 0 c39385
-3 -11 0 d2a69d
-2 -11 0 d2a69d
-1 -11 0 d2a69d
-16 -10 0 a46f61
-15 -10 0 aa796b
-14 -10 0 bb8374
-13 -10 0 c39385
-12 -10 0 bb8374
-11 -10 0 bb8374
-10 -10 0 c39385
-9 -10 0 e5bdb3
-8 -10 0 c39385
-7 -10 0 c39385
-6 -10 0 c39385
-5 -10 0 3f0919
-4 -10 0 3f0919
-3 -10 0 3f0919
-2 -10 0 c39385
-1 -10 0 e5bdb3
-16 -9 0 a46f61
-15 -9 0 aa796b
-14 -9 0 c39385
-13 -9 0 3f0919
-12 -9 0 3f0919
-11 -9 0 3f0919
-10 -9 0 d2a69d
-9 -9 0 d2a69d
-8 -9 0 ffd3ca
-7 -9 0 e5bdb3
-6 -9 0 c39385
-5 -9 0 3f0919
-4 -9 0 682036
-3 -9 0 a0556c
-2 -9 0 d2a69d
-1 -9 0 e5bdb3
-15 -8 0 c39385
-14 -8 0 aa796b
-13 -8 0 3f0919
-12 -8 0 682036
-11 -8 0 a0556c
-10 -8 0 d2a69d
-9 -8 0 e5bdb3
-8 -8 0 ffd3ca
-7 -8 0 ffd3ca
-6 -8 0 e5bdb3
-5 -8 0 682036
-4 -8 0 a0556c
-3 -8 0 ffd3ca
-2 -8 0 d2a69d
-1 -8 0 ffd3ca
-15 -7 0 a46f61
-14 -7 0 c39385
-13 -7 0 682036
-12 -7 0 a0556c
-11 -7 0 d2a69d
-10 -7 0 d2a69d
-9 -7 0 e5bdb3
-8 -7 0 ffd3ca
-7 -7 0 fee5e0
-6 -7 0 e5bdb3
-5 -7 0 e5bdb3
-4 -7 0 ffd3ca
-3 -7 0 ffd3ca
-2 -7 0 ffd3ca
-1 -7 0 fee5e0
-15 -6 0 a46f61
-14 -6 0 c39385
-13 -6 0 c39385
-12 -6 0 c39385
-11 -6 0 d2a69d
-10 -6 0 e5bdb3
-9 -6 0 e5bdb3
-8 -6 0 ffd3ca
-7 -6 0 fee5e0
-6 -6 0 fee5e0
-5 -6 0 e5bdb3
-4 -6 0 e5bdb3
-3 -6 0 fee5e0
-2 -6 0 ca6b89
-1 -6 0 ca6b89
-15 -5 0 7a3b4e
-14 -5 0 a46f61
-13 -5 0 a46f61
-12 -5 0 a46f61
-11 -5 0 c39385
-10 -5 0 e5bdb3
-9 -5 0 7a3b4e
-8 -5 0 dc7d9b
-7 -5 0 dc7d9b
-6 -5 0 ca6b89
-5 -5 0 7a3b4e
-4 -5 0 fee5e0
-3 -5 0 7a3b4e
-2 -5 0 6160a3
-1 -5 0 dc7d9b
-15 -4 0 ec3333
-14 -4 0 aa5a73
-13 -4 0 ca6b89
-12 -4 0 ca6b89
-11 -4 0 7a3b4e
-10 -4 0 aa5a73
-9 -4 0 6160a3
-8 -4 0 e78aa7
-7 -4 0 e78aa7
-6 -4 0 e78aa7
-5 -4 0 ca6b89
-4 -4 0 7a3b4e
-3 -4 0 aa5a73
-2 -4 0 dc7d9b
-1 -4 0 ca6b89
-15 -3 0 7a3b4e
-14 -3 0 ca6b89
-13 -3 0 efd356
-12 -3 0 e78aa7
-11 -3 0 aa5a73
-10 -3 0 ca6b89
-9 -3 0 e78aa7
-8 -3 0 67d65e
-7 -3 0 fc9cba
-6 -3 0 e78aa7
-5 -3 0 ec3333
-4 -3 0 ca6b89
-3 -3 0 aa5a73
-2 -3 0 ca6b89
-1 -3 0 ec3333
-14 -2 0 e78aa7
-13 -2 0 fc9cba
-12 -2 0 e78aa7
-11 -2 0 dc7d9b
-10 -2 0 dc7d9b
-9 -2 0 e78aa7
-8 -2 0 aa5a73
-7 -2 0 7a3b4e
-6 -2 0 fc9cba
-5 -2 0 e78aa7
-4 -2 0 e78aa7
-3 -2 0 ca6b89
-2 -2 0 dc7d9b
-1 -2 0 dc7d9b
-14 -1 0 884a33
-13 -1 0 ab6146
-12 -1 0 ab6146
-11 -1 0 aa5a73
-10 -1 0 efd356
-9 -1 0 e78aa7
-8 -1 0 fc9cba
-7 -1 0 7a3b4e
-6 -1 0 7a3b4e
-5 -1 0 fc9cba
-4 -1 0 e78aa7
-3 -1 0 aa5a73
-2 -1 0 ca6b89
-1 -1 0 884a33
0 -15 0 aa796b
1 -15 0 a46f61
0 -14 0 aa796b
1 -14 0 aa796b
2 -14 0 a46f61
0 -13 0 c39385
1 -13 0 c39385
2 -13 0 aa796b
3 -13 0 a46f61
0 -12 0 c39385
1 -12 0 c39385
2 -12 0 aa796b
3 -12 0 a46f61
0 -11 0 d2a69d
1 -11 0 c39385
2 -11 0 c39385
3 -11 0 aa796b
4 -11 0 a46f61
0 -10 0 d2a69d
1 -10 0 c39385
2 -10 0 c39385
3 -10 0 aa796b
4 -10 0 aa796b
0 -9 0 d2a69d
1 -9 0 d2a69d
2 -9 0 c39385
3 -9 0 c39385
4 -9 0 a46f61
0 -8 0 fee5e0
1 -8 0 fee5e0
2 -8 0 a46f61
3 -8 0 a46f61
4 -8 0 aa796b
5 -8 0 a46f61
0 -7 0 dc7d9b
1 -7 0 dc7d9b
2 -7 0 dc7d9b
3 -7 0 aa5a73
4 -7 0 ec3333
5 -7 0 a46f61
0 -6 0 dc7d9b
1 -6 0 efd356
2 -6 0 e78aa7
3 -6 0 e78aa7
4 -6 0 e78aa7
5 -6 0 aa5a73
0 -5 0 e78aa7
1 -5 0 e78aa7
2 -5 0 ca6b89
3 -5 0 fc9cba
4 -5 0 fc9cba
5 -5 0 fc9cba
0 -4 0 e78aa7
1 -4 0 e78aa7
2 -4 0 e78aa7
3 -4 0 e78aa7
4 -4 0 e78aa7
5 -4 0 efd356
0 -3 0 e78aa7
1 -3 0 dc7d9b
2 -3 0 dc7d9b
3 -3 0 dc7d9b
