# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-16 0 0 372519
-15 0 0 372519
-14 0 0 372519
-13 0 0 372519
-12 0 0 402c21
-11 0 0 402c21
-10 0 0 402c21
-9 0 0 4c3428
-8 0 0 4c3428
-7 0 0 5a4031
-6 0 0 5a4031
-5 0 0 5a4031
-4 0 0 5a4031
-3 0 0 64483a
-2 0 0 64483a
-1 0 0 64483a
-15 1 0 372519
-14 1 0 372519
-13 1 0 372519
-12 1 0 402c21
-11 1 0 433022
-10 1 0 402c21
-9 1 0 402c21
-8 1 0 402c21
-7 1 0 402c21
-6 1 0 4c3428
-5 1 0 4c3428
-4 1 0 5a4031
-3 1 0 5a4031
-2 1 0 5a4031
-1 1 0 5a4031
-15 2 0 372519
-14 2 0 372519
-13 2 0 372519
-12 2 0 372519
-11 2 0 372519
-10 2 0 433022
-9 2 0 402c21
-8 2 0 402c21
-7 2 0 402c21
-6 2 0 402c21
-5 2 0 4c3428
-4 2 0 4c3428
-3 2 0 4c3428
-2 2 0 4c3428
-1 2 0 4c3428
-15 3 0 372519
-14 3 0 372519
-13 3 0 372519
-12 3 0 372519
-11 3 0 372519
-10 3 0 372519
-9 3 0 433022
-8 3 0 433022
-7 3 0 402c21
-6 3 0 402c21
-5 3 0 402c21
-4 3 0 402c21
-3 3 0 4c3428
-2 3 0 4c3428
-1 3 0 4c3428
-14 4 0 372519
-13 4 0 372519
-12 4 0 372519
-11 4 0 372519
-10 4 0 372519
-9 4 0 372519
-8 4 0 372519
-7 4 0 372519
-6 4 0 372519
-5 4 0 433022
-4 4 0 402c21
-3 4 0 402c21
-2 4 0 402c21
-1 4 0 402c21
-11 5 0 372519
-10 5 0 372519
-9 5 0 372519
-8 5 0 372519
-7 5 0 372519
-6 5 0 372519
-5 5 0 372519
-4 5 0 372519
-3 5 0 372519
-2 5 0 433022
-1 5 0 433022
-8 6 0 372519
-7 6 0 372519
-6 6 0 372519
-5 6 0 372519
-4 6 0 372519
-3 6 0 372519
-2 6 0 433022
-14 -15 0 4c3428
-13 -15 0 6d5143
-12 -15 0 6d5143
-1 -15 0 372519
-15 -14 0 4c3428
-14 -14 0 4c3428
-13 -14 0 362e2c
-12 -14 0 362e2c
-11 -14 0 6d5143
-3 -14 0 402c21
-2 -14 0 402c21
-1 -14 0 4c3428
-15 -13 0 4c3428
-14 -13 0 26211e
-13 -13 0 2e2624
-12 -13 0 2e2624
-11 -13 0 362e2c
-10 -13 0 6d5143
-4 -13 0 402c21
-3 -13 0 4c3428
-2 -13 0 4c3428
-1 -13 0 4c3428
-15 -12 0 4c3428
-14 -12 0 251d1b
-13 -12 0 26211e
-12 -12 0 2e2624
-11 -12 0 2e2624
-10 -12 0 362e2c
-9 -12 0 4c3428
-8 -12 0 4c3428
-7 -12 0 6d5143
-6 -12 0 6d5143
-5 -12 0 5a4031
-4 -12 0 5a4031
-3 -12 0 4c3428
-2 -12 0 4c3428
-1 -12 0 5a4031
-15 -11 0 402c21
-14 -11 0 251d1b
-13 -11 0 26211e
-12 -11 0 26211e
-11 -11 0 26211e
-10 -11 0 4c3428
-9 -11 0 5a4031
-8 -11 0 5a4031
-7 -11 0 6d5143
-6 -11 0 6d5143
-5 -11 0 6d5143
-4 -11 0 6d5143
-3 -11 0 5a4031
-2 -11 0 4c3428
-1 -11 0 5a4031
-15 -10 0 372519
-14 -10 0 402c21
-13 -10 0 251d1b
-12 -10 0 251d1b
-11 -10 0 4c3428
-10 -10 0 5a4031
-9 -10 0 5a4031
-8 -10 0 5a4031
-7 -10 0 6d5143
-6 -10 0 6d5143
-5 -10 0 6d5143
-4 -10 0 6d5143
-3 -10 0 6d5143
-2 -10 0 5a4031
-1 -10 0 423022
-14 -9 0 372519
-13 -9 0 251d1b
-12 -9 0 4c3428
-11 -9 0 5a4031
-10 -9 0 5a4031
-9 -9 0 6d5143
-8 -9 0 6d5143
-7 -9 0 6d5143
-6 -9 0 64483a
-5 -9 0 6d5143
-4 -9 0 6d5143
-3 -9 0 6d5143
-2 -9 0 6d5143
-1 -9 0 5a4031
-14 -8 0 372519
-13 -8 0 4c3428
-12 -8 0 4c3428
-11 -8 0 5a4031
-10 -8 0 64483a
-9 -8 0 64483a
-8 -8 0 2e2624
-7 -8 0 443a39
-6 -8 0 5a4031
-5 -8 0 5a4031
-4 -8 0 6d5143
-3 -8 0 6d5143
-2 -8 0 6d5143
-1 -8 0 6d5143
-14 -7 0 372519
-13 -7 0 4c3428
-12 -7 0 4c3428
-11 -7 0 5a4031
-10 -7 0 64483a
-9 -7 0 251d1b
-8 -7 0 26211e
-7 -7 0 443a39
-6 -7 0 443a39
-5 -7 0 5a4031
-4 -7 0 64483a
-3 -7 0 64483a
-2 -7 0 6d5143
-1 -7 0 6d5143
-15 -6 0 372519
-14 -6 0 433022
-13 -6 0 402c21
-12 -6 0 4c3428
-11 -6 0 5a4031
-10 -6 0 64483a
-9 -6 0 251d1b
-8 -6 0 26211e
-7 -6 0 26211e
-6 -6 0 251d1b
-5 -6 0 5a4031
-4 -6 0 5a4031
-3 -6 0 64483a
-2 -6 0 64483a
-1 -6 0 6d5143
-15 -5 0 372519
-14 -5 0 433022
-13 -5 0 402c21
-12 -5 0 4c3428
-11 -5 0 5a4031
-10 -5 0 5a4031
-9 -5 0 251d1b
-8 -5 0 251d1b
-7 -5 0 251d1b
-6 -5 0 251d1b
-5 -5 0 4c3428
-4 -5 0 4c3428
-3 -5 0 5a4031
-2 -5 0 64483a
-1 -5 0 64483a
-15 -4 0 372519
-14 -4 0 433022
-13 -4 0 402c21
-12 -4 0 4c3428
-11 -4 0 4c3428
-10 -4 0 5a4031
-9 -4 0 5a4031
-8 -4 0 64483a
-7 -4 0 64483a
-6 -4 0 6d5143
-5 -4 0 5a4031
-4 -4 0 5a4031
-3 -4 0 4c3428
-2 -4 0 5a4031
-1 -4 0 5a4031
-16 -3 0 372519
-15 -3 0 372519
-14 -3 0 433022
-13 -3 0 402c21
-12 -3 0 402c21
-11 -3 0 4c3428
-10 -3 0 5a4031
-9 -3 0 5a4031
-8 -3 0 64483a
-7 -3 0 64483a
-6 -3 0 64483a
-5 -3 0 6d5143
-4 -3 0 6d5143
-3 -3 0 5a4031
-2 -3 0 5a4031
-1 -3 0 5a4031
-16 -2 0 372519
-15 -2 0 372519
-14 -2 0 402c21
-13 -2 0 433022
-12 -2 0 402c21
-11 -2 0 4c3428
-10 -2 0 4c3428
-9 -2 0 5a4031
-8 -2 0 5a4031
-7 -2 0 64483a
