# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 -16 0 1f1e1c
-7 -16 0 1f1e1c
-2 -16 0 1f1e1c
-1 -16 0 1f1e1c
-8 -15 0 1f1e1c
-7 -15 0 474642
-6 -15 0 1f1e1c
-3 -15 0 1f1e1c
-2 -15 0 474642
-1 -15 0 1f1e1c
-12 -14 0 1f1e1c
-11 -14 0 1f1e1c
-8 -14 0 1f1e1c
-7 -14 0 474642
-6 -14 0 1f1e1c
-5 -14 0 1f1e1c
-4 -14 0 1f1e1c
-3 -14 0 1f1e1c
-2 -14 0 474642
-1 -14 0 1f1e1c
-12 -13 0 1f1e1c
-11 -13 0 2f2e2a
-10 -13 0 1f1e1c
-8 -13 0 1f1e1c
-7 -13 0 1f1e1c
-6 -13 0 474642
-5 -13 0 474642
-4 -13 0 565551
-3 -13 0 474642
-2 -13 0 1f1e1c
-1 -13 0 1f1e1c
-15 -12 0 1f1e1c
-14 -12 0 1f1e1c
-12 -12 0 1f1e1c
-11 -12 0 2f2e2a
-10 -12 0 2f2e2a
-9 -12 0 1f1e1c
-8 -12 0 474642
-7 -12 0 474642
-6 -12 0 565551
-5 -12 0 565551
-4 -12 0 565551
-3 -12 0 565551
-2 -12 0 474642
-1 -12 0 474642
-15 -11 0 1f1e1c
-14 -11 0 2f2e2a
-13 -11 0 1f1e1c
-12 -11 0 1f1e1c
-11 -11 0 1f1e1c
-10 -11 0 1f1e1c
-9 -11 0 1f1e1c
-8 -11 0 474642
-7 -11 0 474642
-6 -11 0 565551
-5 -11 0 565551
-4 -11 0 565551
-3 -11 0 565551
-2 -11 0 565551
-1 -11 0 474642
-15 -10 0 1f1e1c
-14 -10 0 1f1e1c
-13 -10 0 474642
-12 -10 0 474642
-11 -10 0 474642
-10 -10 0 1f1e1c
-9 -10 0 1f1e1c
-8 -10 0 474642
-7 -10 0 474642
-6 -10 0 141311
-5 -10 0 565551
-4 -10 0 565551
-3 -10 0 141311
-2 -10 0 565551
-1 -10 0 474642
-15 -9 0 2f2e2a
-14 -9 0 2f2e2a
-13 -9 0 474642
-12 -9 0 474642
-11 -9 0 565551
-10 -9 0 2f2e2a
-9 -9 0 474642
-8 -9 0 474642
-7 -9 0 474642
-6 -9 0 565551
-5 -9 0 565551
-4 -9 0 565551
-3 -9 0 565551
-2 -9 0 474642
-1 -9 0 474642
-15 -8 0 2f2e2a
-14 -8 0 474642
-13 -8 0 565551
-12 -8 0 565551
-11 -8 0 565551
-10 -8 0 474642
-9 -8 0 2f2e2a
-8 -8 0 474642
-7 -8 0 474642
-6 -8 0 565551
-5 -8 0 141311
-4 -8 0 141311
-3 -8 0 565551
-2 -8 0 474642
-1 -8 0 474642
-15 -7 0 2f2e2a
-14 -7 0 474642
-13 -7 0 141311
-12 -7 0 565551
-11 -7 0 565551
-10 -7 0 2f2e2a
-9 -7 0 474642
-8 -7 0 474642
-7 -7 0 474642
-6 -7 0 474642
-5 -7 0 474642
-4 -7 0 474642
-3 -7 0 474642
-2 -7 0 474642
-1 -7 0 474642
-16 -6 0 141311
-15 -6 0 141311
-14 -6 0 565551
-13 -6 0 565551
-12 -6 0 565551
-11 -6 0 565551
-10 -6 0 474642
-9 -6 0 2f2e2a
-8 -6 0 474642
-7 -6 0 474642
-6 -6 0 474642
-5 -6 0 a65659
-4 -6 0 a65659
-3 -6 0 474642
-2 -6 0 474642
-1 -6 0 2f2e2a
-16 -5 0 141311
-15 -5 0 565551
-14 -5 0 565551
-13 -5 0 474642
-12 -5 0 474642
-11 -5 0 474642
-10 -5 0 474642
-9 -5 0 2f2e2a
-8 -5 0 2f2e2a
-7 -5 0 2f2e2a
-6 -5 0 2f2e2a
-5 -5 0 a65659
-4 -5 0 a65659
-3 -5 0 474642
-2 -5 0 2f2e2a
-1 -5 0 3b3633
-15 -4 0 2f2e2a
-14 -4 0 2f2e2a
-13 -4 0 474642
-12 -4 0 474642
-11 -4 0 474642
-10 -4 0 2f2e2a
-9 -4 0 2f2e2a
-8 -4 0 3b3633
-7 -4 0 3b3633
-6 -4 0 3b3633
-5 -4 0 2f2e2a
-4 -4 0 2f2e2a
-3 -4 0 474642
-2 -4 0 3b3633
-1 -4 0 3b3633
-15 -3 0 a65659
-14 -3 0 2f2e2a
-13 -3 0 2f2e2a
-12 -3 0 2f2e2a
-11 -3 0 2f2e2a
-10 -3 0 2f2e2a
-9 -3 0 3b3633
-8 -3 0 3b3633
-7 -3 0 474642
-6 -3 0 474642
-5 -3 0 565551
-4 -3 0 474642
-3 -3 0 565551
-2 -3 0 474642
-1 -3 0 474642
-10 -2 0 3b3633
-9 -2 0 474642
-8 -2 0 565551
-7 -2 0 565551
-6 -2 0 565551
-5 -2 0 565551
-4 -2 0 565551
-3 -2 0 565551
-2 -2 0 565551
