# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-16 0 0 311c1b
-15 0 0 371d1e
-14 0 0 371d1e
-13 0 0 371d1e
-12 0 0 311c1b
-11 0 0 2d1817
-10 0 0 553f42
-9 0 0 2d1817
-8 0 0 311c1b
-7 0 0 311c1b
-6 0 0 2d1817
-5 0 0 553f42
-4 0 0 594346
-3 0 0 594346
-2 0 0 553f42
-1 0 0 2d1817
-16 1 0 311c1b
-15 1 0 311c1b
-14 1 0 371d1e
-13 1 0 311c1b
-12 1 0 311c1b
-11 1 0 2d1817
-10 1 0 553f42
-9 1 0 553f42
-8 1 0 2d1817
-7 1 0 2d1817
-6 1 0 553f42
-5 1 0 594346
-4 1 0 604a4d
-3 1 0 594346
-2 1 0 594346
-1 1 0 2d1817
-16 2 0 2d1817
-15 2 0 311c1b
-14 2 0 311c1b
-13 2 0 311c1b
-12 2 0 2d1817
-11 2 0 553f42
-10 2 0 594346
-9 2 0 594346
-8 2 0 594346
-7 2 0 553f42
-6 2 0 594346
-5 2 0 604a4d
-4 2 0 604a4d
-3 2 0 6f5459
-2 2 0 594346
-1 2 0 594346
-15 3 0 311c1b
-14 3 0 311c1b
-13 3 0 2d1817
-12 3 0 2d1817
-11 3 0 553f42
-10 3 0 553f42
-9 3 0 594346
-8 3 0 594346
-7 3 0 604a4d
-6 3 0 604a4d
-5 3 0 604a4d
-4 3 0 6f5459
-3 3 0 6f5459
-2 3 0 6f5459
-1 3 0 6f5459
-15 4 0 2d1817
-14 4 0 2d1817
-10 4 0 553f42
-9 4 0 553f42
-8 4 0 553f42
-7 4 0 553f42
-6 4 0 604a4d
-5 4 0 604a4d
-4 4 0 604a4d
-3 4 0 6f5459
-2 4 0 604a4d
-1 4 0 6f5459
-10 5 0 dc9d04
-9 5 0 dc9d04
-8 5 0 dc9d04
-7 5 0 553f42
-6 5 0 553f42
-5 5 0 553f42
-4 5 0 553f42
-3 5 0 553f42
-2 5 0 553f42
-1 5 0 553f42
-10 6 0 dc9d04
-9 6 0 f5b810
-8 6 0 f5b810
-7 6 0 e7a80f
-6 6 0 dc9d04
-5 6 0 dc9d04
-4 6 0 dc9d04
-2 6 0 e7a80f
-1 6 0 dc9d04
-9 7 0 ffc116
-8 7 0 f5b810
-7 7 0 e7a80f
-6 7 0 e7a80f
-5 7 0 dc9d04
-2 7 0 f5b810
-1 7 0 e7a80f
-9 -16 0 2d1817
-8 -16 0 ffdf14
-7 -16 0 2d1817
-6 -16 0 3f2526
-5 -16 0 3f2526
-4 -16 0 452928
-3 -16 0 1a12fd
-2 -16 0 452928
-1 -16 0 5d3535
-11 -15 0 2d1817
-10 -15 0 2d1817
-9 -15 0 371d1e
-8 -15 0 452928
-7 -15 0 3f2526
-6 -15 0 79fe87
-5 -15 0 452928
-4 -15 0 452928
-3 -15 0 452928
-2 -15 0 452928
-1 -15 0 ff2013
-11 -14 0 371d1e
-10 -14 0 371d1e
-9 -14 0 ff2013
-8 -14 0 3f2526
-7 -14 0 452928
-6 -14 0 452928
-5 -14 0 3f2526
-4 -14 0 3f2526
