# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 -16 0 b6549f
0 -15 0 c259ab
1 -15 0 b6549f
2 -15 0 b6549f
0 -14 0 de60c3
1 -14 0 c259ab
2 -14 0 b6549f
3 -14 0 b6549f
0 -13 0 de60c3
1 -13 0 7567d6
2 -13 0 7567d6
3 -13 0 78bfc1
4 -13 0 78bfc1
0 -12 0 7567d6
1 -12 0 7567d6
2 -12 0 7567d6
3 -12 0 78bfc1
4 -12 0 95e5e6
5 -12 0 95e5e6
6 -12 0 95e5e6
0 -11 0 7567d6
1 -11 0 7567d6
2 -11 0 7567d6
3 -11 0 7567d6
4 -11 0 95e5e6
5 -11 0 b5ffff
6 -11 0 b5ffff
0 -10 0 7c6ce6
1 -10 0 7567d6
2 -10 0 7c6ce6
3 -10 0 7567d6
4 -10 0 7567d6
5 -10 0 78bfc1
6 -10 0 95e5e6
0 -9 0 8d7df7
1 -9 0 8d7df7
2 -9 0 7c6ce6
3 -9 0 7c6ce6
4 -9 0 7567d6
5 -9 0 95e5e6
6 -9 0 b5ffff
0 -8 0 9484fe
1 -8 0 8d7df7
2 -8 0 7c6ce6
3 -8 0 7567d6
4 -8 0 78bfc1
5 -8 0 95e5e6
6 -8 0 95e5e6
0 -7 0 9484fe
1 -7 0 9484fe
2 -7 0 8d7df7
3 -7 0 95e5e6
4 -7 0 b5ffff
5 -7 0 c259ab
0 -6 0 9484fe
1 -6 0 9484fe
2 -6 0 8d7df7
3 -6 0 c259ab
4 -6 0 c259ab
5 -6 0 7567d6
6 -6 0 7567d6
0 -5 0 de60c3
1 -5 0 de60c3
2 -5 0 de60c3
3 -5 0 c259ab
4 -5 0 b6549f
5 -5 0 78bfc1
6 -5 0 7567d6
7 -5 0 7c6ce6
0 -4 0 c259ab
1 -4 0 b6549f
2 -4 0 c259ab
3 -4 0 b6549f
4 -4 0 78bfc1
5 -4 0 95e5e6
6 -4 0 95e5e6
7 -4 0 7c6ce6
0 -3 0 e8d2e9
1 -3 0 b2295d
2 -3 0 7567d6
3 -3 0 7567d6
4 -3 0 95e5e6
5 -3 0 7c6ce6
6 -3 0 95e5e6
7 -3 0 7c6ce6
0 -2 0 e8d2e9
1 -2 0 b2295d
3 -2 0 7567d6
4 -2 0 b5ffff
5 -2 0 7c6ce6
6 -2 0 7c6ce6
7 -2 0 8d7df7
0 -1 0 e8d2e9
1 -1 0 b2295d
3 -1 0 7c6ce6
4 -1 0 7c6ce6
5 -1 0 8d7df7
7 -1 0 8d7df7
-6 -16 0 b6549f
-5 -16 0 b6549f
-4 -16 0 b6549f
-3 -16 0 c259ab
-2 -16 0 b6549f
-1 -16 0 b6549f
-7 -15 0 b6549f
-6 -15 0 c259ab
-5 -15 0 de60c3
-4 -15 0 de60c3
-3 -15 0 de60c3
-2 -15 0 de60c3
-1 -15 0 c259ab
-8 -14 0 b6549f
-7 -14 0 c259ab
-6 -14 0 de60c3
-5 -14 0 de60c3
-4 -14 0 de60c3
-3 -14 0 de60c3
-2 -14 0 de60c3
-1 -14 0 de60c3
-9 -13 0 b6549f
-8 -13 0 c259ab
-7 -13 0 de60c3
-6 -13 0 de60c3
-5 -13 0 ee63d0
-4 -13 0 ee63d0
-3 -13 0 ee63d0
-2 -13 0 ee63d0
-1 -13 0 ee63d0
-9 -12 0 b6549f
-8 -12 0 de60c3
-7 -12 0 ee63d0
-6 -12 0 ff64db
-5 -12 0 ff64db
-4 -12 0 ff64db
-3 -12 0 ff64db
-2 -12 0 ee63d0
-1 -12 0 7567d6
-9 -11 0 b6549f
-8 -11 0 de60c3
-7 -11 0 ee63d0
-6 -11 0 ff64db
-5 -11 0 ff64db
-4 -11 0 ff64db
-3 -11 0 ff64db
-2 -11 0 7567d6
-1 -11 0 7567d6
-9 -10 0 b6549f
-8 -10 0 de60c3
-7 -10 0 ee63d0
-6 -10 0 ff64db
-5 -10 0 ff64db
-4 -10 0 ff64db
-3 -10 0 ff64db
-2 -10 0 7567d6
-1 -10 0 7567d6
-9 -9 0 b6549f
-8 -9 0 de60c3
-7 -9 0 ee63d0
-6 -9 0 ee63d0
-5 -9 0 ff64db
-4 -9 0 ff64db
-3 -9 0 ff64db
-2 -9 0 7c6ce6
-1 -9 0 7c6ce6
-15 -8 0 5e51bb
-14 -8 0 5e51bb
-13 -8 0 5e51bb
-12 -8 0 d8c642
-9 -8 0 b6549f
-8 -8 0 de60c3
-7 -8 0 de60c3
-6 -8 0 ee63d0
-5 -8 0 ee63d0
-4 -8 0 ee63d0
-3 -8 0 ff64db
-2 -8 0 7c6ce6
-1 -8 0 8d7df7
-16 -7 0 5e51bb
-15 -7 0 5e51bb
-14 -7 0 675ac4
-13 -7 0 7567d6
-12 -7 0 7567d6
-11 -7 0 d8c642
-9 -7 0 b6549f
-8 -7 0 c259ab
-7 -7 0 de60c3
-6 -7 0 de60c3
-5 -7 0 de60c3
-4 -7 0 ee63d0
-3 -7 0 ee63d0
-2 -7 0 ee63d0
-1 -7 0 9484fe
-16 -6 0 5e51bb
-15 -6 0 675ac4
-14 -6 0 7567d6
-13 -6 0 7567d6
-12 -6 0 7567d6
-11 -6 0 7567d6
-10 -6 0 d9d842
-8 -6 0 b6549f
-7 -6 0 b6549f
-6 -6 0 c259ab
-5 -6 0 de60c3
-4 -6 0 de60c3
-3 -6 0 c259ab
-2 -6 0 de60c3
-1 -6 0 9484fe
-16 -5 0 5e51bb
-15 -5 0 675ac4
-14 -5 0 7567d6
-13 -5 0 7567d6
-12 -5 0 7c6ce6
-11 -5 0 7c6ce6
-10 -5 0 e5e350
-9 -5 0 e5e350
-8 -5 0 d9d842
-7 -5 0 d8c642
-6 -5 0 d8c642
-5 -5 0 d8c642
-4 -5 0 e8d2e9
-3 -5 0 e8d2e9
-2 -5 0 c259ab
-1 -5 0 c259ab
-16 -4 0 5e51bb
-15 -4 0 675ac4
-14 -4 0 7567d6
-13 -4 0 7c6ce6
-12 -4 0 7c6ce6
-11 -4 0 8d7df7
-10 -4 0 f6f55d
-9 -4 0 f6f55d
-8 -4 0 e5e350
-7 -4 0 e5e350
-6 -4 0 d8c642
-5 -4 0 d8c642
-4 -4 0 e8d2e9
-3 -4 0 e8d2e9
-2 -4 0 e8d2e9
