# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
1 -16 0 aa976c
2 -16 0 b9a475
1 -15 0 aa976c
2 -15 0 aa976c
3 -15 0 b9a475
0 -14 0 780001
1 -14 0 6f0100
2 -14 0 aa976c
3 -14 0 aa976c
4 -14 0 c7b489
0 -13 0 780001
1 -13 0 780001
2 -13 0 6f0100
3 -13 0 6f0100
4 -13 0 b9a475
0 -12 0 880002
1 -12 0 880002
2 -12 0 880002
3 -12 0 6f0100
4 -12 0 aa976c
0 -11 0 780001
1 -11 0 880002
2 -11 0 880002
3 -11 0 6f0100
4 -11 0 6f0100
0 -10 0 780001
1 -10 0 780001
2 -10 0 880002
3 -10 0 390102
4 -10 0 401818
0 -9 0 401818
1 -9 0 780001
2 -9 0 780001
3 -9 0 320104
4 -9 0 390102
5 -9 0 6f0100
0 -8 0 390102
1 -8 0 6f0100
2 -8 0 6f0100
3 -8 0 6f0100
4 -8 0 880002
5 -8 0 880002
6 -8 0 6f0100
0 -7 0 6f0100
1 -7 0 6f0100
2 -7 0 6f0100
3 -7 0 780001
4 -7 0 880002
5 -7 0 880002
6 -7 0 880002
7 -7 0 6f0100
0 -6 0 6f0100
1 -6 0 6f0100
2 -6 0 780001
3 -6 0 780001
4 -6 0 780001
5 -6 0 780001
6 -6 0 780001
7 -6 0 880002
0 -5 0 6f0100
1 -5 0 6f0100
2 -5 0 6f0100
3 -5 0 780001
4 -5 0 780001
5 -5 0 780001
6 -5 0 780001
7 -5 0 780001
0 -4 0 640000
1 -4 0 6f0100
2 -4 0 6f0100
3 -4 0 6f0100
4 -4 0 780001
5 -4 0 780001
6 -4 0 780001
7 -4 0 780001
0 -3 0 5c0100
1 -3 0 640000
2 -3 0 6f0100
3 -3 0 6f0100
4 -3 0 6f0100
5 -3 0 6f0100
6 -3 0 6f0100
7 -3 0 d4c6a9
0 -2 0 5c0100
1 -2 0 640000
2 -2 0 d4c6a9
3 -2 0 640000
4 -2 0 640000
5 -2 0 640000
6 -2 0 5c0100
7 -2 0 520100
0 -1 0 520100
1 -1 0 5c0100
2 -1 0 5c0100
3 -1 0 5c0100
4 -1 0 5c0100
5 -1 0 520100
6 -1 0 520100
-7 -16 0 aa976c
-6 -16 0 b9a475
-5 -16 0 c7b489
-7 -15 0 aa976c
-6 -15 0 aa976c
-5 -15 0 b9a475
-4 -15 0 c7b489
-11 -14 0 780001
-6 -14 0 aa976c
-5 -14 0 b9a475
-4 -14 0 b9a475
-3 -14 0 c7b489
-2 -14 0 c7b489
-1 -14 0 640000
-13 -13 0 640000
-12 -13 0 640000
-11 -13 0 780001
-10 -13 0 780001
-6 -13 0 aa976c
-5 -13 0 aa976c
-4 -13 0 aa976c
-3 -13 0 b9a475
-2 -13 0 b9a475
-1 -13 0 520100
-13 -12 0 640000
-12 -12 0 640000
-11 -12 0 aa976c
-10 -12 0 640000
-9 -12 0 780001
-5 -12 0 aa976c
-4 -12 0 aa976c
-3 -12 0 aa976c
-2 -12 0 b9a475
-1 -12 0 520100
-14 -11 0 640000
-13 -11 0 640000
-12 -11 0 aa976c
-11 -11 0 aa976c
-10 -11 0 640000
-9 -11 0 640000
-5 -11 0 aa976c
-4 -11 0 aa976c
-3 -11 0 aa976c
-2 -11 0 520100
-1 -11 0 640000
-15 -10 0 640000
-14 -10 0 640000
-13 -10 0 aa976c
-12 -10 0 b9a475
-11 -10 0 640000
-10 -10 0 aa976c
-9 -10 0 640000
-8 -10 0 640000
-5 -10 0 520100
-4 -10 0 520100
-3 -10 0 520100
-2 -10 0 640000
-1 -10 0 780001
-16 -9 0 5c0100
-15 -9 0 5c0100
-14 -9 0 aa976c
-13 -9 0 b9a475
-12 -9 0 640000
-11 -9 0 aa976c
-10 -9 0 aa976c
-9 -9 0 5c0100
-8 -9 0 5c0100
-5 -9 0 520100
-4 -9 0 520100
-3 -9 0 5c0100
-2 -9 0 6f0100
-1 -9 0 390102
-16 -8 0 5c0100
-15 -8 0 aa976c
-14 -8 0 b9a475
-13 -8 0 c7b489
-12 -8 0 5c0100
-11 -8 0 aa976c
-10 -8 0 aa976c
-9 -8 0 5c0100
-8 -8 0 5c0100
-5 -8 0 520100
-4 -8 0 520100
-3 -8 0 5c0100
-2 -8 0 640000
-1 -8 0 320104
-16 -7 0 aa976c
-15 -7 0 b9a475
-14 -7 0 c7b489
-13 -7 0 5c0100
-12 -7 0 aa976c
-11 -7 0 b9a475
-10 -7 0 5c0100
-9 -7 0 aa976c
-8 -7 0 5c0100
-7 -7 0 5c0100
-5 -7 0 520100
-4 -7 0 520100
-3 -7 0 5c0100
-2 -7 0 640000
-1 -7 0 6f0100
-16 -6 0 b9a475
-15 -6 0 c7b489
-14 -6 0 5c0100
-13 -6 0 aa976c
-12 -6 0 b9a475
-11 -6 0 c7b489
-10 -6 0 b9a475
-9 -6 0 aa976c
-8 -6 0 aa976c
-7 -6 0 5c0100
-6 -6 0 520100
-5 -6 0 520100
-4 -6 0 5c0100
-3 -6 0 5c0100
-2 -6 0 640000
-1 -6 0 6f0100
-15 -5 0 5c0100
-14 -5 0 aa976c
-13 -5 0 b9a475
-12 -5 0 c7b489
-11 -5 0 5c0100
-10 -5 0 aa976c
-9 -5 0 b9a475
-8 -5 0 aa976c
-7 -5 0 5c0100
-6 -5 0 520100
-5 -5 0 520100
-4 -5 0 5c0100
-3 -5 0 5c0100
-2 -5 0 640000
-1 -5 0 6f0100
-15 -4 0 5c0100
-14 -4 0 aa976c
-13 -4 0 b9a475
-12 -4 0 c7b489
-11 -4 0 5c0100
-10 -4 0 aa976c
-9 -4 0 b9a475
-8 -4 0 aa976c
-7 -4 0 5c0100
-6 -4 0 5c0100
-5 -4 0 5c0100
-4 -4 0 520100
-3 -4 0 520100
-2 -4 0 5c0100
-1 -4 0 640000
-13 -3 0 c7b489
-12 -3 0 c7b489
-11 -3 0 5c0100
-10 -3 0 aa976c
-9 -3 0 b9a475
