# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
0 0 0 412c3d
1 0 0 382334
2 0 0 1a1221
3 0 0 1a1221
4 0 0 1a1221
0 1 0 382334
1 1 0 2d1b29
3 1 0 1d1427
4 1 0 1a1221
0 2 0 2d1b29
1 2 0 2d1b29
3 2 0 332943
4 2 0 1d1427
0 3 0 1a1221
1 3 0 1a1221
4 3 0 332943
0 4 0 1a1221
1 4 0 1a1221
0 5 0 1a1221
1 5 0 1a1221
0 6 0 1d1427
1 6 0 1d1427
1 7 0 332943
2 7 0 332943
-14 0 0 1a1221
-13 0 0 1d1427
-12 0 0 382334
-11 0 0 3c2738
-10 0 0 3c2738
-9 0 0 1d1427
-8 0 0 1d1427
-7 0 0 483344
-6 0 0 1d1427
-5 0 0 1d1427
-4 0 0 1a1221
-3 0 0 483344
-2 0 0 412c3d
-1 0 0 3c2738
-14 1 0 1d1427
-12 1 0 382334
-11 1 0 3c2738
-10 1 0 3c2738
-9 1 0 1d1427
-8 1 0 231a2d
-7 1 0 483344
-6 1 0 483344
-5 1 0 1d1427
-4 1 0 1d1427
-3 1 0 1a1221
-2 1 0 3c2738
-1 1 0 412c3d
-14 2 0 1a1221
-11 2 0 382334
-10 2 0 1d1427
-9 2 0 332943
-8 2 0 412c3d
-7 2 0 412c3d
-6 2 0 483344
-5 2 0 483344
-4 2 0 332943
-3 2 0 1d1427
-2 2 0 1a1221
-1 2 0 382334
-14 3 0 332943
-10 3 0 231a2d
-9 3 0 382334
-8 3 0 412c3d
-7 3 0 412c3d
-6 3 0 483344
-5 3 0 483344
-4 3 0 412c3d
-3 3 0 3c2738
-2 3 0 3c2738
-1 3 0 382334
-8 4 0 382334
-7 4 0 382334
-6 4 0 483344
-5 4 0 412c3d
-4 4 0 3c2738
-3 4 0 3c2738
-2 4 0 1a1221
-1 4 0 1a1221
-4 5 0 1a1221
-3 5 0 1d1427
-2 5 0 1a1221
-1 5 0 1a1221
-3 6 0 332943
-2 6 0 1d1427
-1 6 0 332943
-12 -16 0 1a1221
-11 -16 0 1a1221
-10 -16 0 1d1427
-9 -16 0 1d1427
-8 -16 0 1d1427
-7 -16 0 1d1427
-6 -16 0 1d1427
-5 -16 0 1d1427
-4 -16 0 1d1427
-3 -16 0 1d1427
-2 -16 0 1d1427
-1 -16 0 1d1427
-13 -15 0 1a1221
-12 -15 0 1a1221
-11 -15 0 21182b
-10 -15 0 21182b
-9 -15 0 21182b
-8 -15 0 21182b
-7 -15 0 231a2d
-6 -15 0 231a2d
-5 -15 0 231a2d
-4 -15 0 332943
-3 -15 0 231a2d
-2 -15 0 231a2d
-1 -15 0 1d1427
-14 -14 0 1a1221
